,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,warptapes8993warp,1,Autechre,Warp Tapes 89-93 (Warp),"Autechre

            —
            Warp Tapes 89-93 (Warp)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,997,Rian Treanor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/997
1,homininperformancebymeyerchaffauddancecompanypoekhalifestival,2,Mark Fell,"Hominin performance by Meyer-Chaffaud Dance Company, Poekhali Festival","Mark Fell

            —
            Hominin performance by Meyer-Chaffaud Dance Company, Poekhali Festival",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,997,Rian Treanor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/997
2,livetacticalcontactnobounds,3,Alex Mclean & New Noveta,"Live - Tactical Contact, No Bounds","Alex Mclean & New Noveta

            —
            Live - Tactical Contact, No Bounds",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,997,Rian Treanor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/997
3,mateso,4,Sisso,Mateso,"Sisso

              —
              Mateso
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Nyege Nyege Tapes’ revelatory Singeli series culminates with a rush from scene bossman Mohamed Hamza Ally aka Sisso, whose studio in Dar-Es-Salaam, Tanzania is the epicentre of the world’s most thrilling, punkish new dance style. Arriving after incendiary instalments in 2018 by Bamba Pana, Jay Mitta, and Duke, and the introductory ‘Sounds of Sisso’... more",/products/mateso,https://assets.boomkat.com/spree/products/590834/product/NNT012_Dist_Prev.jpg,997,Rian Treanor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/997
4,liveboilerroomnyegenyege,5,DJ Diaki,Live - Boiler Room @ Nyege Nyege,"DJ Diaki

            —
            Live - Boiler Room @ Nyege Nyege",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,997,Rian Treanor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/997
5,liverotherhamshow,6,Chand Ali Khan Qawwal & Party,Live - Rotherham Show,"Chand Ali Khan Qawwal & Party

            —
            Live - Rotherham Show",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,997,Rian Treanor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/997
6,livelokoclubbristol,7,Giant Swan,Live - Loko Club Bristol,"Giant Swan

            —
            Live - Loko Club Bristol",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,997,Rian Treanor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/997
7,ritme-jaavdanegi,8,Mohammad Reza Mortazavi,Ritme Jaavdanegi,"Mohammad Reza Mortazavi

              —
              Ritme Jaavdanegi
            
              (LATENCY)",LATENCY,"Award-winning Iranian percussionist Mohammad Reza Mortazavi describes the rhythm of eternity or ‘Ritme Jaavdanegi’ in eight transfixing ways on his first vinyl album, following 12”s with Padre Himalaya and Burnt Friedman’s Nonplace in recent years.

A prodigious child student turned absolute master of the tombak - a traditional Iranian drum famed for its... more",/products/ritme-jaavdanegi,https://assets.boomkat.com/spree/products/619685/product/194491535711.jpg,997,Rian Treanor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/997
8,livewwwtokyo,9,KIETO,Live - WWW Tokyo,"KIETO

            —
            Live - WWW Tokyo",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,997,Rian Treanor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/997
9,for-you-and-i,10,Loraine James,For You And I,"Loraine James

              —
              For You And I
            
              (Hyperdub)",Hyperdub,"Curveball debut from North London’s Loraine James on Hyperdub, injecting garage soul and playfullness into late ‘90s/early ‘00s style glitch electronica. Imagine Klein jamming with SND and Laurel Halo.

“Raised in the multicultural and mind-broadening London borough of Enfield, Loraine James grew up hearing everything from steel pan music to Metallica... more",/products/for-you-and-i,https://assets.boomkat.com/spree/products/599855/product/5055869592666_T12_Image.jpg,997,Rian Treanor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/997
