,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,of-desire-longing,1,Speaker Music,"of desire, longing","Speaker Music

              —
              of desire, longing
            
              (Planet Mu Records Ltd.)",Planet Mu Records Ltd.,"“DeForrest Brown, Jr. is an outspoken theorist, journalist, curator, visual artist and musician. He often collaborates with his partner Ting Ding, a visual designer/statistical analyst who co-runs the sustainable gender-flexible apparel line HECHA / 做.

""Raised in the deep South, DeForrest moved to New York seven years ago and has been shaking things up IRL and... more",/products/of-desire-longing,https://assets.boomkat.com/spree/products/616093/product/5056321604385_T3_Image.jpg,996,rkss,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/996
1,levelup,2,Ciara,Level Up,"Ciara

            —
            Level Up",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,996,rkss,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/996
2,in-pursuit-of-the-sun,3,Rui Ho,In Pursuit of the Sun 逐日,"Rui Ho

              —
              In Pursuit of the Sun 逐日
            
              (Objects Limited)",Objects Limited,"Hi-velocity dance routines from Rui Ho, leaving her 2nd mark on the excellent Objects Limited.

Based between Berlin/Shanghai, Rui’s releases for her native Genome6.66Mbp label lead to last year’s ‘Becoming is An Eventful Situation’, where they really came into their own with a mix of traditional Chinese sounds and what has now been claimed as... more",/products/in-pursuit-of-the-sun,https://assets.boomkat.com/spree/products/596384/product/5055300399588_T8_Image.jpg,996,rkss,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/996
3,jesusisking,4,Kanye West,Jesus Is King,"Kanye West

            —
            Jesus Is King",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,996,rkss,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/996
4,quirquinchomedicine,5,Chuquimamani-Condori,Quirquincho Medicine,"Chuquimamani-Condori

            —
            Quirquincho Medicine",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,996,rkss,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/996
5,7ep,6,Lil Nas X,7 EP,"Lil Nas X

            —
            7 EP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,996,rkss,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/996
6,cd7b6a9a-6f4d-4968-b20c-41209164252c,7,Ana Roxanne,~~~,"Ana Roxanne

              —
              ~~~
            
              (Leaving Records)",Leaving Records,"Ana Roxanne exerts a gently intimate and singular spin on new age ambient tropes on her beautiful new LP, sounding something like Julee Cruise via Maggi Payne. Surely among this year’s finest quiet listens...

“Ana Roxanne is an intersex Southeast Asian musician based in Los Angeles. Born & raised in the Bay Area to immigrant parents, Ana's love for... more",/products/cd7b6a9a-6f4d-4968-b20c-41209164252c,https://assets.boomkat.com/spree/products/573203/product/659457526535_T53033071310054.jpg,996,rkss,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/996
7,fake-meat,8,galen tipton,fake meat,"galen tipton

              —
              fake meat
            
              (Orange Milk)",Orange Milk,,/products/fake-meat,https://assets.boomkat.com/spree/products/615230/product/192641378713.jpg,996,rkss,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/996
8,oil-of-every-pearl-s-un-insides-non-stop-remix-album,9,Sophie,OIL OF EVERY PEARL'S UN-INSIDES NON-STOP REMIX ALBUM,"Sophie

              —
              OIL OF EVERY PEARL'S UN-INSIDES NON-STOP REMIX ALBUM
            
              (Transgressive)",Transgressive,,/products/oil-of-every-pearl-s-un-insides-non-stop-remix-album,https://assets.boomkat.com/spree/products/612233/product/5400863019600_T57301078820054.jpg,996,rkss,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/996
9,grace-ep,10,DJ Haram,Grace EP,"DJ Haram

              —
              Grace EP
            
              (Hyperdub)",Hyperdub,"Class debut from Philly’s DJ Haram - fusing Arabic percussion and instrumentation with bass pressure for Hyperdub.

Like a spartan echo of Mutamassik’s early ‘00s meeting of Egyptian breaks and rugged hip hop, DJ Haram finds a wickedly gritty friction and traction from a mixtures of sharp electronics and a dead canny sample palette that distinguishes her... more",/products/grace-ep,https://assets.boomkat.com/spree/products/588413/product/5055869558945_T9_Image.jpg,996,rkss,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/996
