,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,three-knocks,1,Lussuria,Three Knocks,"Lussuria

              —
              Three Knocks
            
              (Hospital Productions)",Hospital Productions,"Yeah that's what we’re talking about; supremely dank, occult dark ambient and submerged black metal atmospheres from Jim Mroz aka Lussuria, properly harrowing recordings pierced by occasional shafts of blinding light and choral arrangements that take us to exceptionally weird places. Huge recommendation If you’re into anything from Hildur Guðnadóttir’s... more",/products/three-knocks,https://assets.boomkat.com/spree/products/589185/product/647603404622.jpg,951,Ron Morelli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/951
1,selftitled12,2,Ye Gods,"Self-Titled 12""","Ye Gods

            —
            Self-Titled 12""",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,951,Ron Morelli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/951
2,over-the-sand-947bdf47-2a9f-43a5-8e71-da7db9f89ccb,3,Dissemblance,Over the Sand,"Dissemblance

              —
              Over the Sand
            
              (Mannequin)",Mannequin,"Debut LP of darkwave drills by Mathilde Mallen’s Dissemblance, the latest project by the Parisian DJ and producer with form as Electric Mistress and La Corda

Shapeshifting between gritty and sleek textures and fluid and rugged rhythms, ‘Over The Sand’ works as a great sort of sci-fi cyberpunk episode, sweepign between club ready dance tax and more... more",/products/over-the-sand-947bdf47-2a9f-43a5-8e71-da7db9f89ccb,https://assets.boomkat.com/spree/products/626947/product/194491535759.jpg,951,Ron Morelli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/951
3,thegodessisdancing,4,45 ACP,The Godess is Dancing,"45 ACP

            —
            The Godess is Dancing",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,951,Ron Morelli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/951
4,scanning-1982-1983,5,Roland Kayn,"Scanning 
            
              (Reiger Records Reeks)","Roland Kayn

              —
              Scanning (1982-1983)
            
              (Reiger Records Reeks)",1982-1983,"A hitherto-unreleased electronic masterpiece from Roland Kayn, singular pioneer of cybernetic music. Over a period spanning the late 70s through the early 80s, Kayn (1933–2011) issued a quintet of extended works that quietly but definitively redrew the map of electronic music. Informed by cybernetics and a desire to actualise analogue circuitry as an agency... more",/products/scanning-1982-1983,https://assets.boomkat.com/spree/products/602800/product/cover-33.jpg,951,Ron Morelli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/951
5,ritualkilling,6,Fiume,Ritual Killing,"Fiume

            —
            Ritual Killing",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,951,Ron Morelli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/951
6,omen-rising,7,Sam KDC,Omen Rising,"Sam KDC

              —
              Omen Rising
            
              (Horo)",Horo,"Sam KDC syncs deep into the grey area between techno, D&B and noise in the ‘Omen’ album. Tempering his chest-bursting emosh tendencies in favour of more abstract signposts and textural expression, he also locks down to a hoofing style of drum programming with galvanising his galloping rhythms with alloy-cast kicks and hard-bitten percussion. 

The sound is... more",/products/omen-rising,https://assets.boomkat.com/spree/products/598316/product/192641338465.jpg,951,Ron Morelli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/951
7,bx,8,TBZ,BX,"TBZ

            —
            BX",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,951,Ron Morelli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/951
8,commune,9,F-DORM,Commune,"F-DORM

            —
            Commune",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,951,Ron Morelli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/951
9,captured-entities,10,H-FUSION,Captured Entities,"H-FUSION

              —
              Captured Entities
            
              (The Death Of Rave)",The Death Of Rave,"Cult Detroit DJ/producer Howard Thomas aka H-Fusion supplies a crackshot debut album of psycho-jit-jazz and rugged raw house on The Death of Rave following his secret weapon 12”s and trax for Sound Signature, Transmat and Fit between 2005-2012. Spanning a hands-on, tracky style ranging from 170bpm Jit missiles to ruff but romantic house and beatless... more",/products/captured-entities,https://assets.boomkat.com/spree/products/609755/product/RAVE027_Distriburion_Preview.jpg,951,Ron Morelli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/951
10,cafe-mor,11,SCORN,Cafe Mor,"SCORN

              —
              Cafe Mor
            
              (OHM RESISTANCE)",OHM RESISTANCE,"Mick Harris returns with his crushing first Scorn album since 2010; ‘Café Mor’ for his longtime gang at Ohm Resistance, featuring guest vocal by Jason Williamson (Sleaford Mods)

While he’s spent the past few years hoping for tight lines and reigniting his Fret alias, many of Harris’ diehard followers have been eagerly awaiting the return of Scorn, possibly his... more",/products/cafe-mor,https://assets.boomkat.com/spree/products/615878/product/52M-OHM-COVER.jpg,951,Ron Morelli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/951
