,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,age-of-aquarius-9aceeda2-80c7-4260-bb0e-a0189f1370b0,1,Tribe Of Colin,Age of Aquarius,"Tribe Of Colin

              —
              Age of Aquarius
            
              (Honest Jon's Records)",Honest Jon's Records,"Among the most enigmatic, beguiling producers of recent years, Tribe Of Colin blesses Honest Jon’s with a brilliant LP suite of acidic steppers and hieroglyphic, rhythmelodic riddles comparable to everything from early Shackleton or Hype Williams to Theo Parrish and Alan Lomax recordings

Hustling 9 original tracks of amorphous, rugged dub and astral synths, ‘Age... more",/products/age-of-aquarius-9aceeda2-80c7-4260-bb0e-a0189f1370b0,https://assets.boomkat.com/spree/products/610088/product/194491290054.jpg,1009,Sarah Miles,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1009
1,lilmofothetrilogytapes,2,,Lil Mofo / The Trilogy Tapes,Lil Mofo / The Trilogy Tapes,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1009,Sarah Miles,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1009
2,7-directions-f8b2e3c2-bec7-4c18-95eb-a259e3652317,3,NKISI,7 Directions,"NKISI

              —
              7 Directions
            
              (UIQ)",UIQ,"Nkisi rolls out a modern classic with ‘7 Directions’ for UIQ. A masterful debut album informed by African Cosmology and Congolese rhythms, it’s aesthetically comparable with music ranging from Autechre's ‘Incunabula’ to The Connection Machine’s ‘Painless’ and Lee Gamble's hyperprisms, but ultimately it’s peerless in the (hyper)modern... more",/products/7-directions-f8b2e3c2-bec7-4c18-95eb-a259e3652317,https://assets.boomkat.com/spree/products/539640/product/UIQLP002-Distribution-Preview.jpg,1009,Sarah Miles,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1009
3,lifetime-3ca1a574-38c1-4dea-b259-90657947b6a2,4,Klein,Lifetime,"Klein

              —
              Lifetime
            
              (ijn inc.)",ijn inc.,"‘Lifetime’ is the debut album proper by visionary collagist/producer/vocalist Klein, following from 2016’s head-spinning introduction made with ‘Only’. Recorded by Klein over the past 18 months and issued on her own label, inj inc., the album renders her mosaic of ideas taken from Gospel composer James Cleveland to film pioneer Spencer Williams and 18th... more",/products/lifetime-3ca1a574-38c1-4dea-b259-90657947b6a2,https://assets.boomkat.com/spree/products/607233/product/5050580721890.jpg,1009,Sarah Miles,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1009
4,look-up-sharp,5,Carla dal Forno,Look Up Sharp,"Carla dal Forno

              —
              Look Up Sharp
            
              (Kallista)",Kallista,"Carla dal Forno’s keenly anticipated 2nd album pays dividends on the promise of her debut, returning a gorgeous, stately suite of chamber pop that certifies her among the most vital songwriters in her field. Tipped to fans of Nico, HTRK, CS + Kreme, Dome, Julee Cruise...

Forming an exquisitely pruned bouquet of midnight wildflowers, ‘Look Up Sharp’ makes... more",/products/look-up-sharp,https://assets.boomkat.com/spree/products/601370/product/5055869593960_T11_Image.jpg,1009,Sarah Miles,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1009
5,lighthouse-a9bce3b2-9bb3-44c9-b9b6-aba9bfce70f1,6,Gossiwor (John T Gast & Boli),Lighthouse,"Gossiwor (John T Gast & Boli)

              —
              Lighthouse 
            
              (5 Gate Temple)",5 Gate Temple,"John T Gast and MC Boli operate at the apex of their esoteric powers on ‘Lighthouse’ for 5 Gate Temple, following Young Druid’s addictive début with an expansive, immersive suite highlighting unique intersections of new age ambient, jazz, avant-classical and arcane folk music 

As Gossiwor, Gast and Boli share a remarkably intuitive mutualism on Lighthouse... more",/products/lighthouse-a9bce3b2-9bb3-44c9-b9b6-aba9bfce70f1,https://assets.boomkat.com/spree/products/515380/product/5GT004_Cover.jpg,1009,Sarah Miles,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1009
6,virgin-traf-22,7,Low Jack,Virgin Traf 22 / Grass 29,"Low Jack

              —
              Virgin Traf 22 / Grass 29
            
              (NOT ON LABEL)",NOT ON LABEL,"Surprise, self-released red-label dancehall wreckage from Low Jack’s anti-nuke riddims series - strong moves riffing on a late ‘90s ragga sound with extra noise and zipped-in edits = murdah!!!

The baddest dancehall/dembow mutant on road right now, Low Jack is a prime mover in the gully between dark, technoid electronics, noise and Caribbean music proper... more",/products/virgin-traf-22,https://assets.boomkat.com/spree/products/609319/product/LowJack-FlatImage.jpg,1009,Sarah Miles,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1009
7,fantas,8,Caterina Barbieri,Fantas,"Caterina Barbieri

            —
            Fantas",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1009,Sarah Miles,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1009
8,mother-mark,9,Mother,Mother Mark,"Mother

              —
              Mother Mark
            
              (V I S)",V I S,"The red lights of Hamburg meet the Heated Heads of Glasgow as Rubadub’s Mark ‘Mother’ Maxwell delivers the latest mixtape for V I S, building up quite a reputation for a brilliantly diverse series of mixtapes, among it’s great standalone releases. This one takes us from sub-aquatic ferric drone pieces to what sounds like Industrial Gamelan and back via... more",/products/mother-mark,https://assets.boomkat.com/spree/products/409812/product/cover.jpg,1009,Sarah Miles,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1009
9,split-8370548f-8dbd-4c91-9832-77befbc02d72,10,Tzusing / M.E.S.H,Split,"Tzusing / M.E.S.H

              —
              Split
            
              (PAN)",PAN,"PAN kick off a super limited, 5-part, club-ready, hand-stamped white label series with killer cuts by Tzusing and M.E.S.H., available in a run of 300 copies.

Uptown, Shanghai’s Tzusing slows sino-grime down, battered with ballstic punctuation and dramatic strings in the first part, before sidewinding into an industrial dancehall style cheered on by shrieking vox in... more",/products/split-8370548f-8dbd-4c91-9832-77befbc02d72,https://assets.boomkat.com/spree/products/568523/product/PAN95.jpg,1009,Sarah Miles,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1009
