,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,mirror-river,1,Amazondotcom,Mirror River,"Amazondotcom

              —
              Mirror River
            
              (Subreal)",Subreal,"Keenly watched newcomer Amazondotcom definitively sets out her killer, technoid tresillo style on ‘Mirror River’, the first release on her L.A.-based Subreal label

After setting out a taut, striped-down and rhythm-driven style in collaboration with Siete Catroce for Nostro Hood System and also appearing on Astral Plane in 2018, the ‘Mirror River’ EP is the one... more",/products/mirror-river,https://assets.boomkat.com/spree/products/586311/product/SR001_Cover.jpg,1011,Siete Catorce,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1011
1,httpsbergsonistbandcampcomalbum7,2,Bergsonist,خ ( https://bergsonist.bandcamp.com/album/--7 ),"Bergsonist

            —
            خ ( https://bergsonist.bandcamp.com/album/--7 )",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1011,Siete Catorce,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1011
2,purge-5f525778-9a22-45ca-85fd-34e1a7deaa6c,3,Dis Fig,PURGE,"Dis Fig

              —
              PURGE
            
              (PTP)",PTP,"The debut album by Dis Fig.

""While the New Jersey born, Berlin-based artist is best known for her relentless and downright brutal DJ sets, this work comes in at a much different trajectory – an exploration of her own vulnerability through varying degrees of noise, vocal migrations, and orchestral composition.

“'PURGE' is about confronting the feelings which you... more",/products/purge-5f525778-9a22-45ca-85fd-34e1a7deaa6c,https://assets.boomkat.com/spree/products/567530/product/5055869535809_T10_Image.jpg,1011,Siete Catorce,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1011
3,traumahttpsambidexbandcampcomalbumtrauma,4,Ambidex,Trauma ( https://ambidex.bandcamp.com/album/trauma ),"Ambidex

            —
            Trauma ( https://ambidex.bandcamp.com/album/trauma )",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1011,Siete Catorce,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1011
4,system-8b67af11-b358-4893-bc3e-aa62e0e8ea51,5,Debit,System,"Debit

              —
              System
            
              (NAAFI)",NAAFI,"Delia Beatriz aka Debit gets down to rugged fundamentals on ‘System’, the bruising follow-up to her flashier ‘Animus’ album.

Asymmetric, astringent, aggy, ‘System’ finds Debit’s sound delacquered of gloss and delivered in gruff, textured tones in a wicked balance of gripping rhythmic sensuality and brutality, including a collaboration with footwork producer DJ Earl... more",/products/system-8b67af11-b358-4893-bc3e-aa62e0e8ea51,https://assets.boomkat.com/spree/products/593221/product/DEBIT-SYSTEM.jpg,1011,Siete Catorce,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1011
5,mahur-club,6,Maral,Mahur Club,"Maral

              —
              Mahur Club
            
              (Astral Plane Recordings)",Astral Plane Recordings,"Chokingly blown-out and distorted blend of knackered drum machine and Persian vocals by Maral, coming off like Muslimgauze raised on southern rap instrumentals, EBM and industrial noise. We're not complaining.

“Los Angeles’s Maral has spent the past half-decade quietly honing an approach that meshes the latest in club music contortions, a range... more",/products/mahur-club,https://assets.boomkat.com/spree/products/609302/product/669158542406_T16_Image.jpg,1011,Siete Catorce,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1011
6,of-desire-longing,7,Speaker Music,"of desire, longing","Speaker Music

              —
              of desire, longing
            
              (Planet Mu Records Ltd.)",Planet Mu Records Ltd.,"“DeForrest Brown, Jr. is an outspoken theorist, journalist, curator, visual artist and musician. He often collaborates with his partner Ting Ding, a visual designer/statistical analyst who co-runs the sustainable gender-flexible apparel line HECHA / 做.

""Raised in the deep South, DeForrest moved to New York seven years ago and has been shaking things up IRL and... more",/products/of-desire-longing,https://assets.boomkat.com/spree/products/616093/product/5056321604385_T3_Image.jpg,1011,Siete Catorce,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1011
7,bodyguard,8,8ulentina,Bodyguard,"8ulentina

            —
            Bodyguard",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1011,Siete Catorce,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1011
8,tierra-del-fuego-28358d7b-8108-48b1-924a-9683f8d8bffc,9,Tayhana,Tierra Del Fuego,"Tayhana

              —
              Tierra Del Fuego
            
              (NAAFI)",NAAFI,"Darkly absorbing new dembow mutation from Tayhana for the CDMX powerhouse of NAAFI

Hailing from Argentina via Mexico City, Tayhana brings a salubrious knowledge of new club movements and regional hits to her productions on the ‘Tierra Del Fuego’ album following appearance on the ‘NAAFI 2.0’ comp and Debit’s Fader mix, and remixes of Lechuga Zafiro... more",/products/tierra-del-fuego-28358d7b-8108-48b1-924a-9683f8d8bffc,https://assets.boomkat.com/spree/products/624234/product/TAYHANA_Cover.jpg,1011,Siete Catorce,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1011
9,poliformo,10,El Irreal Veintiuno,Poliformo,"El Irreal Veintiuno

              —
              Poliformo
            
              (Subreal)",Subreal,"Outstanding dance futurism from El Irreal Veintiuno on Amazondotcom and Siete Catorce’s Subreal label - a haven for new, niche, mutant club music.

Marking his debut on the promising label, Mexico’s El Irreal Veintiuno’s comes hard with a mean hybrid of tribal guarachero and hardcore gabber animated with psychedelic levels of sound design. 

Drawing heavily... more",/products/poliformo,https://assets.boomkat.com/spree/products/620947/product/SR002_Cover.jpg,1011,Siete Catorce,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1011
10,princerorrohttpsmoretimerecordsbandcampcomalbumprincerorro,11,O.M.A.A.R,Prince Rorro ( https://moretimerecords.bandcamp.com/album/prince-rorro ),"O.M.A.A.R

            —
            Prince Rorro ( https://moretimerecords.bandcamp.com/album/prince-rorro )",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1011,Siete Catorce,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1011
11,lasakaneku-tomo,12,Slikback,Lasakaneku / Tomo,"Slikback

              —
              Lasakaneku / Tomo
            
              (Hakuna Kulala)",Hakuna Kulala,"Slikback’s long awaited vinyl debut compiles his pair of acclaimed Hakuna Kulala releases plus a trio of exclusive new bonus bangers - basically the most incendiary new club mutations from East and Central Africa highly compatible with Gqom, trap, speedcore, dancehall 🔥🔥🔥

Hailing from Nairobi, Kenya via Kampala, Uganda, Slikback has rapidly attracted a wave... more",/products/lasakaneku-tomo,https://assets.boomkat.com/spree/products/612941/product/HK014_Distribution_Preview.jpg,1011,Siete Catorce,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1011
