,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,herbstsonne,1,David Jackman,Herbstsonne,"David Jackman

            —
            Herbstsonne",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
1,petra,2,MARYANNE AMACHER,Petra,"MARYANNE AMACHER

              —
              Petra
            
              (Blank Forms Editions)",Blank Forms Editions,"Issued posthumously, ‘Petra (1991) For Two Pianos’ is the first ever vinyl pressing of music by Maryanne Amacher (1938-2009), one of the early “gurus” of electronic music, who is revered for her explorations of “otoacoustic emissions” - acoustic phenomena where the listener’s ears produce audible sound.

One of a handful of Maryanne’s works for tape, ‘Petra... more",/products/petra,https://assets.boomkat.com/spree/products/574393/product/0769791972766.jpg,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
2,chords-5a4c6ee2-92ee-4bf6-b840-3054364b3758,3,Ellen Arkbro,CHORDS,"Ellen Arkbro

              —
              CHORDS
            
              (Subtext Recordings)",Subtext Recordings,"Avant-garde composer and student of La Monte Young, Marian Zazeela and Jung Hee Choi, Ellen Arkbro renders sustained and harmonically opaque chords on her stunning second solo album for Subtext. More minimal and extended than her 2017 debut ‘For Organ and Brass’, 'Chords’ is a focussed study in a gradual manipulation of acoustic timbres, using subtle... more",/products/chords-5a4c6ee2-92ee-4bf6-b840-3054364b3758,https://assets.boomkat.com/spree/products/589163/product/a0633098293_10.jpg,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
3,tapeanthologyvol1,4,Christoph Berg,Tape Anthology Vol. 1,"Christoph Berg

            —
            Tape Anthology Vol. 1",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
4,cylene,5,François J. Bonnet & Stephen O'Malley,Cylene,"François J. Bonnet & Stephen O'Malley

              —
              Cylene
            
              (Editions Mego)",Editions Mego,"The GRM’s artistic director and Sunn O)))’s force of nature evoke vast shadowlands and illuminated cave systems in the premiere of their masterful duo recordings, rendering stunning, panoramic desert scenes filmed at dusk. It sounds like a more muted, introspective take on Neil Young’s 'Dead Man’ OST, via Bohren & Der Club of Gore after the jazz lights... more",/products/cylene,https://assets.boomkat.com/spree/products/596369/product/5050580716735.jpg,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
5,tracing-back-the-radiance,6,JEFRE CANTU-LEDESMA,Tracing Back the Radiance,"JEFRE CANTU-LEDESMA

              —
              Tracing Back the Radiance
            
              (Mexican Summer)",Mexican Summer,"The quietly rapturous sublime of ‘Tracing Back The Radiance’ forms Jefre Cantu-Ledesma’s first new album since 2017 and a definitive entry to his golden catalogue,

Leading on from the pop-tight arrangements of ‘On The Echoing Green’, Root-Strata founder Cantu-Ledesma is accompanied on a return to glorious, smudged, widescreen canvasses by esteemed... more",/products/tracing-back-the-radiance,https://assets.boomkat.com/spree/products/598382/product/184923125665.jpg,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
6,stark,7,John Duncan,Stark,"John Duncan

            —
            Stark",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
7,break-6d07c3d0-145b-416e-9e72-ea33f0dfabc3,8,Corey Fuller,Break,"Corey Fuller

              —
              Break
            
              (12K)",12K,,/products/break-6d07c3d0-145b-416e-9e72-ea33f0dfabc3,https://assets.boomkat.com/spree/products/557279/product/0881626527160.jpg,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
8,lake,9,Sarah Hennies,Lake,"Sarah Hennies

            —
            Lake",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
9,thedeonticmiracleselectionsfrom100modelsofhegikanroku,10,Catherine Christer Hennix,The Deontic Miracle: Selections from 100  Models of Hegikan Roku,"Catherine Christer Hennix

            —
            The Deontic Miracle: Selections from 100  Models of Hegikan Roku",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
10,erg-herbe,11,JAB,Erg Herbe,"JAB

              —
              Erg Herbe
            
              (Shelter Press)",Shelter Press,"This is pushing so many buttons for us right now; recordings of flutes and electronics from Brooklyn’s John Also Bennett aka JAB on his debut solo album ‘Erg Herbe’, echoing a fine tradition of loft-based, downtown NYC minimalism and new age ambience that references classic work by La Monte Young and Laurie Speigel as well as quieter intimations of... more",/products/erg-herbe,https://assets.boomkat.com/spree/products/563900/product/880918234236.jpg,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
11,ein-traum-fur-dich,12,"Kayo Makino, Tori Kudo",Ein Traum Für Dich,"Kayo Makino, Tori Kudo

              —
              Ein Traum Für Dich
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Trippy cinema for the ear, placing solo piano recitals of Satie in alternately, subtly and viscerally amorphous environments -  a surreal, oneiric improvisation between Maher Shalal Hash Baz mainman Tori Kudo (工藤冬里) and inventive DJ/mixtape compiler Kayo Makino, snuffled from the Japanese undergrowth by Oren Ambarchi’s Black Truffle

Hatched to be... more",/products/ein-traum-fur-dich,https://assets.boomkat.com/spree/products/599187/product/4250101409059.jpg,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
12,miniatures,13,Benjamin Nelson,Miniatures,"Benjamin Nelson

            —
            Miniatures",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
13,a-sunset-for-walter,14,Jérôme Noetinger and Anthony Pateras,A Sunset For Walter,"Jérôme Noetinger and Anthony Pateras

              —
              A Sunset For Walter
            
              (Penultimate Press)",Penultimate Press,"Revox tape master Noetinger and Sunn 0))) collaborator Pateras get right under the skin with a sublime, subtle shadowplay of keys and ferric spectres for Penultimate Press

““Having worked together in a number of different collaborative contexts over the years, the pair used Pateras’ 2018 residency at Schloss Solitude in Stuttgart as an opportunity to develop a... more",/products/a-sunset-for-walter,https://assets.boomkat.com/spree/products/610922/product/PP43_Noetinger_Pateras_Sleeve_web_high-res.jpg,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
14,electronics,15,Organum,Electronics,"Organum

            —
            Electronics",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
15,unseen-worlds,16,LAURIE SPIEGEL,Unseen Worlds,"LAURIE SPIEGEL

              —
              Unseen Worlds
            
              (UNSEEN WORLDS)",UNSEEN WORLDS,"The mothership has landed! Unseen Worlds finally deliver a premiere edition of Laurie Spiegel’s rare 1991 follow-up to ‘The Expanding Universe’ [1980], filling a gaping hole in electronic music collections across the known world

The jaw-dropping ’Unseen Worlds’ was first released on CD in 1991 by Scarlet Records, but the label went defunct soon after, leaving... more",/products/unseen-worlds,https://assets.boomkat.com/spree/products/551690/product/766008587782_T49339887940054.jpg,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
16,zwischendentnen,17,Ernstalbrecht Stiebler,Zwischen den Tönen,"Ernstalbrecht Stiebler

            —
            Zwischen den Tönen",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
17,everywhere-an-empty-bliss,18,Ivan Seal & The Caretaker,"Everywhere, An Empty Bliss","Ivan Seal & The Caretaker

              —
              Everywhere, An Empty Bliss
            
              (FRAC Auvergne)",FRAC Auvergne,"Ivan Seal’s paintings have accompanied almost all of James Leyland Kirby’s output as The Caretaker over the last two decades. This comprehensive book, made to coincide with a long-in-the-making exhibition in Clermont Ferrand, France, provides a beautiful, in-depth look at their work together through 160 pages of artwork, essays and commentary from... more",/products/everywhere-an-empty-bliss,https://assets.boomkat.com/spree/products/578407/product/Caretaker_1.jpg,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
18,fremde-zeit-addendem-5,19,JAKOB ULLMANN,Fremde Zeit Addendum #5 - Solo V Für Klavier,"JAKOB ULLMANN

              —
              Fremde Zeit Addendum #5 - Solo V Für Klavier
            
              (EDITION RZ)",EDITION RZ,"Bringing to a close a series which has frankly altered the way we listen to and perceive sound and music over the course of this decade, Jakob Ullmann seals his important Fremde Zeit series with ‘Solo V for Klavier’; a fascinatingly stark and spectral hour-long finale that sets the idea of ‘Foreign Time’ in its most minimalist and broadest setting.

Like the previous... more",/products/fremde-zeit-addendem-5,https://assets.boomkat.com/spree/products/576422/product/jakobullmann-addendum.jpg,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
19,reducing-the-tempo-to-zero-b94b060d-5b7a-480b-bc01-c86cbe211e6b,20,Ben Vida,Reducing The Tempo To Zero,"Ben Vida

              —
              Reducing The Tempo To Zero
            
              (Shelter Press)",Shelter Press,"Shelter Press cap 2019 with a steeply hypnotic, four hour long immersion into the liminal boundaries of Ben Vida’s digital and analog synthesis - one of the most immersive and moving releases we’ve heard this year and an unmissable trip for followers of Eliane Radigue, Dennis Johnson, La Monte Young, Morton Feldman or anyone who fell deep into Jim... more",/products/reducing-the-tempo-to-zero-b94b060d-5b7a-480b-bc01-c86cbe211e6b,https://assets.boomkat.com/spree/products/628050/product/880918237565.jpg,960,Stephan Mathieu,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/960
