,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,ragamarwa,1,Imrat Khan,Raga Marwa,"Imrat Khan

            —
            Raga Marwa",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1000,Stephen O’Malley,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1000
1,peaceandlove,2,Stomu Yamash’ta,Peace and Love,"Stomu Yamash’ta

            —
            Peace and Love",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1000,Stephen O’Malley,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1000
2,ghosteen,3,NICK CAVE & THE BAD SEEDS,Ghosteen,"NICK CAVE & THE BAD SEEDS

              —
              Ghosteen
            
              (Ghosteen LTD)",Ghosteen LTD,"""The songs on the first album are the children. The songs on the second album are their parents. Ghosteen is a migrating spirit.’ - Nick Cave.

""The album was recorded in 2018 and early 2019 at Woodshed in Malibu, Nightbird in Los Angeles, Retreat in Brighton and Candybomber in Berlin. It was mixed by Nick Cave, Warren Ellis, Lance Powell and Andrew... more",/products/ghosteen,https://assets.boomkat.com/spree/products/620085/product/5056167114802_T12_Image.jpg,1000,Stephen O’Malley,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1000
3,occulting-disk,4,DEATHPROD,Occulting Disk,"DEATHPROD

              —
              Occulting Disk
            
              (Smalltown Supersound)",Smalltown Supersound,"Formidable dark ambient se’er Deathprod returns like a rare comet with the keeling “anti-fascist ritual” of ‘Occulting Disk’ - his first solo album in over 15 years - offering a life-affirming warning to the power of negative energy.

Proceeding 2004’s canonical classic ‘Morals And Dogma’, the Norwegian sound design auteur here gathers his uniquely dematerialised... more",/products/occulting-disk,https://assets.boomkat.com/spree/products/613918/product/7072822360009_T56766888250054.jpg,1000,Stephen O’Malley,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1000
4,chernobyl-ost,5,HILDUR Gudnadottir,Chernobyl OST,"HILDUR Gudnadottir

              —
              Chernobyl OST
            
              (DECCA)",DECCA,"Preminent soundtrack composer and virtuoso cellist tactfully mirrors the mood of HBO’s ‘Chernobyl’ docudrama in her crushingly dark ‘Music From The TV Series’

One of this year’s must-see bits of telly, ‘Chernobyl’ tells the ill-fated tale of the Soviet nuclear power station, its catastrophic end, and its fallout - both nuclear and political - thru a ruck of gurning... more",/products/chernobyl-ost,https://assets.boomkat.com/spree/products/611729/product/R-13701895-1559329825-9463.jpeg.jpg,1000,Stephen O’Malley,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1000
5,the-drought-08b402b0-7549-476a-8da1-470146f1dd1e,6,Puce Mary,The Drought,"Puce Mary

              —
              The Drought 
            
              (PAN)",PAN,"Scowling industrial bad vibes from Frederikke Hoffmeier’s Puce Mary, mounting her debut LP with PAN after dishing out dozens of albums and oddjobs for Posh Isolation, Ascetic House, iDEAL under her own name and also as Amphetamine Logic, JH1.FS3, and Body Sculptures during the preceding decade

“Building from a reputation of arresting live... more",/products/the-drought-08b402b0-7549-476a-8da1-470146f1dd1e,https://assets.boomkat.com/spree/products/521987/product/Rdland.jpg,1000,Stephen O’Malley,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1000
6,the-deontic-miracle-selections-from-100-models-of-hegikan-roku,7,The Deontic Miracle (Catherine Christer Hennix),Selections from 100 Models of Hegikan Roku,"The Deontic Miracle (Catherine Christer Hennix)

              —
              Selections from 100 Models of Hegikan Roku
            
              (Blank Forms Editions, Empty Editions)","Blank Forms Editions, Empty Editions","‘Selections from 100 Models of Hegikan Roku’ is the stunning, second major Catherine Christer Hennix work to appear on vinyl via NYC’s Blank Forms Editions and Empty Editions following ‘Selected Early Keyboard Works’ - one of 2018’s certified albums of the year. Let's just say that this one hits even harder. Read on.

Proceeding to fill crucial gaps in Hennix’s 60... more",/products/the-deontic-miracle-selections-from-100-models-of-hegikan-roku,https://assets.boomkat.com/spree/products/593138/product/0769791973992.jpg,1000,Stephen O’Malley,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1000
7,unseen-worlds,8,LAURIE SPIEGEL,Unseen Worlds,"LAURIE SPIEGEL

              —
              Unseen Worlds
            
              (UNSEEN WORLDS)",UNSEEN WORLDS,"The mothership has landed! Unseen Worlds finally deliver a premiere edition of Laurie Spiegel’s rare 1991 follow-up to ‘The Expanding Universe’ [1980], filling a gaping hole in electronic music collections across the known world

The jaw-dropping ’Unseen Worlds’ was first released on CD in 1991 by Scarlet Records, but the label went defunct soon after, leaving... more",/products/unseen-worlds,https://assets.boomkat.com/spree/products/551690/product/766008587782_T49339887940054.jpg,1000,Stephen O’Malley,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1000
8,op50requiemofartauscelticfluxorumorganumii,9,Henning Christiansen,OP.50 Requiem of Art (Aus “Celtic”) FLUXORUM ORGANUM II,"Henning Christiansen

            —
            OP.50 Requiem of Art (Aus “Celtic”) FLUXORUM ORGANUM II",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1000,Stephen O’Malley,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1000
9,amadjar,10,TINARIWEN,Amadjar,"TINARIWEN

              —
              Amadjar
            
              (Wedge)",Wedge,"Stephen O’Malley, Warren Ellis (Dirty Three/The Bad Seeds) and Cass McCombs guest on the latest dispatch from Mali’s Tuareg Blues troupe Tinariwen

""The best Tinariwen album hasn’t been recorded yet. Perhaps it never will be. Because the best Tinariwen music isn’t the music they perform in front of microphones. It’s the music they play at night around... more",/products/amadjar,https://assets.boomkat.com/spree/products/609287/product/5400863012564_T55274245610054.jpg,1000,Stephen O’Malley,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1000
