,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,sinexistensiasecondcircle,1,Zatva,Sin Existensia (Second Circle),"Zatva

            —
            Sin Existensia (Second Circle)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1043,Sähkö,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1043
1,mubashira-mataali-group,2,Mubashira Mataali Group,Mubashira Mataali Group,"Mubashira Mataali Group

              —
              Mubashira Mataali Group
            
              (Blip Discs)",Blip Discs,"A result of the flowering links between Ugandan music and the UK, the début record by Kampala’s Mubashira Mataali Group showcases an hypnotic style of mataali drum music on Blip Discs.

Four tracks of rolling rhythmelody feature the captivating vocals of musician/filmstar Sulaiman Sulait against backing vocal harmonies, sung and almost rapped in devotion to... more",/products/mubashira-mataali-group,https://assets.boomkat.com/spree/products/494402/product/A10341T000001AWCDT_T39736653010054.jpg,1043,Sähkö,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1043
2,bangalore-whispers,3,Andi Otto,Bangalore Whispers,"Andi Otto

              —
              Bangalore Whispers
            
              (Pingipung)",Pingipung,,/products/bangalore-whispers,https://assets.boomkat.com/spree/products/439191/product/0880319751011.jpg,1043,Sähkö,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1043
3,gentledramapolychromesounds,4,Peter Power,Gentle Drama (Polychrome Sounds),"Peter Power

            —
            Gentle Drama (Polychrome Sounds)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1043,Sähkö,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1043
4,mio-mio,5,Mio Mio,Mio Mio,"Mio Mio

              —
              Mio Mio
            
              (Proibito)",Proibito,"Super louche and scuffed-up house swang from a cat called MIO MIO on Antony Naples Proibito.

Following on from the boss's 'Body Pill' album and Huerco .'s 'Railroad Blues', MIO MIO keeps the vibe assuredly off-kilter in both cases. The woozy, oriental reed lead and bumpty flow of 'Painted On The Corner' recall both Beatrice Dillon's brilliant 'Face A / B' and... more",/products/mio-mio,https://assets.boomkat.com/spree/products/306415/product/812388028237_T23998576980054.jpg,1043,Sähkö,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1043
5,themornescountryflutevolumeibongojoe,6,Max Cilla,The Mornes Country Flute Volume I (Bongo Joe),"Max Cilla

            —
            The Mornes Country Flute Volume I (Bongo Joe)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1043,Sähkö,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1043
6,resonance-2aa7fb5e-8ee7-468d-9de0-7e5ef7efe24c,7,Golden Mean,Resonance,"Golden Mean

              —
              Resonance
            
              (FIT SOUND)",FIT SOUND,"Throbbing, avant-house music by artists Sabisha Friedberg and Tyler Wilcox, aka Golden Mean for the purposes of their debut 12”, Resonance with Detroit’s Fit Sound. 

A blend of droll spoken word and absorbing, pulsating subbass, Resonance is prepped in three mixes; the dry darkroom pound of the original Resonance and an unprocessed A Capella room... more",/products/resonance-2aa7fb5e-8ee7-468d-9de0-7e5ef7efe24c,https://assets.boomkat.com/spree/products/545909/product/0804551303920.jpg,1043,Sähkö,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1043
7,verte,8,Mallard,Verte,"Mallard

              —
              Verte
            
              (Rhythm Section International)",Rhythm Section International,"Rhythm Section’s new pick-up comes lean and limber with his debut electro-jazz flight, Verte

Sweetly gliding from what sounds like Dego jamming with E.R.P. in the choral percolation and nimble drum programming of Aquitaine (606 Lake Mix), to air-walking cumbia triplets in Surface and hip-dipping electromanctics in Marco’s Mango, before bringing that West... more",/products/verte,https://assets.boomkat.com/spree/products/424072/product/3614975543775.jpg,1043,Sähkö,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1043
8,morninggrowmelancholygrowremixescomatonse,9,k-s.h.e vs juzu a.k.a. moochy,Morning Grow: Melancholy Grow Remixes (Comatonse),"k-s.h.e vs juzu a.k.a. moochy

            —
            Morning Grow: Melancholy Grow Remixes (Comatonse)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1043,Sähkö,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1043
9,spielt-eigene-komposition,10,Emahoy Tsegue-Mariam Guebru,Spielt Eigene Kompositionen,"Emahoy Tsegue-Mariam Guebru

              —
              Spielt Eigene Kompositionen
            
              (MISSISSIPPI)",MISSISSIPPI,"Astonishing and beautiful side of solo piano pieces mixing Satie-esque classical, Ethiopian traditions, jazz and Christian religious music in sweeping arpeggios. 

'Spielt Eigene Kompositionen' was originally issued as half of Ethiopiques series Vol. 21. As the daughter of an Ethiopian politician, Tsege Mariam Gebru mostly grew up outside the country, schooled in... more",/products/spielt-eigene-komposition,https://assets.boomkat.com/spree/products/368086/product/large_550_tmp_2F1469221958692-qjemaxhg5ype1tsx-4ca5b17f7ba927caeeb49e6f587a6c8c_2FMRP025.jpg,1043,Sähkö,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1043
