,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,meridianresponsethextraresponseepgreenbaywax,1,Phineus II,Meridian Response / The Xtra Response EP (Green Bay Wax),"Phineus II

            —
            Meridian Response / The Xtra Response EP (Green Bay Wax)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1061,T++,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1061
1,drenched112rsten,2,Sstrom,Drenched 1-12 (Rösten),"Sstrom

            —
            Drenched 1-12 (Rösten)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1061,T++,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1061
2,konoyo,3,TIM HECKER,Konoyo,"TIM HECKER

              —
              Konoyo
            
              (Kranky)",Kranky,"Chromatic conjurer Tim Hecker meets traditional Japanese Gagaku musicians from the Tokyo Gakuso ensemble on ‘Konoyo’, a dreamlike dramaturgy of noise, dissonance and aching melody recorded during several trips to Japan

The Canadian’s 9th solo release ‘Konoyo’, like its predecessor, ‘Love Streams’ [2016] also finds Hecker drawn to acoustic instruments... more",/products/konoyo,https://assets.boomkat.com/spree/products/528720/product/796441821921.jpg,1061,T++,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1061
3,anoyo,4,TIM HECKER,Anoyo,"TIM HECKER

              —
              Anoyo
            
              (Kranky)",Kranky,"Tim Hecker returns with a companion piece to his recent Konoyo album.

""Anoyo (“the world over there”) draws from the same sessions with members of Tokyo Gakuso which led to the 2018 work Konoyo, but rendered starker, solemn, and stripped back, with more of a naturalist tint. Hecker’s processing here moves in veiled ways, soft refractions and... more",/products/anoyo,https://assets.boomkat.com/spree/products/585212/product/796441822027.jpg,1061,T++,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1061
4,levl-1,5,LEVL,LEVL#1,"LEVL

              —
              LEVL#1
            
              (Arcola)",Arcola,"Desiccated, mnmlst, grey area D&B incursions from Levl, leading on from appearance on Hidden Hawaii with a debut for Warp’s Arcola sublabel

Pushing classic D&B frameworks further into the murk than even the UVB-76 cru, the three tracks are an exercise in meditative energy conservation, keeping everything tucked in and menacing by inference, not... more",/products/levl-1,https://assets.boomkat.com/spree/products/601407/product/5060384616513.jpg,1061,T++,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1061
5,levl2nullpunkt,6,Levl,Levl #2 (Nullpunkt),"Levl

            —
            Levl #2 (Nullpunkt)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1061,T++,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1061
6,cylene,7,François J. Bonnet & Stephen O'Malley,Cylene,"François J. Bonnet & Stephen O'Malley

              —
              Cylene
            
              (Editions Mego)",Editions Mego,"The GRM’s artistic director and Sunn O)))’s force of nature evoke vast shadowlands and illuminated cave systems in the premiere of their masterful duo recordings, rendering stunning, panoramic desert scenes filmed at dusk. It sounds like a more muted, introspective take on Neil Young’s 'Dead Man’ OST, via Bohren & Der Club of Gore after the jazz lights... more",/products/cylene,https://assets.boomkat.com/spree/products/596369/product/5050580716735.jpg,1061,T++,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1061
7,life-metal,8,Sunn O))),"Life Metal
            
              ((RED) Southern Lord / Southern Lord)","Sunn O)))

              —
              Life Metal
            
              ((RED) Southern Lord / Southern Lord)",,"Greg Anderson & Stephen O’Malley’s Sunn 0))) mark 20 years of shaking our foundations with ‘Life Metal’, their 8th studio album and first all analog recording, engineered by none other than Steve Albini.

Under a title that pricks trve metal seriousness (it’s an inside joke about Norwegian metal “sellouts”), ‘Life Metal’ is offered as the closest possible... more",/products/life-metal,https://assets.boomkat.com/spree/products/587580/product/808720030051.jpg,1061,T++,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1061
8,pyroclasts,9,Sunn O))),"Pyroclasts
            
              (Southern Lord / (RED) Southern Lord)","Sunn O)))

              —
              Pyroclasts
            
              (Southern Lord / (RED) Southern Lord)",Southern Lord /,"Thee almighty Sunn 0))) vent elemental in ‘Pyroclasts’; a powerful spirit twin to their force of nature ‘Life Metal’, also recorded by Steve Albini at Electrical Audio, Chicago.

Self-described by the band as “more meditative” than its antecedent, we hear ‘Pyroclastic’ in more tantric terms, delivering its message with a suspenseful deferred gratification and... more",/products/pyroclasts,https://assets.boomkat.com/spree/products/620747/product/808720033359.jpg,1061,T++,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1061
9,the-planets-earth,10,"The Untouchables, J Robinson, Dub Monger",The Planets: Earth,"The Untouchables, J Robinson, Dub Monger

              —
              The Planets: Earth
            
              (Rupture LDN)",Rupture LDN,,/products/the-planets-earth,https://assets.boomkat.com/spree/products/596181/product/192641333668.jpg,1061,T++,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1061
