,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,bombsniffingdogstwh001icannotcompareittoanythingelseelenapoulou,1,WORD WALL 2,Bomb Sniffing Dogs (TWH001) - ‘I cannot compare it to anything else.’ – Elena Poulou,"WORD WALL 2

            —
            Bomb Sniffing Dogs (TWH001) - ‘I cannot compare it to anything else.’ – Elena Poulou",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,998,The White Hotel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/998
1,isitrealorimagined,2,The sound of Northern Rail moving,is it real or imagined?,"The sound of Northern Rail moving

            —
            is it real or imagined?",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,998,The White Hotel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/998
2,themefromtheirishmanakadesiourheaddoormanifmeanstreetsisablastofjukeboxblissandgoodfellasrelentlessrocknrollandcasinosoaringoperathentheirishmanisheartbreakingfuneralmusic,3,Robbie Robertson,"Theme from The Irishman (aka Desi our Head Doorman) – If MEAN STREETS is a blast of jukebox bliss, and GOODFELLAS relentless rock 'n' roll, and CASINO soaring opera, then THE IRISHMAN is heart breaking funeral music.","Robbie Robertson

            —
            Theme from The Irishman (aka Desi our Head Doorman) – If MEAN STREETS is a blast of jukebox bliss, and GOODFELLAS relentless rock 'n' roll, and CASINO soaring opera, then THE IRISHMAN is heart breaking funeral music.",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,998,The White Hotel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/998
3,thesoundofmartinspublicrageaftercharliepotatossnaffledhisplastickettleintwh,4,,The sound of Martin’s public rage after Charlie Potato’s snaffled his plastic kettle in TWH.,The sound of Martin’s public rage after Charlie Potato’s snaffled his plastic kettle in TWH.,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,998,The White Hotel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/998
4,firstreformedostthedevilmaycarefilmhasfinallyfounditsvoiceanditreverberateslikethelastpulsesofearth,5,Lustmord,First Reformed (OST) – the devil-may-care film has finally found it’s voice and it reverberates like the last pulses of Earth.,"Lustmord

            —
            First Reformed (OST) – the devil-may-care film has finally found it’s voice and it reverberates like the last pulses of Earth.",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,998,The White Hotel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/998
5,liveattwheachonseparatenightsthatnowflowintoonemagnificentmessofourminds,6,Container/Lucrecia Dalt/Sarah Davachi,Live at TWH – each on separate nights that now flow into one magnificent mess of our minds.,"Container/Lucrecia Dalt/Sarah Davachi

            —
            Live at TWH – each on separate nights that now flow into one magnificent mess of our minds.",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,998,The White Hotel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/998
6,vscancelledmesandhalfamouseonmarstakingtheroyalpissoutofdominoshipstergobshitteryfirstheardliveatthecornerhousein2014,7,Jan St.Werner & Mark E Smith,VS Cancelled – MES and half a Mouse on Mars taking the royal piss out of DOMINO’s hipster gobshittery. First heard live at The Cornerhouse in 2014.,"Jan St.Werner & Mark E Smith

            —
            VS Cancelled – MES and half a Mouse on Mars taking the royal piss out of DOMINO’s hipster gobshittery. First heard live at The Cornerhouse in 2014.",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,998,The White Hotel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/998
7,closingcreditsthemefrombbcnewsnightinterviewwithprinceandrewconductedbyemilymaitlisbestlistenedtowithacupofghislainemaxwellhouse,8,,Closing credits theme from BBC Newsnight interview with Prince Andrew conducted by Emily Maitlis – best listened to with a cup of Ghislaine Maxwell House.,Closing credits theme from BBC Newsnight interview with Prince Andrew conducted by Emily Maitlis – best listened to with a cup of Ghislaine Maxwell House.,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,998,The White Hotel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/998
8,inroom1attwh480minutesofbarmyblissblastedoutasavsigntoaphextwinspartypoliticalbroadcastovertheroad,9,Conor Thomas,in Room 1 at TWH – 480 minutes of barmy bliss blasted out as a V-sign to Aphex Twin’s party political broadcast over the road.,"Conor Thomas

            —
            in Room 1 at TWH – 480 minutes of barmy bliss blasted out as a V-sign to Aphex Twin’s party political broadcast over the road.",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,998,The White Hotel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/998
9,likethatofayawninggraveallfarewellsshouldbesuddenandendorsedbythelocalcouncil,10,The sound of TWH Pit closing,like that of a yawning grave. All farewells should be sudden and endorsed by the local council.,"The sound of TWH Pit closing

            —
            like that of a yawning grave. All farewells should be sudden and endorsed by the local council.",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,998,The White Hotel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/998
