,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,dhil-un-taht-shajarat-al-zaqum,1,MSYLMA,Dhil-un Taht Shajarat Al-Zaqum,"MSYLMA

              —
              Dhil-un Taht Shajarat Al-Zaqum
            
              (Halcyon Veil)",Halcyon Veil,"One of 2019’s standout albums is now available on vinyl for the first time; the solo debut by Mecca-based Msylma is a compelling coming-of-age tale sung in classical Arabic and set to stark, mystic electronic production by Zuli, 1127 and the artist himself for Rabit’s often pioneering Halcyon Veil label.

A profoundly original record steeped in millennia of... more",/products/dhil-un-taht-shajarat-al-zaqum,https://assets.boomkat.com/spree/products/571427/product/MSYLMA_Best_of_2019.jpg,1056,Xyn Cabal,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1056
1,imperial-flood,2,Logos,Imperial Flood,"Logos

              —
              Imperial Flood
            
              (Different Circles)",Different Circles,"Jaw-dropping 2nd album by Logos, follow-up to his UK classic ‘Cold Mission’, full of clinical sci-fi sound design and stylized noir narrative riddled with club zingers, checking the electric blue pulse of UK Hardcore Musicks.

Setting a new high-water mark for UK dance-related albums, ‘Imperial Flood’ stakes a claim for Logos as a key dramaturgist of all things... more",/products/imperial-flood,https://assets.boomkat.com/spree/products/566491/product/DIFFLP003_Cover.jpg,1056,Xyn Cabal,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1056
2,aesthesis,3,Shapednoise,Aesthesis,"Shapednoise

              —
              Aesthesis
            
              (Numbers)",Numbers,"Shapednoise cold crushes it on his long-awaited ‘Asethesis’ album for Numbers, making up for a noticeable absence from release schedules since his 2018 turn with The Sprawl

The Sicilian artist returns at his most belligerent and destructive in ‘Aesthesis’ for a ferocious demonstration of brutalist sound design tekkers, as previously scattered between releases... more",/products/aesthesis,https://assets.boomkat.com/spree/products/620734/product/5060163491638_T58374767570054.jpg,1056,Xyn Cabal,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1056
3,captured-entities,4,H-FUSION,Captured Entities,"H-FUSION

              —
              Captured Entities
            
              (The Death Of Rave)",The Death Of Rave,"Cult Detroit DJ/producer Howard Thomas aka H-Fusion supplies a crackshot debut album of psycho-jit-jazz and rugged raw house on The Death of Rave following his secret weapon 12”s and trax for Sound Signature, Transmat and Fit between 2005-2012. Spanning a hands-on, tracky style ranging from 170bpm Jit missiles to ruff but romantic house and beatless... more",/products/captured-entities,https://assets.boomkat.com/spree/products/609755/product/RAVE027_Distriburion_Preview.jpg,1056,Xyn Cabal,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1056
4,psychopomposbravemysteries,5,Penelope's Fiance,Psychopompos (Brave Mysteries),"Penelope's Fiance

            —
            Psychopompos (Brave Mysteries)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1056,Xyn Cabal,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1056
5,montparnassereissuecamisolerecords,6,Yoran,Montparnasse (Reissue) (Camisole Records),"Yoran

            —
            Montparnasse (Reissue) (Camisole Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1056,Xyn Cabal,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1056
6,split-8370548f-8dbd-4c91-9832-77befbc02d72,7,Tzusing / M.E.S.H,Split,"Tzusing / M.E.S.H

              —
              Split
            
              (PAN)",PAN,"PAN kick off a super limited, 5-part, club-ready, hand-stamped white label series with killer cuts by Tzusing and M.E.S.H., available in a run of 300 copies.

Uptown, Shanghai’s Tzusing slows sino-grime down, battered with ballstic punctuation and dramatic strings in the first part, before sidewinding into an industrial dancehall style cheered on by shrieking vox in... more",/products/split-8370548f-8dbd-4c91-9832-77befbc02d72,https://assets.boomkat.com/spree/products/568523/product/PAN95.jpg,1056,Xyn Cabal,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1056
7,incised-shards,8,Lensk,Incised Shards,"Lensk

              —
              Incised Shards
            
              (Hypermedium)",Hypermedium,"Elegantly deft and urgently grimy dance musick probes from Lensk, a new cat on the Hypermedium label run by visionary producer Xyn Cabal in Athens, Greece.

Arriving as Lensk’s solo vinyl debut after a tape, ‘Flatline’ (2018) for Angoisse, and digi EP ‘Apophenia’ (2019) with Jerome, the ‘Incised Shards’ EP stacks up six razor-cut explorations of grime and UK... more",/products/incised-shards,https://assets.boomkat.com/spree/products/622009/product/a3428395976_10.jpg,1056,Xyn Cabal,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1056
8,eraser-62fedd6d-e5c2-4c0a-a766-5026b1db9d87,9,DJ Richard,Eraser,"DJ Richard

              —
              Eraser
            
              (FLEXXSEAL)",FLEXXSEAL,,/products/eraser-62fedd6d-e5c2-4c0a-a766-5026b1db9d87,https://assets.boomkat.com/spree/products/613394/product/0810025343125.jpg,1056,Xyn Cabal,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1056
9,lexachast,10,Amnesia Scanner & Bill Kouligas,Lexachast,"Amnesia Scanner & Bill Kouligas

              —
              Lexachast
            
              (PAN)",PAN,"Finally, Amnesia Scanner, Bill Kouligas and Harm Van Dorpel’s A/V project arrives in album form, taking in unspooled/unravelling mixtape fragments, generative avant-EDM and cyberdrone topographies inspired by NSFW imagery and extreme banality. If you were into Haswell & Hecker’s amazing ‘Blackest Ever Black (Electroacoustic UPIC... more",/products/lexachast,https://assets.boomkat.com/spree/products/576583/product/Amnesia-Scanner-and-Bill-Kouligas_Best-of-2019.jpg,1056,Xyn Cabal,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1056
