,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,vivienne,1,Laila Sakini,Vivienne,"Laila Sakini

              —
              Vivienne
            
              (Total Stasis)",Total Stasis,"Another record that arrived just on the cusp of strange times™ and sold out before anyone really had a chance to notice, Laila Sakini’s  ‘Vivienne’ is an intimate collection of threadbare songs for piano, voice and effects that evoke a tremendous sense of melancholy -  like a set of half-remembered earworms drifting into view decades later. It's an album that provided us... more",/products/vivienne,https://assets.boomkat.com/spree/products/709455/product/Cover.jpg,1236,Boomkat Hidden Gems,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1236
1,model-express,2,Cindy Lee,Model Express,"Cindy Lee

              —
              Model Express
            
              (W.25TH / Superior Viaduct)",W.25TH / Superior Viaduct,"A second knockout album of psych-pop noise genius from Cindy Lee in 2020, chasing up AOTY contender ‘What’s Tonight To Eternity’ with a bouquet of more tormented, ragged pop and post-punk synth noise for Superior Viaduct - think Suicide meets Sonic Youth and Scott Walker at the Velvets’ gaff.

Are you even allowed to have two insanely strong albums out in one... more",/products/model-express,https://assets.boomkat.com/spree/products/701619/product/857661008209.jpg,1236,Boomkat Hidden Gems,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1236
2,welfare-d17af83e-1b23-448c-adc5-15b005f1849d,3,Lucy Liyou,Welfare,"Lucy Liyou

              —
              Welfare
            
              (ijn inc.)",ijn inc.,"Dead uncanny new music from Lucy Liyou, a Philadelphia-based ambient/collage artist creating absorbing musical stories based on Korean folk-opera and “nuances in Quotidian experience” - think Nozomu Matsumoto meets Klein at Arca’s gaff and you’ve nearly got a grasp on this one.

Poetically voiced by text-to-speech software and patched together from a... more",/products/welfare-d17af83e-1b23-448c-adc5-15b005f1849d,https://assets.boomkat.com/spree/products/645303/product/5050580734951.jpg,1236,Boomkat Hidden Gems,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1236
3,znayesh-yak-rozkazhy,4,Svitlana Nianio & Oleksandr Yurchenko,Znayesh Yak? Rozkazhy,"Svitlana Nianio & Oleksandr Yurchenko

              —
              Znayesh Yak? Rozkazhy
            
              (Night School)",Night School,"Exquisite neo-folk from Kiev Ukraine, 1995, dropping on the mind’s eye like freezer-fresh LSD to conjure bucolic imagery fraught with a frazzled, hyaline tension that could snap either way. So good this one.

""Svitlana Nianio and Oleksandr Yurchenko are musicians with a long history in the still-mysterious Kiev Underground. Nianio’s first group Cukor Bela... more",/products/znayesh-yak-rozkazhy,https://assets.boomkat.com/spree/products/634823/product/767870660962.jpg,1236,Boomkat Hidden Gems,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1236
4,crooner-qui-coule-sous-les-clous,5,Oï les Ox,Crooner qui coule sous les clous,"Oï les Ox

              —
              Crooner qui coule sous les clous
            
              (The Death Of Rave / Primordial Void)",The Death Of Rave / Primordial Void,"Unreal début from French musician, artist, writer and dramaturge, Oï les Ox; basically one of the craftiest albums we’ve heard all of this damned 2020 - riddled with melodic ohrwurms - a massive RIYL Trevor Duncan’s La Jetée soundtrack to the most enigmatic oddities from Broadcast to Julia Holter, Teresa Winter to Nozomu Matsumoto and Rian Treanor’s... more",/products/crooner-qui-coule-sous-les-clous,https://assets.boomkat.com/spree/products/706642/product/Cover.jpg,1236,Boomkat Hidden Gems,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1236
5,work-f299def4-93c5-46ba-bbe9-a46e48466b58,6,Hanne Lippard,Work,"Hanne Lippard

              —
              Work
            
              (COLLAPSING MARKET)",COLLAPSING MARKET,"This is a brilliantly weird and hypnotic record, featuring pretty much nothing but the voice of conceptual artist Hanne Lippard reading a variety of texts typical of our digital age - things like autoresponders, FAQ’s, social media posts, bot-generated spam mail etc (or as she calls it ‘degenerate, or “b-language”) as a continuation of her ongoing investigation of the... more",/products/work-f299def4-93c5-46ba-bbe9-a46e48466b58,https://assets.boomkat.com/spree/products/673300/product/Cover.jpg,1236,Boomkat Hidden Gems,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1236
6,i-had-forgotten-how-much-light-there-was-in-the-world-till-you-gave-it-back-to-me,7,Otherworld,I Had Forgotten How Much Light There Was In The World Till You Gave It Back To Me,"Otherworld

              —
              I Had Forgotten How Much Light There Was In The World Till You Gave It Back To Me
            
              (Night School)",Night School,"Stunning, perfectly zonked and secretive drone visions from Kay Logan’s Otherworld for her Anxiety bandmate Michael Kasparis’ ever-surprising Night School - a real shout for fans of Zoviet France, Two Daughters, Coil, Kevin Drumm

A lowkey jaw-dropper of music that lives up to its choice moniker and title, this appears to be Otherworld’s first vinyl and 2nd... more",/products/i-had-forgotten-how-much-light-there-was-in-the-world-till-you-gave-it-back-to-me,https://assets.boomkat.com/spree/products/679283/product/767870664502.jpg,1236,Boomkat Hidden Gems,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1236
7,slow-music,8,Lol Coxhill & Morgan Fisher,Slow Music,"Lol Coxhill & Morgan Fisher

              —
              Slow Music
            
              (Aguirre / Cherry Red Records)",Aguirre / Cherry Red Records,"Spellbinding 1980 ambient masterwork by UK’s Morgan Fisher and Lol Coxhill, resurfacing on a timely 40th anniversary reissue via Belgium’s ever searching Aguirre label

‘Slow Music’ is an ingenious experimental synthesis of instrumental intuition and meticulous tape edits realised by soprano sax legend Lol Coxhill and synths/keys maestro Morgan... more",/products/slow-music,https://assets.boomkat.com/spree/products/674612/product/Morgan_Fisher___Lol_Coxhill_-_Slow_Music_%28ZORN058LP%29.jpg,1236,Boomkat Hidden Gems,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1236
8,introducing-michael-j-blood,9,Michael J. Blood,Introducing Michael J. Blood,"Michael J. Blood

              —
              Introducing Michael J. Blood
            
              (2 B Real)",2 B Real,"For our money, an everlasting classic - one that finally made it to wax at more or less exactly the moment clubs were shuttered earlier this year. A great tease - for sure - but also somehow the most uplifting record we heard in 2020, cut in the mould of classic Chicago gear but with a distinctly aggy vibe, aided by Tom Boogizm’s fluid, no-f*cks-given mixing... more",/products/introducing-michael-j-blood,https://assets.boomkat.com/spree/products/657641/product/Cover.jpg,1236,Boomkat Hidden Gems,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1236
9,nova-vida-passada,10,Luar Domatrix,Nova Vida Passada,"Luar Domatrix

              —
              Nova Vida Passada
            
              (Domestic Exile)",Domestic Exile,"Killer, freaked R&B, pop and tarraxho zingers from one half of Lisbon/Glasgow’s Yong Yong, Luar Domatrix, spinning perpendicular to Principe, Equiknoxx and Hakuna Kulala in wicked screwball style . TIP!!!!

Favoured by the likes of Jon K and Debonaire on NTS, Luar Domatrix sees the Portuguese artist proceed further from the Hype Williams esque Yong... more",/products/nova-vida-passada,https://assets.boomkat.com/spree/products/676734/product/unnamed.jpg,1236,Boomkat Hidden Gems,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1236
10,figures-cc563955-b000-4068-a1f4-ec2ff7c2cd18,11,Laila Sakini and Lucy Van,Figures,"Laila Sakini and Lucy Van

              —
              Figures
            
              (Purely Physical Teeny Tapes)",Purely Physical Teeny Tapes,"Sorely slept-on 2017 EP of hushed poetry and woozy, heatsick backdrops from London/Melbourne’s Laila Sakini & Lucy Van - a must check for fans of CS + Kreme, Bullion, Jonnine

On its initial release ‘Figures’ was the first recording issued by Purely Physical Teeny Tapes, a probing London-based label who’ve since welcomed M. Quake and Max Eilbacher to their... more",/products/figures-cc563955-b000-4068-a1f4-ec2ff7c2cd18,https://assets.boomkat.com/spree/products/425313/product/5055869522618_T5_Image.jpg,1236,Boomkat Hidden Gems,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1236
11,both-1c11963e-f018-4780-8f7a-29204fce0c75,12,Bill Nace,Both,"Bill Nace

              —
              Both
            
              (Drag City)",Drag City,"Killer, beautifully scorched noise guitar and amp séances for the connoisseurs right here from improv catalyst Bill Nace (Body/Head) at his most crudely tactile and feverishly slow-burning. Highly recommended if you're into Wolf Eyes, Dilloway, Nate Young, Sonic Youth.

It’s got some real spirit to this one, not to mention the sweat, hair, muscle and bones that... more",/products/both-1c11963e-f018-4780-8f7a-29204fce0c75,https://assets.boomkat.com/spree/products/634972/product/781484073727_T9_Image.jpg,1236,Boomkat Hidden Gems,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1236
12,soaring-wayne-phoenix-story-the-earth,13,Wayne Phoenix,soaring wayne phoenix story the earth,"Wayne Phoenix

              —
              soaring wayne phoenix story the earth
            
              (Halcyon Veil)",Halcyon Veil,"An enigma this one, the debut release - a decade in the making - from an artist about which we know very little. It’s a mysterious, confessional beauty -  a diaristic mix of half-cut songs and textured, bittersweet electronic collage that we urge you to check if you’re into anything from Klein to Burial, Tricky to Mica Levi, Young Echo to RZA’s Ghost Dog... more",/products/soaring-wayne-phoenix-story-the-earth,https://assets.boomkat.com/spree/products/631900/product/Halc_028_Distribution-Preview.jpg,1236,Boomkat Hidden Gems,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1236
13,a-year-closer,14,Maths Balance Volumes,A Year Closer,"Maths Balance Volumes

              —
              A Year Closer
            
              (Penultimate Press)",Penultimate Press,"Breathtakingly unique dust'n'bones drone-folk-noize workouts from Minnesota trio Maths Balance Volumes, who accurately paint a painful picture of 2020 while refusing to ignore the past, cramming harrowing folk and blues wails into ghostly shells of genre-agnostic experimentation. A late highlight of a trying year.

Billed as ""music for a world in which things have... more",/products/a-year-closer,https://assets.boomkat.com/spree/products/705405/product/5056321616821_T12_Image.jpg,1236,Boomkat Hidden Gems,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1236
