,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,fluids-of-emotion,1,Eris Drew,Fluids of Emotion,"Eris Drew

              —
              Fluids of Emotion
            
              (Interdimensional Transmissions)",Interdimensional Transmissions,,/products/fluids-of-emotion,https://assets.boomkat.com/spree/products/631930/product/8718723137294.jpg,1314,Chal Ravens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1314
1,file-under-uk-metaplasm,2,Rian Treanor,File Under UK Metaplasm,"Rian Treanor

              —
              File Under UK Metaplasm
            
              (Planet Mu Records Ltd.)",Planet Mu Records Ltd.,"We hardly need any convincing on the quality of Rian Treanor's productions as he's been completely unfuckwithable from day one, but ""File Under UK Metaplasm"" is still next damn level. 

Rian bashed out the initial demos on returning from a trip to Uganda in 2018 for Nyege Nyege Festival. Inspired by the producers he'd collaborated with in Kampala, he switched... more",/products/file-under-uk-metaplasm,https://assets.boomkat.com/spree/products/673842/product/5055300399779_T10_Image.jpg,1314,Chal Ravens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1314
2,loos-in-twos-nrg,3,Anz,"Loos In Twos 
            
              (HESSLE AUDIO)","Anz

              —
              Loos In Twos (NRG)
            
              (HESSLE AUDIO)",NRG,"Hessle Audio juice three bare boned, tracky DJ tools from Manchester’s First Lady of the rave (FLOTR?) following shots for Chow Down and Finn’s 2 B Real

‘Loos In Twos’ was last spotted on Anz’ ’Spring/Summer Dubs 2019’ set and rolls out on sort of Darqwan-meets-DJ Plead tip with a balance of bashy break-step and defter Mahraganat-like hustle shot thru with... more",/products/loos-in-twos-nrg,https://assets.boomkat.com/spree/products/689254/product/Anz.jpg,1314,Chal Ravens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1314
3,decolonialwritingsselfreleased,4,Marcioz,De/Colonial Writings (self-released),"Marcioz

            —
            De/Colonial Writings (self-released)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1314,Chal Ravens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1314
4,aliasep,5,Shygirl,Alias EP,"Shygirl

            —
            Alias EP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1314,Chal Ravens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1314
5,wheredidallthehaygothirdplacerecords,6,Will Hofbauer,Where Did All The Hay Go? (Third Place Records),"Will Hofbauer

            —
            Where Did All The Hay Go? (Third Place Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1314,Chal Ravens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1314
6,swandive,7,Sully,Swandive,"Sully

              —
              Swandive
            
              (Astrophonica)",Astrophonica,"Properly on fire junglist business from Sully on a classically rude and forward tilt for Fracture & Neptune’s Astrophonica

He’s not messing around here, giving nods to the greats in his own style, from Photek-like breakbeat kung fu in ‘Werk’ spun with a nuttier hardcore flex, to the bolshy mix of jungle tempo and Valve-era Dillinja on ‘Poison’, before  peaking out with... more",/products/swandive,https://assets.boomkat.com/spree/products/689426/product/5056317193176.jpg,1314,Chal Ravens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1314
7,sensei-ep,8,Karen Nyame KG,Sensei EP,"Karen Nyame KG

              —
              Sensei EP
            
              (Goon Club Allstars)",Goon Club Allstars,"UKFunky OG Karen Nyame aka KG shares new and sought-after vintage gear in a 2nd zinger for Goon Club Allstars, who were behind her 2018 classic ‘808’

Including her early vocal ace ‘Feeling Funky’ (2009), along with a bucking cunty remix by ballroom kween Quest?onmarc, the ‘Sensei EP’ follows her 2019 team up with Scratcha DVA with proper mana for... more",/products/sensei-ep,https://assets.boomkat.com/spree/products/703376/product/194491867515_T5_Image.jpg,1314,Chal Ravens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1314
8,connectionepfunctionlab,9,Xiao Quan,Connection EP (Function Lab),"Xiao Quan

            —
            Connection EP (Function Lab)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1314,Chal Ravens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1314
9,for-you-25775e35-246b-47c9-89cf-6f9762e3bd54,10,India Jordan,For You,"India Jordan

              —
              For You
            
              (Local Action)",Local Action,"Highest grade party fuel from India Jordan, keeping the rave spirits stoked with their rushiest and deepest bag of bangers to last all day and night.

Jacking it from filter house to pill belly piano hardcore and godly ghettotech slammers, ‘For You’ keeps the gauge ticking between heads-down and arms-up in a classic, up-for-it late ‘90s/00s way that came thru on India's... more",/products/for-you-25775e35-246b-47c9-89cf-6f9762e3bd54,https://assets.boomkat.com/spree/products/650449/product/3663729117205.jpg,1314,Chal Ravens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1314
