,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,liv-a6cf6cba-b400-4d1d-93a4-d0cd2c6923e4,1,Daniel Blumberg & Hebronix,Liv,"Daniel Blumberg & Hebronix

              —
              Liv
            
              (Mute)",Mute,"Liv’ - which preceded ‘Minus’ by several years - is a previously-unreleased studio album 

""Recorded over three days at Sarm West (Bob Marley, ‘Exodus’) live from start to finish (with additional vocals and saxophone added at a later date) by Daniel Blumberg on Steinberger guitar, harmonica and vocals; Billy Steiger on violin; Kohhei Matsuda on monosynth and... more",/products/liv-a6cf6cba-b400-4d1d-93a4-d0cd2c6923e4,https://assets.boomkat.com/spree/products/560199/product/STUMM434.jpg,1374,claire rousay,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1374
1,pillardweller,2,Kiera Mulhern,Pillar Dweller,"Kiera Mulhern

            —
            Pillar Dweller",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1374,claire rousay,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1374
2,crybaby,3,Lil Peep,Crybaby,"Lil Peep

            —
            Crybaby",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1374,claire rousay,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1374
3,recipeforaboiledegg,4,Macie Stewart & Lia Kohl,Recipe For a Boiled Egg,"Macie Stewart & Lia Kohl

            —
            Recipe For a Boiled Egg",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1374,claire rousay,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1374
4,signin,5,More Eaze,Sign In,"More Eaze

            —
            Sign In",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1374,claire rousay,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1374
5,bewithudaynnightbaby,6,Oklou,be with u day n night baby,"Oklou

            —
            be with u day n night baby",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1374,claire rousay,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1374
6,lettere-animali,7,Rosso Polare,Lettere Animali,"Rosso Polare

              —
              Lettere Animali
            
              (Klammklang)",Klammklang,,/products/lettere-animali,https://assets.boomkat.com/spree/products/700280/product/669158548910.jpg,1374,claire rousay,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1374
7,heartscarcedares,8,Sunatirene,heart scarce dares,"Sunatirene

            —
            heart scarce dares",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1374,claire rousay,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1374
8,ithinkifeverybodywillknownthatthisisthesoundwellhearinthelastmomentnobodydbeafraidtodeath,9,Theodore Cale Schafer,"ithinkifeverybodywillknownthatthisisthesoundwe'llhearinthelastmoment,nobody'dbeafraidtodeath","Theodore Cale Schafer

            —
            ithinkifeverybodywillknownthatthisisthesoundwe'llhearinthelastmoment,nobody'dbeafraidtodeath",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1374,claire rousay,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1374
9,llanodiscsplayswindtide,10,Wind Tide,Llano Discs: Plays Wind Tide,"Wind Tide

            —
            Llano Discs: Plays Wind Tide",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1374,claire rousay,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1374
