,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,mirage,1,Omeed Norouzi,Mirage,"Omeed Norouzi

            —
            Mirage",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1319,Collin Fletcher,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1319
1,supremedegradation,2,Ossuary,Supreme Degradation,"Ossuary

            —
            Supreme Degradation",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1319,Collin Fletcher,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1319
2,modern-antics-in-a-deserted-place,3,LA Timpa,Modern Antics In A Deserted Place,"LA Timpa

              —
              Modern Antics In A Deserted Place
            
              (Halcyon Veil)",Halcyon Veil,"Following a strong, sorely slept-on debut album last year and a bunch of audio-visual collaborations with Klein and Lol K, LA Timpa returns with a standout second album of gauzy, avant-soul and dream-pop that comes highly recommended if you’re into Prince’s ‘I Wonder U’ or similarly blunted bloooz from A.R. Kane, Klein, Panda Bear, Smog, Yves Tumor, Micachu... more",/products/modern-antics-in-a-deserted-place,https://assets.boomkat.com/spree/products/702505/product/HALC031_Distribution_Preview.jpg,1319,Collin Fletcher,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1319
3,fires-in-heaven-fc13b480-70b3-4d3c-a7ea-dcff5b6bb599,4,SALEM,Fires In Heaven,"SALEM

              —
              Fires In Heaven
            
              (Salem)",Salem,"It took a f*cking pandemic to get them back, but SALEM finally stake their 2nd album a square decade since ‘King Night’ topped lists and pretty much defined the whole witch house thing

The cult Midwest US band, now a duo of Jack Donohue and John Holland, served a high water mark of that era circa 10 years ago, mixing chopped & screwed tekkers with... more",/products/fires-in-heaven-fc13b480-70b3-4d3c-a7ea-dcff5b6bb599,https://assets.boomkat.com/spree/products/706941/product/0819478029389.jpg,1319,Collin Fletcher,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1319
4,seeing-through-sound-pentimento-volume-two,5,JON HASSELL,"Seeing Through Sound 
            
              (Ndeya)","JON HASSELL

              —
              Seeing Through Sound (Pentimento Volume Two)
            
              (Ndeya)",Pentimento Volume Two,"“Listen as if you were being told a secret” - Federico Fellini

""A companion piece to 2018’s Listening To Pictures, this second volume in the pentimento series presents eight new tracks by the music visionary, continuing his lifelong exploration of the possibilities of recombination and musical gene-splicing. Pentimento is defined as the “reappearance in a painting of... more",/products/seeing-through-sound-pentimento-volume-two,https://assets.boomkat.com/spree/products/675159/product/5060384617718.jpg,1319,Collin Fletcher,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1319
5,hiddenhistoryofthehumanrace,6,Blood Incantation,Hidden History of the Human Race,"Blood Incantation

            —
            Hidden History of the Human Race",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1319,Collin Fletcher,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1319
6,capricorn,7,Trevor Powers,Capricorn,"Trevor Powers

            —
            Capricorn",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1319,Collin Fletcher,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1319
7,lecture-for-jo-kondo,8,Bunita Marcus,Lecture for Jo Kondo,"Bunita Marcus

              —
              Lecture for Jo Kondo
            
              (99Chants)",99Chants,"Bunita Marcus is subject of a first vinyl release with her ‘Lecture For Jo Kondo’, written for Morton’s group, Feldman & Soloists and premiered in 1985, and now accompanied by a dramatic new David August deconstruction .

“Not a lecture in the literal or recognisable sense, the piece is dedicated to the Japanese composer Jo Kondo, who was a friend and... more",/products/lecture-for-jo-kondo,https://assets.boomkat.com/spree/products/690287/product/5050580744530.jpg,1319,Collin Fletcher,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1319
8,heaven-to-a-tortured-mind,9,Yves Tumor,Heaven To A Tortured Mind,"Yves Tumor

              —
              Heaven To A Tortured Mind
            
              (Warp Records)",Warp Records,"Yves Tumor’s 2nd album for Warp sees him assume full form as indie-soul-pop mutant for the times. Tumor handles the majority of writing and production on his most pop-sculpted recording to date, with co-production supplied by Justin Raisen (Sky Ferreira, Ariel Pink, Charli XCX) and a co-writing credit to Clara La San. It sounds a bit like if Prince had grown... more",/products/heaven-to-a-tortured-mind,https://assets.boomkat.com/spree/products/651132/product/0801061030438.jpg,1319,Collin Fletcher,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1319
9,steal-a-golden-hail,10,Quirke,Steal a Golden Hail,"Quirke

              —
              Steal a Golden Hail
            
              (AD 93 / Whities)",AD 93 / Whities,"Quirke’s ghostly take on IDM/electronica/ambient techno was always suited to long-formats and ‘Steal A Golden Hall’ proves it with nine diverse tracks spooling from rave-obliterated ambient noise to nervy electro, spring-loaded jungle, and haunted ambient headspace.

""Are you still there?"" ""Yeah so she said the body is the mind's measuring instrument or... more",/products/steal-a-golden-hail,https://assets.boomkat.com/spree/products/622437/product/0017737945_10.jpg,1319,Collin Fletcher,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1319
