,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,balladsbroadsidesandhymns,1,Helen Schneyer,"Ballads, Broadsides and Hymns","Helen Schneyer

            —
            Ballads, Broadsides and Hymns",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1245,Deathprod,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1245
1,desertshore,2,Nico,Desert Shore,"Nico

            —
            Desert Shore",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1245,Deathprod,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1245
2,baudelaire-piano,3,Susanna,Baudelaire & Piano,"Susanna

              —
              Baudelaire & Piano
            
              (SusannaSonata)",SusannaSonata,"Baudelaire’s ‘Les Fleurs du Mal’ set to stark solo keys, with skeletal, unadorned production by Susanna and Deathprod giving crystal clear focus to the vocals that really brings the poetry’s timeless, dark realism/fantasy to life with perfectly tempered, immersively minimalist but opulent style of musical dramaturgy and staging...

“Like much of Baudelaire’s work... more",/products/baudelaire-piano,https://assets.boomkat.com/spree/products/690422/product/195081752952.jpg,1245,Deathprod,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1245
3,ethiopiques-21-piano-solo,4,Emahoy Tsegue-Mariam Guebru,Ethiopiques 21: Piano Solo,"Emahoy Tsegue-Mariam Guebru

              —
              Ethiopiques 21: Piano Solo
            
              (Buda Musique)",Buda Musique,"Emahoy Tsegue-Maryam Guebrou was born into a prominent literary Ethiopian family in 1923 and partly educated in Europe. She studied piano and violin but political problems in her homeland led to an unsettled and peripatetic youth.

""Dispirited by events in her life, she found consolation in religion and became a nun. Although dedicated to teaching at an... more",/products/ethiopiques-21-piano-solo,https://assets.boomkat.com/spree/products/590283/product/R-1174982-1500458757-4634.jpeg.jpg,1245,Deathprod,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1245
4,carlemanuelbachpiecesforfortpianoclavichord,5,Inger Grudin-Brandt,Carl Emanuel Bach Pieces for Fortpiano & Clavichord,"Inger Grudin-Brandt

            —
            Carl Emanuel Bach Pieces for Fortpiano & Clavichord",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1245,Deathprod,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1245
5,theballadofthehammerandthenail,6,Bladed,The Ballad Of The Hammer And The Nail,"Bladed

            —
            The Ballad Of The Hammer And The Nail",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1245,Deathprod,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1245
6,rendezvous,7,Sandy Denny,Rendezvous,"Sandy Denny

            —
            Rendezvous",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1245,Deathprod,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1245
7,chords-5a4c6ee2-92ee-4bf6-b840-3054364b3758,8,Ellen Arkbro,CHORDS,"Ellen Arkbro

              —
              CHORDS
            
              (Subtext Recordings)",Subtext Recordings,"Avant-garde composer and student of La Monte Young, Marian Zazeela and Jung Hee Choi, Ellen Arkbro renders sustained and harmonically opaque chords on her stunning second solo album for Subtext. More minimal and extended than her 2017 debut ‘For Organ and Brass’, 'Chords’ is a focussed study in a gradual manipulation of acoustic timbres, using subtle... more",/products/chords-5a4c6ee2-92ee-4bf6-b840-3054364b3758,https://assets.boomkat.com/spree/products/593166/product/5065002106698_T55421974920054.jpg,1245,Deathprod,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1245
8,playinpossum,9,Maureen Tucker,Playin' Possum,"Maureen Tucker

            —
            Playin' Possum",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1245,Deathprod,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1245
9,theend,10,Nico,The End…,"Nico

            —
            The End…",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1245,Deathprod,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1245
