,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,mashuprinsefranceshows,1,Iueke,‘mash up’ Rinse France shows,"Iueke

            —
            ‘mash up’ Rinse France shows",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1398,DJ Lyster (Youth),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1398
1,crystallmessintroludoinfernomix,2,,Crystallmess Introludo Inferno Mix,Crystallmess Introludo Inferno Mix,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1398,DJ Lyster (Youth),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1398
2,httpswwwyoutubecomwatchvyvffvk6o4m,3,,https://www.youtube.com/watch?v=YvfFVK6O_4M,https://www.youtube.com/watch?v=YvfFVK6O_4M,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1398,DJ Lyster (Youth),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1398
3,remix-ep-7e9818a3-5afa-4a4f-8e5a-8deb5a79b3e2,4,panasonic,Remix,"panasonic

              —
              Remix
            
              (Sähkö Recordings)",Sähkö Recordings,"you what? Incredible, long-lost Zoviet France and Muslimgauze remixes of PANASONIC finally see light of day after 23 years in cold storage, thanks to a serendipitous rediscovery by Sähkö

First made back when Mika Vainio and Ilpo Väisänen were gamely trading under the PANASONIC moniker (before the global corporation threatened litigation), this trio of... more",/products/remix-ep-7e9818a3-5afa-4a4f-8e5a-8deb5a79b3e2,https://assets.boomkat.com/spree/products/657795/product/panasonic_Distributuion-Preview.jpg,1398,DJ Lyster (Youth),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1398
4,critical-amnesia,5,"Critical Amnesia (Exael, Perila, Special Guest DJ, OL, Huerco S)",Critical Amnesia,"Critical Amnesia (Exael, Perila, Special Guest DJ, OL, Huerco S)

              —
              Critical Amnesia
            
              (XPQ?)",XPQ?,"Awesome full squad manoeuvres from the Xambient cohort now known as Critical Amnesia, cycling a flux of electro steppers, mutant hardcore breaks and killer downbeats like Gescom meets Actress after a big slug of K.

Revolving familiar, scene-pioneering artists from US, EU, and Russia - Exael, Perila, Special Guest DJ, Ol, VTGNike, Huerco S - the debut... more",/products/critical-amnesia,https://assets.boomkat.com/spree/products/677454/product/CA.jpg,1398,DJ Lyster (Youth),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1398
5,old-trx-87-93,6,NYZ,OLD TRX [87-93],"NYZ

              —
              OLD TRX [87-93]
            
              (The Death Of Rave)",The Death Of Rave,"A previously unreleased bounty of ’87-’93 bleep techno, trance, ambient, noise and breakbeats by synf boffin Dave Burraston’s cult NYZ project - an unmissable haul for fans of early AFX, Autechre/Lego Feet, FSOL/Humanoid, Mappa Mundi - newly minted on The Death Of Rave.

Following his mind-bending ’SHFTR FRQ’ LP for The Death of Rave in 2018, the... more",/products/old-trx-87-93,https://assets.boomkat.com/spree/products/647166/product/Cover.jpg,1398,DJ Lyster (Youth),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1398
6,httpswwwyoutubecomwatchvf1hsohhebw,7,,https://www.youtube.com/watch?v=f1hsOhhEB_w,https://www.youtube.com/watch?v=f1hsOhhEB_w,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1398,DJ Lyster (Youth),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1398
7,alsacevoyages,8,Pierre Frick,Alsace Voyages,"Pierre Frick

            —
            Alsace Voyages",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1398,DJ Lyster (Youth),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1398
8,intima,9,NAP,Íntima,"NAP

              —
              Íntima 
            
              (Experiences Ltd)",Experiences Ltd,"Becoming a bit of a must-own label, Experiences Ltd. follow that insta-cop from LOG (aka Ulla & Perila) with this small-run 7” edition of gorgeous downtempo vibes from Dan Rincon aka NAP on the label’s first 7” release. The cream of the new ambient scene this lot...

NAP aka Dan Rincon usually plies a fine line in textured electro-techno as half of Ambien... more",/products/intima,https://assets.boomkat.com/spree/products/705360/product/NAP01_Distribution_Preview.jpg,1398,DJ Lyster (Youth),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1398
9,dedicaceapersonnebfdm,10,Hajj,Dedicace a Personne - BFDM,"Hajj

            —
            Dedicace a Personne - BFDM",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1398,DJ Lyster (Youth),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1398
