,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,allequiknoxxmusicreleases2020,1,Equiknoxx,All Equiknoxx Music Releases 2020,"Equiknoxx

            —
            All Equiknoxx Music Releases 2020",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1356,DJ Samrai (Swing Ting),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1356
1,purespiceasiannetworkshow,2,Manara,Pure Spice Asian Network Show,"Manara

            —
            Pure Spice Asian Network Show",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1356,DJ Samrai (Swing Ting),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1356
2,apprehension,3,A.G,Apprehension,"A.G

            —
            Apprehension",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1356,DJ Samrai (Swing Ting),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1356
3,imaydestroyyou,4,Michaela Coel,I may destroy you,"Michaela Coel

            —
            I may destroy you",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1356,DJ Samrai (Swing Ting),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1356
4,springnovel,5,Ali Smith,Spring (Novel),"Ali Smith

            —
            Spring (Novel)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1356,DJ Samrai (Swing Ting),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1356
5,beeniemanbountykilla,6,Verzu,Beenie Man & Bounty Killa,"Verzu

            —
            Beenie Man & Bounty Killa",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1356,DJ Samrai (Swing Ting),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1356
6,sistersoftheyambook,7,Bell Hooks,Sisters of the Yam (Book),"Bell Hooks

            —
            Sisters of the Yam (Book)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1356,DJ Samrai (Swing Ting),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1356
7,ntsliveradioshow,8,HDD x Sim Simma,NTS live Radio show,"HDD x Sim Simma

            —
            NTS live Radio show",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1356,DJ Samrai (Swing Ting),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1356
8,updeflatsep,9,Gemma Dunleavy,Up De Flats EP,"Gemma Dunleavy

            —
            Up De Flats EP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1356,DJ Samrai (Swing Ting),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1356
9,myfamilyvideopasalieufrontlinebangoutsendthemtocoventry,10,Pa Salieu & Backroad Gee,My Family Video / Pa Salieu - Frontline / Bang out / Send them to Coventry,"Pa Salieu & Backroad Gee

            —
            My Family Video / Pa Salieu - Frontline / Bang out / Send them to Coventry",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1356,DJ Samrai (Swing Ting),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1356
10,txturx,11,Ragz Originale,txt ur x,"Ragz Originale

            —
            txt ur x",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1356,DJ Samrai (Swing Ting),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1356
11,punjabigaragemix,12,Yung Singh,Punjabi Garage Mix,"Yung Singh

            —
            Punjabi Garage Mix",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1356,DJ Samrai (Swing Ting),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1356
12,bigconspiracy,13,J Hus,Big Conspiracy,"J Hus

            —
            Big Conspiracy",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1356,DJ Samrai (Swing Ting),2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1356
