,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,lamaxima,1,Rochy RD,La Maxima,"Rochy RD

            —
            La Maxima",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1346,Felix Hall,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1346
1,nuncacuentenconlomio,2,El Shick Ft Lolo En El Microfono,Nunca Cuenten Con Lo Mio,"El Shick Ft Lolo En El Microfono

            —
            Nunca Cuenten Con Lo Mio",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1346,Felix Hall,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1346
2,losbobossonmio,3,Haraca Kiko,Los Bobos Son Mio,"Haraca Kiko

            —
            Los Bobos Son Mio",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1346,Felix Hall,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1346
3,teteoremix,4,El Fecho RD,Teteo Remix,"El Fecho RD

            —
            Teteo Remix",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1346,Felix Hall,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1346
4,lacalleesdenosotrosremix,5,El Fother Ft Quimico Ultra Mega,La Calle Es De Nosotros Remix,"El Fother Ft Quimico Ultra Mega

            —
            La Calle Es De Nosotros Remix",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1346,Felix Hall,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1346
5,hardagainriddim,6,Payday Music,Hard Again Riddim,"Payday Music

            —
            Hard Again Riddim",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1346,Felix Hall,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1346
6,archivovolume1,7,Kelman Duran,Archivo Volume 1,"Kelman Duran

            —
            Archivo Volume 1",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1346,Felix Hall,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1346
7,girl,8,Myke Towers,Girl,"Myke Towers

            —
            Girl",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1346,Felix Hall,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1346
8,love2hatehate2love,9,Florentino,"Love 2 Hate, Hate 2 Love","Florentino

            —
            Love 2 Hate, Hate 2 Love",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1346,Felix Hall,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1346
9,venuemotunit18,10,,Venue MOT Unit 18,Venue MOT Unit 18,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1346,Felix Hall,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1346
