,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,getuponit,1,Dance System & UNiiQU3,Get Up On It,"Dance System & UNiiQU3

            —
            Get Up On It",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1320,Finn,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1320
1,qualitytimewithpeleshaniqueniconic,2,Gavsborg,"Quality Time with Pele, Shanique, Nico & Nic","Gavsborg

            —
            Quality Time with Pele, Shanique, Nico & Nic",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1320,Finn,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1320
2,for-you-25775e35-246b-47c9-89cf-6f9762e3bd54,3,India Jordan,For You,"India Jordan

              —
              For You
            
              (Local Action)",Local Action,"Highest grade party fuel from India Jordan, keeping the rave spirits stoked with their rushiest and deepest bag of bangers to last all day and night.

Jacking it from filter house to pill belly piano hardcore and godly ghettotech slammers, ‘For You’ keeps the gauge ticking between heads-down and arms-up in a classic, up-for-it late ‘90s/00s way that came thru on India's... more",/products/for-you-25775e35-246b-47c9-89cf-6f9762e3bd54,https://assets.boomkat.com/spree/products/650449/product/3663729117205.jpg,1320,Finn,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1320
3,skiesoversheffield,4,Forgemasters,Skies Over Sheffield,"Forgemasters

            —
            Skies Over Sheffield",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1320,Finn,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1320
4,connection,5,Perko,Connection,"Perko

            —
            Connection",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1320,Finn,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1320
5,b2b,6,KG & UNiiQU3,B2B,"KG & UNiiQU3

            —
            B2B",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1320,Finn,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1320
6,vanity9,7,Ariel Zetina,Vanity 9,"Ariel Zetina

            —
            Vanity 9",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1320,Finn,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1320
7,signswlovesceneharddub,8,Swing Ting,Signs w/ Lovescene [Hard Dub],"Swing Ting

            —
            Signs w/ Lovescene [Hard Dub]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1320,Finn,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1320
8,careydub,9,Roo Honeychild,Carey Dub,"Roo Honeychild

            —
            Carey Dub",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1320,Finn,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1320
9,delishus,10,Aya,Delishus,"Aya

            —
            Delishus",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1320,Finn,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1320
