,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,plus-795f6cfe-f000-4cb5-a6d3-791c6d141e21,1,AUTECHRE,PLUS,"AUTECHRE

              —
              PLUS
            
              (Warp Records)",Warp Records,"Autechre drop ‘Plus’, the ruder counterpart to their brooding ’Sign’ album, rinsing squashed drums and harsher textured tones in a newly aerated, noisier sort of sound design.

If you were left glowing but still hungry for some rufige after ’Sign’, this album’s for you. Their staunchest North Manc C++Boy attitude is in spine twisting, neck snapping effect on nine... more",/products/plus-795f6cfe-f000-4cb5-a6d3-791c6d141e21,https://assets.boomkat.com/spree/products/701157/product/0801061033835.jpg,1326,Frozen Reeds,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1326
1,sign-d504e2f3-5ec4-456a-af9e-b037a7c82c64,2,AUTECHRE,SIGN,"AUTECHRE

              —
              SIGN
            
              (Warp Records)",Warp Records,"‘Sign’ is Autechre’s first new album-album proper since ‘Elseq’ and contains some of their most emosh compositions in eons, perhaps since ‘Tri Repetae’.

Practically pocket-sized in comparison to their sprawling torrent of live material and radio recordings in recent years, ’Sign’ is a return to the sort of concision found circa ‘Exai’ and their earlier albums... more",/products/sign-d504e2f3-5ec4-456a-af9e-b037a7c82c64,https://assets.boomkat.com/spree/products/698008/product/0801061032937.jpg,1326,Frozen Reeds,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1326
2,aelive20162018warp,3,Autechre,AE_LIVE 2016/2018 (Warp),"Autechre

            —
            AE_LIVE 2016/2018 (Warp)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1326,Frozen Reeds,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1326
3,clonedsinglesbandcamp,4,Lassigue Bendthaus,Cloned (+ Singles) (Bandcamp),"Lassigue Bendthaus

            —
            Cloned (+ Singles) (Bandcamp)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1326,Frozen Reeds,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1326
4,transmissions-2b38c513-e8d9-4fde-a952-aa35651fa5c8,5,GLOBAL COMMUNICATION,Transmissions,"GLOBAL COMMUNICATION

              —
              Transmissions
            
              (Evolution)",Evolution,"Global Communication are Tom Middelton and Mark Pritchard. They began recording in 1991 and in a short space of time released a huge amount of music collectively and individually, in a broad range of styles, including records under names such as Link, E621, Reload, The Chameleon and Jedi Knights. It’s the work they made together as Global Communication... more",/products/transmissions-2b38c513-e8d9-4fde-a952-aa35651fa5c8,https://assets.boomkat.com/spree/products/674252/product/GC_Transmissions.jpg,1326,Frozen Reeds,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1326
5,subscriptionbandcamp,6,Hieroglyphic Being,subscription (Bandcamp),"Hieroglyphic Being

            —
            subscription (Bandcamp)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1326,Frozen Reeds,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1326
6,mugennojuuninimmortaloriginalsoundtrackponycanyon,7,Eiko Ishibashi,Mugen no Juunin - Immortal - Original Soundtrack (Pony Canyon),"Eiko Ishibashi

            —
            Mugen no Juunin - Immortal - Original Soundtrack (Pony Canyon)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1326,Frozen Reeds,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1326
7,rest-2c0ec56f-5d4c-4fbc-89fd-83ab8ec87a46,8,ISOLEE,Rest,"ISOLEE

              —
              Rest
            
              (Playhouse)",Playhouse,"Absolutely classic first album from Isolee remastered, repackaged and finally available again! After 6 singles on Playhouse (the massive Beau Mot Plage‚ being one of them) came Isolee’s debut album ‘Rest’, way back in the year 2000. The cd tracklsiting features : 1 Logiciel 2 Démon 3 Keep On Dancin' 4 Rest 5 Text 6 Rest Encore 7 Music... 8 Beau Mot Plage 9... more",/products/rest-2c0ec56f-5d4c-4fbc-89fd-83ab8ec87a46,https://assets.boomkat.com/spree/products/224892/product/original.jpg,1326,Frozen Reeds,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1326
8,apanairmusicbandcamp,9,Roland Kayn,A Pan-Air Music (Bandcamp),"Roland Kayn

            —
            A Pan-Air Music (Bandcamp)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1326,Frozen Reeds,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1326
9,shutting-down-here,10,JIM O'ROURKE,Shutting Down Here,"JIM O'ROURKE

              —
              Shutting Down Here
            
              (Portraits GRM)",Portraits GRM,"Recorded at INA GRM and Steamroom, covering a period of thirty years, the gap between the two visits Jim O'Rourke made to the GRM, featuring Eiko Ishibashi on piano, Atsuko Hatano on violin and viola and Eivind Lonning on trumpet . 

""Shutting Down Here"" is an exceptional recording, commencing GRM's brand new series of releases ""Portraits GRM"" and... more",/products/shutting-down-here,https://assets.boomkat.com/spree/products/667018/product/5050580740105.jpg,1326,Frozen Reeds,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1326
