,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,notfireerstwhile,1,Dean Roberts,Not Fire (Erstwhile),"Dean Roberts

            —
            Not Fire (Erstwhile)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1291,Giuseppe Ielasi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1291
1,drumming-is-a-language-1990-2011,2,African Head Charge,Drumming Is A Language 1990 - 2011,"African Head Charge

              —
              Drumming Is A Language 1990 - 2011
            
              (On-U Sound)",On-U Sound,"10 tonne heavy anthology of African Head Charge’s dub mutations spanning 2 decades 

Picking up where 2016’s ‘Environmental Holes & Drastic Tracks’ left off, ‘Drumming Is A Language 1990 - 2011’ takes African Head Charge’s 1990 masterpiece ‘Songs of Praise’ as the starting point for this set, charting the band’s actions thru ‘In Pursuit of... more",/products/drumming-is-a-language-1990-2011,https://assets.boomkat.com/spree/products/634900/product/image007.jpg,1291,Giuseppe Ielasi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1291
2,forbunitamarcusmode,3,Morton Feldman,For Bunita Marcus (Mode),"Morton Feldman

            —
            For Bunita Marcus (Mode)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1291,Giuseppe Ielasi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1291
3,slow-music,4,Lol Coxhill & Morgan Fisher,Slow Music,"Lol Coxhill & Morgan Fisher

              —
              Slow Music
            
              (Aguirre / Cherry Red Records)",Aguirre / Cherry Red Records,"Spellbinding 1980 ambient masterwork by UK’s Morgan Fisher and Lol Coxhill, resurfacing on a timely 40th anniversary reissue via Belgium’s ever searching Aguirre label

‘Slow Music’ is an ingenious experimental synthesis of instrumental intuition and meticulous tape edits realised by soprano sax legend Lol Coxhill and synths/keys maestro Morgan... more",/products/slow-music,https://assets.boomkat.com/spree/products/674612/product/Morgan_Fisher___Lol_Coxhill_-_Slow_Music_%28ZORN058LP%29.jpg,1291,Giuseppe Ielasi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1291
4,oarsheadlights,5,Margarida Garcia / Manuel Mota,Oars (Headlights),"Margarida Garcia / Manuel Mota

            —
            Oars (Headlights)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1291,Giuseppe Ielasi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1291
5,seeing-through-sound-pentimento-volume-two,6,JON HASSELL,"Seeing Through Sound 
            
              (Ndeya)","JON HASSELL

              —
              Seeing Through Sound (Pentimento Volume Two)
            
              (Ndeya)",Pentimento Volume Two,"“Listen as if you were being told a secret” - Federico Fellini

""A companion piece to 2018’s Listening To Pictures, this second volume in the pentimento series presents eight new tracks by the music visionary, continuing his lifelong exploration of the possibilities of recombination and musical gene-splicing. Pentimento is defined as the “reappearance in a painting of... more",/products/seeing-through-sound-pentimento-volume-two,https://assets.boomkat.com/spree/products/675159/product/5060384617718.jpg,1291,Giuseppe Ielasi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1291
6,livets-ord,7,Blod,Livets Ord,"Blod

              —
              Livets Ord
            
              (Aguirre)",Aguirre,"Cult Swedish enigma Blod works his synthy magick with lot of the wrong notes in all the right places, at times like Dominique Delawree with some of his fingers nibbled off, or Goodiepal regressing to his previous form as an alien shaman. Total modal zonkers. Do not use while operating heavy machinery...

“From the early days of the found-sounds recordings (like the... more",/products/livets-ord,https://assets.boomkat.com/spree/products/674625/product/Blod_-_Livets_Ord_%28ZORN070LP%29.jpg,1291,Giuseppe Ielasi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1291
7,triz,8,Pontiac Streator,Triz,"Pontiac Streator

              —
              Triz
            
              (Motion Ward)",Motion Ward,"Pontiac Streator’s debut solo 2LP lands on Motion Ward featuring appearances form Ulla & Mister Water Wet, following a run of collabs with Ulla on West Mineral, and with Exael as ‘Micro Incubus’ earlier this year.

Is there a name for this stuff yet? The West Mineral/Experiences/Motion Ward aesthetic is a kinda modern counterpart to the Chain Reaction nucleus... more",/products/triz,https://assets.boomkat.com/spree/products/671631/product/unnamed.png,1291,Giuseppe Ielasi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1291
8,cddecarefulcatalog,9,Arek Gulbenkoglu,cDDe (Careful Catalog),"Arek Gulbenkoglu

            —
            cDDe (Careful Catalog)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1291,Giuseppe Ielasi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1291
9,die-mauer,10,Michael Ranta,Die Mauer,"Michael Ranta

              —
              Die Mauer
            
              (Metaphon)",Metaphon,"Percussionist Michael Ranta turns biblical ideas into steeply enigmatic cues for non-verbal communication in a captivating, atavistic way upon his return to Timos van Lujik and co’s Metaphon label. Composed, performed and recorded in Cologne between 1988-89, ’Die Mauer’ primarily serves its function as soundtrack for a ballet choreographed by Philippe... more",/products/die-mauer,https://assets.boomkat.com/spree/products/626287/product/DieMauer.jpg,1291,Giuseppe Ielasi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1291
