,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,shipbuilding,1,Robert Wyatt,Shipbuilding,"Robert Wyatt

            —
            Shipbuilding",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1257,Hanne Lippard,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1257
1,yeo-neun,2,Okkyung Lee,Yeo-Neun,"Okkyung Lee

              —
              Yeo-Neun
            
              (Shelter Press)",Shelter Press,"Ravishing, dream-like debut by Okkyung Lee’s chamber ensemble, placing a rarely paralleled instrumental guile and imagination at the service of Shelter Press’ beautiful series of carefully hand-picked editions.

Rendering Lee’s first recordings with the Yeo-Neun Quartet, an experimental chamber ensemble established in 2016 and also comprising... more",/products/yeo-neun,https://assets.boomkat.com/spree/products/647249/product/cover.jpg,1257,Hanne Lippard,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1257
2,thehumanvoiceingridbergmanthehumanvoicevinyldiscogsitsactuallytheaudioofthefilmascriptthatimusingforashowopeningnextyear,3,Ingrid Bergman,"The Human voice Ingrid Bergman - The Human Voice (Vinyl) | Discogs (it’s actually the audio of the film, a script that I’m using for a show opening next year)","Ingrid Bergman

            —
            The Human voice Ingrid Bergman - The Human Voice (Vinyl) | Discogs (it’s actually the audio of the film, a script that I’m using for a show opening next year)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1257,Hanne Lippard,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1257
3,mixing-colours,4,Roger Eno & Brian Eno,Mixing Colours,"Roger Eno & Brian Eno

              —
              Mixing Colours
            
              (DEUTSCHE GRAMMOPHON)",DEUTSCHE GRAMMOPHON,"Empathetic ambient siblings Roger & Brian Eno gently experiment with synaesthetic sound-colour pieces inspired by Schubert on 18 MIDI visions recorded over the last 15 years. It’s super sweet stuff, a necessary balm for current states of psychic anxiety.

“Roger and Brian Eno explore the nature of sound in their first ever duo album, Mixing Colours. The... more",/products/mixing-colours,https://assets.boomkat.com/spree/products/645130/product/Eno_MixingColours_Cover.jpeg,1257,Hanne Lippard,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1257
4,orcorara-2010,5,Elysia Crampton,ORCORARA 2010,"Elysia Crampton

              —
              ORCORARA 2010
            
              (PAN)",PAN,"Influential composer Elysia Crampton commits a deeply arresting album about intergenerational trauma as their debut for PAN, originally comissioned and released in 2018 by Centre d’Art Contemporain, Geneva, CH for the first floor at the Biennale de l’Image en Mouvement 2018

Acting as vessel for the voices of great and dispossessed people of the Americas... more",/products/orcorara-2010,https://assets.boomkat.com/spree/products/674157/product/720524679406_T65401268190054.jpg,1257,Hanne Lippard,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1257
5,scacco-matto-218b25dd-4632-472c-9582-2a4ad4722d46,6,Lorenzo Senni,Scacco Matto,"Lorenzo Senni

              —
              Scacco Matto
            
              (Warp Records)",Warp Records,"Lorenzo Senni’s ravishing new album ‘Scatto Matto’ prizes thrilling new music from a teenaged background as drummer for straight edge hardcore bands and a nostalgia for the rush of trance, bringing the tension of his early releases to a glorious conclusion.

‘Scatto Matto’ is a complex love note to the ecstatic, aerobic, and emotional ‘90s and 00’s dance and rock... more",/products/scacco-matto-218b25dd-4632-472c-9582-2a4ad4722d46,https://assets.boomkat.com/spree/products/655480/product/0801061031138.jpg,1257,Hanne Lippard,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1257
6,treasure-761a9e0e-ac0d-4f99-b4d1-f380a5d6cbee,7,Cocteau Twins,Treasure,"Cocteau Twins

              —
              Treasure
            
              (4AD)",4AD,"Their third album, ‘Treasure’ also debuts Simon Raymonde on bass and finds the band scaling new heights in the most emotionally raw way imaginable. Impossible to overstate just how influential and well loved this album is - from the quietly anthemic Pandora (For Cindy) - probably played in every bedroom by every teenager in 1984, to the sublime 'Beatrix'... more",/products/treasure-761a9e0e-ac0d-4f99-b4d1-f380a5d6cbee,https://assets.boomkat.com/spree/products/491274/product/652637041200_T23276091710054.jpg,1257,Hanne Lippard,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1257
7,vousetnousrediscoveringfrench,8,Brigitte Fontaine,Vous et Nous (re-discovering french),"Brigitte Fontaine

            —
            Vous et Nous (re-discovering french)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1257,Hanne Lippard,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1257
8,ongakuzukanrediscoveringafriend,9,Ryuichi Sakamoto,音楽図鑑 Ongaku Zukan (rediscovering a friend),"Ryuichi Sakamoto

            —
            音楽図鑑 Ongaku Zukan (rediscovering a friend)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1257,Hanne Lippard,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1257
9,let-england-shake-55f9413e-6712-4e94-8923-3f53bbcd3434,10,PJ Harvey,Let England Shake,"PJ Harvey

              —
              Let England Shake
            
              (ISLAND)",ISLAND,"I guess it's proof that I'm getting old, the thought of PJ Harvey being up to her eighth album gives me more judders than a crate of Metz. I still remember clutching a battered CD copy of 'Rid Of Me' on the way to school, and since then she's never disappointed me. In fact her last album 'White Chalk' was possibly my favourite of hers to date; her ethereal tones... more",/products/let-england-shake-55f9413e-6712-4e94-8923-3f53bbcd3434,https://assets.boomkat.com/spree/products/169832/product/original.jpg,1257,Hanne Lippard,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1257
