,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,s01s10,1,Taskmaster,S01-S10,"Taskmaster

            —
            S01-S10",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1232,Helena Hauff,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1232
1,s01s19,2,Family Guy,S01-S19,"Family Guy

            —
            S01-S19",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1232,Helena Hauff,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1232
2,s01s06,3,Benidorm,S01-S06,"Benidorm

            —
            S01-S06",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1232,Helena Hauff,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1232
3,unfortunatelyonly1season,4,Camping,(unfortunately only 1 season),"Camping

            —
            (unfortunately only 1 season)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1232,Helena Hauff,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1232
4,again,5,Spaced,(again),"Spaced

            —
            (again)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1232,Helena Hauff,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1232
5,again,6,The Mighty Boosh,(again),"The Mighty Boosh

            —
            (again)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1232,Helena Hauff,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1232
6,junglehitlerepisode,7,Father Ted,(Jungle Hitler Episode),"Father Ted

            —
            (Jungle Hitler Episode)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1232,Helena Hauff,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1232
7,thewholebleedinlot,8,Would I Lie To You,(the whole bleedin lot),"Would I Lie To You

            —
            (the whole bleedin lot)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1232,Helena Hauff,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1232
8,allepisodes,9,Man Down,(all episodes),"Man Down

            —
            (all episodes)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1232,Helena Hauff,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1232
9,lockdownwaslong,10,The Inbetweeners,(lockdown was long),"The Inbetweeners

            —
            (lockdown was long)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1232,Helena Hauff,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1232
