,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,meta-to-peib,1,Spivak,Μετά Το Ρέιβ,"Spivak

              —
              Μετά Το Ρέιβ
            
              (Ecstatic)",Ecstatic,"Gorgeous debut LP by Maria Spivak, a rawly expressive set of atmospheric, night-time synth-pop romancers channelling mystic vibes from Lena Platonos to HTRK and The Other People Place - very special stuff, indeed.

Spivak first came to our attention with her guest vocals on Jay Glass Dubs acclaimed album '’Soma’ and here arrives fully formed with a... more",/products/meta-to-peib,https://assets.boomkat.com/spree/products/704139/product/cover.jpg,1305,Jay Glass Dubs,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1305
1,strada-0fa52538-7a7d-4dfa-b58b-6f895d437a5a,2,Laila Sakini,Strada,"Laila Sakini

              —
              Strada
            
              (Boomkat Editions | Documenting Sound)",Boomkat Editions | Documenting Sound,"Laila Sakini dials in a deliciously mysterious round of smudged trip hop and spiritual jazz urges for our latest Documenting Sound edition. It's a properly yearning, nostalgic trip; sort of Blue Lines meets Laurie Anderson & Peter Gabriel’s future fantasies, and we're obsessed with it.

Like previous series contributor Jonnine, Sakini hails from the foothills of the... more",/products/strada-0fa52538-7a7d-4dfa-b58b-6f895d437a5a,https://assets.boomkat.com/spree/products/690669/product/Laila-Sakini-Distribution-Preview.jpg,1305,Jay Glass Dubs,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1305
2,vivienne,3,Laila Sakini,Vivienne,"Laila Sakini

              —
              Vivienne
            
              (Total Stasis)",Total Stasis,"Another record that arrived just on the cusp of strange times™ and sold out before anyone really had a chance to notice, Laila Sakini’s  ‘Vivienne’ is an intimate collection of threadbare songs for piano, voice and effects that evoke a tremendous sense of melancholy -  like a set of half-remembered earworms drifting into view decades later. It's an album that provided us... more",/products/vivienne,https://assets.boomkat.com/spree/products/709455/product/Cover.jpg,1305,Jay Glass Dubs,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1305
3,hyperattention-selected-dijital-works-vol-1,4,Dijit,Hyperattention - Selected Dijital Works vol 1,"Dijit

              —
              Hyperattention - Selected Dijital Works vol 1
            
              (Youth)",Youth,"Mesmerising debut album of blue and abstracted trip hop from Cairo's Dijit, making their first appearance for Andy Lyster’s YOUTH with a smoked-out, downbeat sound reminding us of Leila’s uber-classic debut album ‘Like Weather', Tricky’s Pre-Millennium Tension, with echoes of Tirzah, ZULI and Msylma.

Perfectly low-lit and charged with a slow, nocturnal... more",/products/hyperattention-selected-dijital-works-vol-1,https://assets.boomkat.com/spree/products/658854/product/YO7TH-Distribution-preview.jpg,1305,Jay Glass Dubs,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1305
4,secret-location-b9333983-85f5-46ba-856a-80753edfd448,5,Om Unit Meets Seekersinternational,Secret Location,"Om Unit Meets Seekersinternational

              —
              Secret Location
            
              (Berceuse Heroique)",Berceuse Heroique,"Coordinates to the haunted dancehall, dialling in the ghosts of ‘90s hardcore jungle, hip hop and bashment in a psycho-dubwise style for Berceuse Heroique - BIG RIYL Lee Gamble, Peder Mannerfelt, Ossia, Karim Maas

Halfstep specialist Om Unit and mixing desk mavericks Seekerinternational make an ideal, if unpredicted, partnership on seven tracks that... more",/products/secret-location-b9333983-85f5-46ba-856a-80753edfd448,https://assets.boomkat.com/spree/products/705230/product/a0844636063_10.jpg,1305,Jay Glass Dubs,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1305
5,linha-d-agua,6,M. Takara & Carla Boregas,Linha D'Água,"M. Takara & Carla Boregas

              —
              Linha D'Água
            
              (Bokeh Versions)",Bokeh Versions,"New on Bokeh Versions; São Paulo's Mauricio Takara and Carla Boregas team up on ""Linha D'Agua"" for a transcendent set of cosmic jazz, fusing Takara's flurries of improvised percussion with Boregas's spooky electronics.

The two are prominent figures in the Brazilian underground and have a long history of performing together - they make up the rhythm... more",/products/linha-d-agua,https://assets.boomkat.com/spree/products/677855/product/5050580744622.jpg,1305,Jay Glass Dubs,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1305
6,glory-days-46994527-6caa-48da-8436-50c599899a66,7,Heather Leigh,Glory Days,"Heather Leigh

              —
              Glory Days
            
              (Boomkat Editions | Documenting Sound)",Boomkat Editions | Documenting Sound,"Composed, performed & mixed by Heather Leigh ""at home with the window open” in Glasgow, the fifth release in our Documenting Sound series is a shocking half hour of music; a 13 track opus that is, by any measure, nothing short of a modernist folk masterpiece. Recorded quickly and instinctively in April this year and described by David Keenan as... more",/products/glory-days-46994527-6caa-48da-8436-50c599899a66,https://assets.boomkat.com/spree/products/669471/product/Cover.jpg,1305,Jay Glass Dubs,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1305
7,phoenix-flames-are-dew-upon-my-skin,8,Eartheater,Phoenix: Flames Are Dew Upon My Skin,"Eartheater

              —
              Phoenix: Flames Are Dew Upon My Skin
            
              (PAN)",PAN,"Following last year's brilliant ""Trinity"" mixtape and LEYA collab ""Angel Lust"", Alexandra Drewchin returns with her most assertive record to date, a fiery collection of modern dream-folk that blurs the lines between ambient, shoegaze and experimental pop. 

Following the dusty road traced by Cocteau Twins, Mazzy Star, Björk and Grouper, Eartheater... more",/products/phoenix-flames-are-dew-upon-my-skin,https://assets.boomkat.com/spree/products/676198/product/723849813081_T65859388520054.jpg,1305,Jay Glass Dubs,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1305
8,vocalcity-d9ce70bc-221e-4027-8e8e-dcce35bebe11,9,LUOMO,Vocalcity,"LUOMO

              —
              Vocalcity
            
              (Force Tracks / Huume)",Force Tracks / Huume,"Superb deep, vocal house project from the talented Mr Delay, exploring the flipside to his minimal/drift output. The beats and rhythms used here are still of the pure/minimal variety, but these tunes are designed for dancefloor use and abuse - sitting somewhere alongside the pioneering house productions of Matthew Herbert.  Dub-house-disco, all the way-deep... more",/products/vocalcity-d9ce70bc-221e-4027-8e8e-dcce35bebe11,https://assets.boomkat.com/spree/products/238338/product/original.jpg,1305,Jay Glass Dubs,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1305
9,vazio-7201f497-a9e4-4b38-9bca-32860816e0e8,10,Serpente,Fé / Vazio,"Serpente

              —
              Fé / Vazio
            
              (Ecstatic)",Ecstatic,"Properly mazy rhythmic psychedelia from Lisbon’s Serpente, pursuing the spirits of Alice Coltrane and Don Cherry via Fourth World gateways and the spiralling broken beat vortices of Anthony Shakir, following on from that killer LinnDrum tribute to Prince’s ‘Parade’ album last summer. 

A masterful example of his take on Black Atlantic energies and sub-currents... more",/products/vazio-7201f497-a9e4-4b38-9bca-32860816e0e8,https://assets.boomkat.com/spree/products/677179/product/ELP051_Distribution_Template.jpg,1305,Jay Glass Dubs,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1305
