,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,bxtchslp,1,Jasmine Infiniti,BXTCH SLÄP,"Jasmine Infiniti

            —
            BXTCH SLÄP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1354,John Twells,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1354
1,anothercountry,2,Dreamcrusher,Another Country,"Dreamcrusher

            —
            Another Country",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1354,John Twells,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1354
2,galore,3,Oklou,Galore,"Oklou

            —
            Galore",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1354,John Twells,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1354
3,boomkatdocumentingsoundseries,4,Various Artists,Boomkat Documenting Sound Series,"Various Artists

            —
            Boomkat Documenting Sound Series",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1354,John Twells,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1354
4,nova-vida-passada,5,Luar Domatrix,Nova Vida Passada,"Luar Domatrix

              —
              Nova Vida Passada
            
              (Domestic Exile)",Domestic Exile,"Killer, freaked R&B, pop and tarraxho zingers from one half of Lisbon/Glasgow’s Yong Yong, Luar Domatrix, spinning perpendicular to Principe, Equiknoxx and Hakuna Kulala in wicked screwball style . TIP!!!!

Favoured by the likes of Jon K and Debonaire on NTS, Luar Domatrix sees the Portuguese artist proceed further from the Hype Williams esque Yong... more",/products/nova-vida-passada,https://assets.boomkat.com/spree/products/676734/product/unnamed.jpg,1354,John Twells,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1354
5,chaptereleven,6,Robert Turman,Chapter Eleven,"Robert Turman

            —
            Chapter Eleven",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1354,John Twells,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1354
6,a-year-closer,7,Maths Balance Volumes,A Year Closer,"Maths Balance Volumes

              —
              A Year Closer
            
              (Penultimate Press)",Penultimate Press,"Breathtakingly unique dust'n'bones drone-folk-noize workouts from Minnesota trio Maths Balance Volumes, who accurately paint a painful picture of 2020 while refusing to ignore the past, cramming harrowing folk and blues wails into ghostly shells of genre-agnostic experimentation. A late highlight of a trying year.

Billed as ""music for a world in which things have... more",/products/a-year-closer,https://assets.boomkat.com/spree/products/705405/product/5056321616821_T12_Image.jpg,1354,John Twells,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1354
7,black-nationalist-sonic-weaponry-expanded-edition,8,Speaker Music,"Black Nationalist Sonic Weaponry 
            
              (Planet Mu Records Ltd.)","Speaker Music

              —
              Black Nationalist Sonic Weaponry (Expanded Edition)
            
              (Planet Mu Records Ltd.)",Expanded Edition,"Originally released in July, DeForrest Brown Jr.'s explosive fusion of jagged rhythm experiments and revolutionary jazz, now comes bundled with an additional 30-minute track that fleshes out his sprawling narrative in a fourth dimension.

Emerging from the heat of summer as anti-racist protests burned across the USA, ""Black Nationalist Sonic Weaponry"" is an... more",/products/black-nationalist-sonic-weaponry-expanded-edition,https://assets.boomkat.com/spree/products/706276/product/5055869565837_T13_Image.jpg,1354,John Twells,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1354
8,pork,9,Thoom,Pork,"Thoom

            —
            Pork",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1354,John Twells,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1354
9,riseabovehate,10,Unknown T,Rise Above Hate,"Unknown T

            —
            Rise Above Hate",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1354,John Twells,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1354
10,push-94d2c66b-197b-4169-8272-ab99a6f327b8,11,Maral,Push,"Maral

              —
              Push
            
              (Leaving Records)",Leaving Records,"Completely head-warping Persian progressive dub nuggets from LA's Maral. Where else are you gonna find Lee ""Scratch"" Perry, Crass's Penny Rimbaud, oversaturated beats and Iranian classical and folk samples mashed into a fuzz of echo and tape hiss? 

Few genres have been as rinsed, but Maral's ""Push"" arrives to remind us that innovation is still possible... more",/products/push-94d2c66b-197b-4169-8272-ab99a6f327b8,https://assets.boomkat.com/spree/products/693079/product/659457529437_T67131753270054.jpg,1354,John Twells,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1354
11,anunknowninfinite,12,Amani + King Vision Ultra,An Unknown Infinite,"Amani + King Vision Ultra

            —
            An Unknown Infinite",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1354,John Twells,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1354
12,limerencia,13,Lila Tirando a Violeta,Limerencia,"Lila Tirando a Violeta

              —
              Limerencia
            
              (NAAFI)",NAAFI,"Mexico City’s NAAFI pull out a rude and classy label debut by Uruguay’s Lila Tirando a Violeta feat. Nick Léon, Plvybxy, PRJCTN, Lighght

Ready to file in your hardvape goth-tech folder, ‘Limerencia’ follows her shot on Dream Catalogue and a recent Fact mix with a brooding batch of club workouts, shotting strong numbers in the swingeing syncopation and... more",/products/limerencia,https://assets.boomkat.com/spree/products/677072/product/NF037_Cover.jpg,1354,John Twells,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1354
13,peel-f3bcba7b-fc4d-4ab2-90c2-e388e04d496a,14,KMRU,Peel,"KMRU

              —
              Peel
            
              (Editions Mego)",Editions Mego,"Nairobi, Kenya’s KMRU debuts on Mego with a suite of serene ambient scenes after emerging with Four Tet-like electronica releases in 2019 and recently starring on ‘Alternate African Reality - Electronic, Electroacoustic And Experimental Music From Africa And The Diaspora’

Known as Joseph Kamaru to his pals, KMRU was hailed by RA as one of ’15 East... more",/products/peel-f3bcba7b-fc4d-4ab2-90c2-e388e04d496a,https://assets.boomkat.com/spree/products/676153/product/5050580743632.jpg,1354,John Twells,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1354
14,soultek,15,Yakui,Soultek,"Yakui

            —
            Soultek",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1354,John Twells,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1354
15,hybtwibt,16,Space Afrika,hybtwibt?,"Space Afrika

            —
            hybtwibt?",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1354,John Twells,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1354
