,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,aralkum,1,Galya Bisengalieva,Aralkum,"Galya Bisengalieva

              —
              Aralkum
            
              (One Little Independent Records)",One Little Independent Records,"Stunning debut LP proper by LCO violinist and solo composer Galya Bisengalieva, offering an elegiac lament for the former Aral Sea, now Aralkum Desert, in Kazakhstan for the newly renamed One Little Independent Records

Following recent acclaim for her exploratory EPs with the NOMAD label, Kazakh/British artist Bisengalieva applies the dream-like... more",/products/aralkum,https://assets.boomkat.com/spree/products/694897/product/TPLP1572_Cover.jpg,1325,Kelman Duran,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1325
1,afriend,2,Ms. Carrie Stacks,A Friend,"Ms. Carrie Stacks

            —
            A Friend",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1325,Kelman Duran,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1325
2,petrichortt,3,Ans M,Petrichor (TT),"Ans M

            —
            Petrichor (TT)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1325,Kelman Duran,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1325
3,radiounnameableyegorka,4,Yantan Ministry,Radio Unnameable (Yegorka),"Yantan Ministry

            —
            Radio Unnameable (Yegorka)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1325,Kelman Duran,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1325
4,one-7d6728c0-be14-415c-ad15-4b3b1093aa22,5,ZULI,One,"ZULI

              —
              One
            
              (Boomkat Editions | Documenting Sound)",Boomkat Editions | Documenting Sound,"ZULI heat-synchs us into the sound of Cairo as spring transitioned into summer 2020 with a killer, fractious mesh of field recordings, queasily compressed electronics and frayed rhythms taped and edited for our ongoing Documenting Sound series.

Collaged from original music and incidental sound, ‘One’ vacillates bursts of rugged drums with pangs of... more",/products/one-7d6728c0-be14-415c-ad15-4b3b1093aa22,https://assets.boomkat.com/spree/products/664436/product/ZULI_DIstribution-Preview.jpg,1325,Kelman Duran,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1325
5,nisifmideenama3ef,6,Ma3aef / Various,Nisif Mideena (Ma3ef),"Ma3aef / Various

            —
            Nisif Mideena (Ma3ef)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1325,Kelman Duran,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1325
6,stripclabgatadelinfierno,7,Sassy Girl & DJ Sustancia,Strip Clab - Gata Del Infierno,"Sassy Girl & DJ Sustancia

            —
            Strip Clab - Gata Del Infierno",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1325,Kelman Duran,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1325
7,limerencia,8,Lila Tirando a Violeta,Limerencia,"Lila Tirando a Violeta

              —
              Limerencia
            
              (NAAFI)",NAAFI,"Mexico City’s NAAFI pull out a rude and classy label debut by Uruguay’s Lila Tirando a Violeta feat. Nick Léon, Plvybxy, PRJCTN, Lighght

Ready to file in your hardvape goth-tech folder, ‘Limerencia’ follows her shot on Dream Catalogue and a recent Fact mix with a brooding batch of club workouts, shotting strong numbers in the swingeing syncopation and... more",/products/limerencia,https://assets.boomkat.com/spree/products/677072/product/NF037_Cover.jpg,1325,Kelman Duran,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1325
8,vague-currency,9,Amazondotcom & Siete Catorce,Vague Currency,"Amazondotcom & Siete Catorce

              —
              Vague Currency
            
              (Subreal)",Subreal,,/products/vague-currency,https://assets.boomkat.com/spree/products/711369/product/SR004Artwork.jpg,1325,Kelman Duran,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1325
9,nothing-69a9e1f4-d3c7-444a-b626-674074373398,10,Loraine James,Nothing,"Loraine James

              —
              Nothing
            
              (Hyperdub)",Hyperdub,"Loraine James continues a prolific year with another head-melting EP, this time enlisting the talents of HTRK's Jonnine, NAAFI-signed producer and vocalist Lila Tirando a Violeta and Iranian rapper Tardast.

London's Loraine James could have sat on her laurels after last year's ""For You And I"", a timely album of futuristic experimental electronics that had... more",/products/nothing-69a9e1f4-d3c7-444a-b626-674074373398,https://assets.boomkat.com/spree/products/679491/product/LoraineJames.jpg,1325,Kelman Duran,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1325
