,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,synthesisofunallocatedaffectionssuperpang,1,Elias Merino,Synthesis of Unallocated Affections (superpang),"Elias Merino

            —
            Synthesis of Unallocated Affections (superpang)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1220,Kevin Drumm,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1220
1,volumevoidsuperpang,2,Bjarni Gunnarsson,Volume & Void (superpang),"Bjarni Gunnarsson

            —
            Volume & Void (superpang)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1220,Kevin Drumm,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1220
2,gioseffozarlinosacredrealism,3,Marc Sabat & the Harmonic Space Orchestra,Gioseffo Zarlino (sacred realism),"Marc Sabat & the Harmonic Space Orchestra

            —
            Gioseffo Zarlino (sacred realism)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1220,Kevin Drumm,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1220
3,cognitivedissonanceeditionswandelweiser,4,Eric Wong,Cognitive Dissonance (editions wandelweiser),"Eric Wong

            —
            Cognitive Dissonance (editions wandelweiser)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1220,Kevin Drumm,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1220
4,earthingwergo,5,Clara Iannotta,Earthing (wergo),"Clara Iannotta

            —
            Earthing (wergo)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1220,Kevin Drumm,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1220
5,openamplify2020,6,Zhu Wenbo,Open (Amplify 2020),"Zhu Wenbo

            —
            Open (Amplify 2020)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1220,Kevin Drumm,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1220
6,iamsittinginaroomamplify2020,7,Theresa Smith,I Am Sitting In A Room (Amplify 2020),"Theresa Smith

            —
            I Am Sitting In A Room (Amplify 2020)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1220,Kevin Drumm,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1220
7,liveinchicagopeaceville,8,Autopsy,Live In Chicago (Peaceville),"Autopsy

            —
            Live In Chicago (Peaceville)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1220,Kevin Drumm,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1220
8,erikcarlsontjbordenpresenttidebymattsargentawavepress,9,Eric Carlson & T.J. Borden,Erik Carlson & T.J. Borden Present Tide by Matt Sargent (A Wave Press),"Eric Carlson & T.J. Borden

            —
            Erik Carlson & T.J. Borden Present Tide by Matt Sargent (A Wave Press)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1220,Kevin Drumm,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1220
9,acousticphenomenahymnicsoundsselloeditionwandelweiser,10,James Tenney,Acoustic Phenomena/Hymnic Sounds Sello (Edition Wandelweiser),"James Tenney

            —
            Acoustic Phenomena/Hymnic Sounds Sello (Edition Wandelweiser)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1220,Kevin Drumm,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1220
