,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,duma-3415147b-e721-4a12-967f-efda29002ef8,1,Duma,Duma,"Duma

              —
              Duma
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Lights out, game over. Duma win 2020. Breathtaking by any measure, Kenyan grindcore band Duma’s unparalleled debut of blast beats, sky-clawing synth noise and scarred larynx vocals is one of the mightiest things you’ll hear all year - a huge RIYL Nkisi, Woid, Senyawa...

Duma's self-titled debut is the most incredible injection of life-affirming, outsider energy... more",/products/duma-3415147b-e721-4a12-967f-efda29002ef8,https://assets.boomkat.com/spree/products/668993/product/NNT022_Cover.jpg,1288,KMRU,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1288
1,hum-of-your-veiled-voice,2,Jake Muir,the hum of your veiled voice,"Jake Muir

              —
              the hum of your veiled voice
            
              (sferic)",sferic,"The sferic label add to a strong run of releases from Space Afrika, Perila, Echium and Roméo Poirier with a stunning new LP from Jake Muir; a fabrication of impressionistic cityscapes describing L.A. at dusk, and Berlin dawning, highly recommended if you’re into Pinkcourtesyphone, Gas, Philip Jeck, Jan Jelinek.

’The hum of your veiled voice’ was written by Muir in... more",/products/hum-of-your-veiled-voice,https://assets.boomkat.com/spree/products/699110/product/a2143322959_10.jpg,1288,KMRU,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1288
2,everything-is-already-there,3,Perila,Everything Is Already There,"Perila

              —
              Everything Is Already There
            
              (Boomkat Editions | Documenting Sound)",Boomkat Editions | Documenting Sound,"A 12 track album, an hour in length, recorded in the space of a week and - for our money - one of the most inspiring things we've heard this year, an intimate fever dream made real, a summoning of rich and complex spirits that reminds us of Dean Blunt x Hype Williams, Paris Texas, Ulla (who plays saxophone on two tracks under the Foamy alias), Grouper, Laurel... more",/products/everything-is-already-there,https://assets.boomkat.com/spree/products/699215/product/Perila_Distribution_Preview.jpg,1288,KMRU,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1288
3,simulacrum-ec6c7e71-4eec-401d-990c-b320807dc768,4,Aho Ssan,Simulacrum,"Aho Ssan

              —
              Simulacrum
            
              (Subtext Recordings)",Subtext Recordings,"Debut volley of noisily complex and twisting IDM electronica from Aho Ssan, a new artist on James Ginzburg of Emptyset’s Subtext label. RIYl Shapednoise, Heith, Pyur.

""Inspired in part by French sociologist Jean Baudrillard’s influential text “Simulacres et Simulation,” the record plays with synthesis and simulation, picking apart notions of modulatable... more",/products/simulacrum-ec6c7e71-4eec-401d-990c-b320807dc768,https://assets.boomkat.com/spree/products/639610/product/A10341T0000025OSRI_T60339619190054.jpg,1288,KMRU,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1288
4,excisionafterlovecollapses,5,FRKTL,Excision After Love Collapses,"FRKTL

            —
            Excision After Love Collapses",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1288,KMRU,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1288
5,yonda,6,Kimyan Law,Yonda,"Kimyan Law

              —
              Yonda
            
              (Blu Mar Ten Music)",Blu Mar Ten Music,,/products/yonda,https://assets.boomkat.com/spree/products/618389/product/5054526425415_T13_Image.jpg,1288,KMRU,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1288
6,second-language-aba8722e-1bb2-4595-b951-999a2ec3f6e9,7,MINOR SCIENCE,Second Language,"MINOR SCIENCE

              —
              Second Language
            
              (AD 93 / Whities)",AD 93 / Whities,"‘Second Language’ is the debut album of IDM and magpied rhythmic modernism by Angus Finlayson aka Minor Science.

Rendering his first release since 2017, Minor Science delivers 10 tracks of wistful arrangements that coyly flirt with the floor one minute, and induce listeners to horizontal states the next. Mercurial nods to footwork, ghetto-tech and D&B... more",/products/second-language-aba8722e-1bb2-4595-b951-999a2ec3f6e9,https://assets.boomkat.com/spree/products/640775/product/3616403948039.jpg,1288,KMRU,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1288
7,one-life-14520a3f-ce1c-4a39-ace8-1dd66ee3a13c,8,Malibu,One Life,"Malibu

              —
              One Life
            
              (UNO NYC)",UNO NYC,"Heavy ambient comfort blankets from Malibu; the new moniker for DJ Lostboi, whose string of self-released enigmas 2017-2019 found cult acclaim with the likes of Julianna Barwick among many others.

Bringing a gorgeous pop-ambient sound sensitivity and directness to the current groundswell of ambient music in the air right now, Malibu’s ‘One Life’ is set... more",/products/one-life-14520a3f-ce1c-4a39-ace8-1dd66ee3a13c,https://assets.boomkat.com/spree/products/613534/product/0810025343002.jpg,1288,KMRU,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1288
8,ingrid-eaa0de3e-d58c-4f33-a095-17be9d825dca,9,Klara Lewis,Ingrid,"Klara Lewis

              —
              Ingrid
            
              (Editions Mego)",Editions Mego,"Klara Lewis comes into her own with the furling melancholic loops and raging despair of ‘Ingrid’, recalling Steve Reich’s phasing inventions worn out by Basinski, or the way her stark native landscape manifests in black metal.

“Following 2018's acclaimed collaboration with Simon Fisher Turner, ""Care"", Swedish sound artist Klara Lewis returns with ""Ingrid""... more",/products/ingrid-eaa0de3e-d58c-4f33-a095-17be9d825dca,https://assets.boomkat.com/spree/products/645993/product/5050580735071.jpg,1288,KMRU,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1288
9,workaround,10,Beatrice Dillon,Workaround,"Beatrice Dillon

              —
              Workaround
            
              (PAN)",PAN,"‘Workaround’ is the singular debut album proper by Beatrice Dillon; an eminent rhythm fiend whose productions and DJ sets are prized for her patient, fluid grasp of space, texture and devilish, syncopated UK club styles.  It's almost impossible to articulate just how hard we’ve fallen for this one, but trust that for our money it’s the most vital album we’ve heard in... more",/products/workaround,https://assets.boomkat.com/spree/products/624039/product/BeatriceFlat.jpg,1288,KMRU,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1288
