,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,hidden-in-this-is-the-light-that,1,Regis,Hidden In This Is The Light That You Miss,"Regis

              —
              Hidden In This Is The Light That You Miss
            
              (Downwards)",Downwards,"Finally, Regis lets his rhythmic noise opus out into the world, a bruising and hauntingly absorbing new album - his first since 2001 - recorded in Berlin with Einstürzende Neubauten’s engineer/producer Boris Wilsdorf and an absolute must if you want a dose of highest grade industrial rhythmic noise or into anything from British Murder Boys to Test Department, Jeff... more",/products/hidden-in-this-is-the-light-that,https://assets.boomkat.com/spree/products/657714/product/8718723146814.jpg,1372,Lawrence English,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1372
1,sougi,2,岩本清顕 Kiyoaki Iwamoto,SOUGI​+​（ソウギ・プラス）,"岩本清顕 Kiyoaki Iwamoto

            —
            SOUGI​+​（ソウギ・プラス）",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1372,Lawrence English,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1372
2,here-80e5c177-e430-4206-bba7-f53c0a896068,3,Ruth Anderson,Here,"Ruth Anderson

              —
              Here
            
              (Arc Light Editions)",Arc Light Editions,"Important and long overdue retrospective album compiling work by Ruth Anderson - a pioneering American electronic music composer, conductor and flautist - effectively her first album in a career that spans almost 70 years. Anderson was born and worked during the same era as Daphne Oram, albeit on the other side of the pond, and is sadly another... more",/products/here-80e5c177-e430-4206-bba7-f53c0a896068,https://assets.boomkat.com/spree/products/642401/product/A10341T0000027LLJF_T61840438500054.jpg,1372,Lawrence English,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1372
3,lamentations-4430953e-6dc8-4395-abfd-bbc7a7c1e511,4,William Basinski,Lamentations,"William Basinski

              —
              Lamentations
            
              (Temporary Residence Ltd.)",Temporary Residence Ltd.,"The master of the tape loop returns with ""Lamentations"", yet another collection of eroded drone for low-light dreamers, captured and constructed from tape loops and studies from Basinski’s archives – dating back to 1979 – Lamentations is over forty years of mournful sighs meticulously crafted into songs. They are shaped by the inevitable passage of time and... more",/products/lamentations-4430953e-6dc8-4395-abfd-bbc7a7c1e511,https://assets.boomkat.com/spree/products/677312/product/656605334363_T66034360980054.jpg,1372,Lawrence English,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1372
4,rupture,5,Aki Onda,Rupture,"Aki Onda

            —
            Rupture",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1372,Lawrence English,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1372
5,collagen,6,Lisa Lerkenfeldt,Collagen,"Lisa Lerkenfeldt

              —
              Collagen
            
              (Shelter Press)",Shelter Press,"The full-length debut of Lisa Lerkenfeldt’s lowercase ambient drift marks the Aussie artist’s most significant release to date, slotting neatly into the roster of Félicia Atkinson & Bartolomé Sanson’s Shelter Press and gently caressing our earlobes with a sometimes barely-there palette of peach wood combs, contact microphones, piano, strings, and feedback that... more",/products/collagen,https://assets.boomkat.com/spree/products/676756/product/cover.jpg,1372,Lawrence English,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1372
6,genetic-b0d4d1c6-f012-4087-853e-99dae3bfefdc,7,Dewa Alit & Gamelan Salukat,Genetic,"Dewa Alit & Gamelan Salukat

              —
              Genetic
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Radiant international debut from a contemporary Balinese gamelan master and collaborator with Bang On A Can and Ensemble Modern, working around a unique 11 note scale in slowly pointillist to frenetic moves in a 32 minute work that highlights Gamelan’s connections to electronic music.

""The first release outside Indonesia from contemporary... more",/products/genetic-b0d4d1c6-f012-4087-853e-99dae3bfefdc,https://assets.boomkat.com/spree/products/660322/product/4250101418129.jpg,1372,Lawrence English,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1372
7,yeo-neun,8,Okkyung Lee,Yeo-Neun,"Okkyung Lee

              —
              Yeo-Neun
            
              (Shelter Press)",Shelter Press,"Ravishing, dream-like debut by Okkyung Lee’s chamber ensemble, placing a rarely paralleled instrumental guile and imagination at the service of Shelter Press’ beautiful series of carefully hand-picked editions.

Rendering Lee’s first recordings with the Yeo-Neun Quartet, an experimental chamber ensemble established in 2016 and also comprising... more",/products/yeo-neun,https://assets.boomkat.com/spree/products/647249/product/cover.jpg,1372,Lawrence English,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1372
8,deathposture,9,Caustic Wound,Death Posture,"Caustic Wound

            —
            Death Posture",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1372,Lawrence English,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1372
9,three-9da18526-6171-4f6e-822d-55ff9e532d0e,10,THE NECKS,Three,"THE NECKS

              —
              Three
            
              (ReR)",ReR,"Breathtaking new studio album from The Necks, saddling up for a glorious route taking in fast flowing polyrhythms and revelatory soundscapes - really one of their strongest in a flawless catalogue that now spans 30 years and with a closing track that once again taps into that Talk Talk thing they do so well...

The now legendary trio have always charted their... more",/products/three-9da18526-6171-4f6e-822d-55ff9e532d0e,https://assets.boomkat.com/spree/products/637445/product/a2112115597_16.jpg,1372,Lawrence English,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1372
