,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,toeeyoreentracte,1,Nika Son,To Eeyore (Entr'acte),"Nika Son

            —
            To Eeyore (Entr'acte)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1222,Lena Willikens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1222
1,due-matte,2,Valentina Magaletti & Marlene Ribeiro,Due Matte,"Valentina Magaletti & Marlene Ribeiro

              —
              Due Matte
            
              (Horn Of Plenty)",Horn Of Plenty,"In 2019 Valentina Magaletti (Tomaga, Vanishing Twin) & Marlene Ribeiro (Gnod, Negra Blanca) were in residency at the Hysteria project at Porto’s Sonoscopia where they ran percussion workshops for female artists exploring new working methods.

""Back in London, Valentina’s phone recordings from the workshops became the base materials for DUE... more",/products/due-matte,https://assets.boomkat.com/spree/products/706697/product/5056321616890_T13_Image.jpg,1222,Lena Willikens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1222
2,perdu-712c2a19-10be-4c02-9482-432f9ef91fe1,3,Piezo,Perdu,"Piezo

              —
              Perdu
            
              (Hundebiss)",Hundebiss,"Hot debut album flex from Italy’s Piezo - highly recommended for the Rian Treanor, Beatrice Dillon, Batu and Kelman Duran heads  / new on Hundebiss - label behind Kelman’s ace ‘1804 KIDS’

Making good on the promise of Piezo’s off-kilter and cruddy cuts for Version, 81 and Wisdom Teeth in recent years, ‘Perdu’ sees his rough-hewn style of FM synthesis... more",/products/perdu-712c2a19-10be-4c02-9482-432f9ef91fe1,https://assets.boomkat.com/spree/products/678303/product/5056321609618_T12_Image.jpg,1222,Lena Willikens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1222
3,porkcareerwhore,4,Thoom,Pork (Career Whore),"Thoom

            —
            Pork (Career Whore)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1222,Lena Willikens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1222
4,no-era-solida,5,Lucrecia Dalt,No era sólida,"Lucrecia Dalt

              —
              No era sólida
            
              (RVNG Intl.)",RVNG Intl.,"Lucrecia Dalt is back on RVNG with a complex and syrupy full-length of undulating rhythms and half-heard melodies, cracking with ASMR vocal elements and shrouded, mystical instrumentation.

At this stage, Dalt has successfully built herself a unique sound-world; 2018's ""Anticlines"" was inspired by her own work as a geotechnical engineer, and with ""No Era... more",/products/no-era-solida,https://assets.boomkat.com/spree/products/674154/product/747742383069_T65396996990054.jpg,1222,Lena Willikens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1222
5,balcak,6,KNR,Balčak,"KNR

              —
              Balčak
            
              (Disk)",Disk,"Outstanding rhythmic ingenuity and possessed electronic sound design from Belgrade’s kӣr, debuting on Don’t DJ’s expertly programmed Disk label.

Tapping into the same sort of occultish dancefloor nous as fellow Belgrade son, Vladimir Ivkovic, the ‘Balčak’ EP presents kӣr as a real master of slow, viscous rhythms and psychedelic electronics comparable to Coil... more",/products/balcak,https://assets.boomkat.com/spree/products/634255/product/DISK21_Cover.jpg,1222,Lena Willikens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1222
6,drawmeasilence,7,Azu Tiwaline,Draw Me A Silence,"Azu Tiwaline

            —
            Draw Me A Silence",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1222,Lena Willikens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1222
7,joursdegrveversatile,8,Emmanuelle Parrenin & Detlef Weinrich,Jours De Gréve (Versatile),"Emmanuelle Parrenin & Detlef Weinrich

            —
            Jours De Gréve (Versatile)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1222,Lena Willikens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1222
8,waves-1-a1415fe6-a7f7-4716-ae4f-8cb6f94ad5d2,9,Curd Duca,Waves 1,"Curd Duca

              —
              Waves 1
            
              (Magazine)",Magazine,"Easy listening glitch innovator and pioneer Curd Duca presents his first work in 20 years; tiling 28 gorgeous vignettes in the first of a welcome, ongoing series for Cologne’s Magazine - big RIYL Jan Jelinek, Carl Stone, Fennesz.

Discounting the Austrian artist’s genteel self-released album of accordion cut-ups, issued in early 2020, ‘Waves 1’ marks the return of... more",/products/waves-1-a1415fe6-a7f7-4716-ae4f-8cb6f94ad5d2,https://assets.boomkat.com/spree/products/702213/product/4250101422638.jpg,1222,Lena Willikens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1222
9,zoom-fe562f1f-7dac-4cc5-a933-f38bc0df3b4c,10,upsammy,Zoom,"upsammy

              —
              Zoom
            
              (Dekmantel)",Dekmantel,"Amsterdam’s upsammy strives for an organic sort of IDM in her debut album for Dekmantel with results recalling the fluffiest Kettel, Aleksi Perala’s trippy tunings, and the airspun rhythms of Bjarki

“Zoom is Thessa Torsing’s first full-length album as upsammy. Since 2017, she has developed a signature style in front of listeners eyes and ears: hers is a... more",/products/zoom-fe562f1f-7dac-4cc5-a933-f38bc0df3b4c,https://assets.boomkat.com/spree/products/656111/product/8718754959919.jpg,1222,Lena Willikens,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1222
