,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,psych-6f5b6390-6058-420e-892c-a6fee11075d7,1,Men With Secrets,Psycho Romance and Other Spooky Ballads,"Men With Secrets

              —
              Psycho Romance and Other Spooky Ballads
            
              (The Bunker New York)",The Bunker New York,"Donato Dozzy and the Retina.it duo debut their dark and sleazy electro project, Men With Secrets on Bunker NYC

An unexpected treat, ‘Psycho Romance & Other Spooky Ballads’ straddles a murky line between 1982 and 2002 with 13 tunes spanning scuzzy electro proper, melodramatic cold wave synth-pop and finely crafted interludes. 

It’s a properly... more",/products/psych-6f5b6390-6058-420e-892c-a6fee11075d7,https://assets.boomkat.com/spree/products/637017/product/194491806842.jpg,1275,Lychee,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1275
1,mysteries-compilation-chapter-one,2,Various Artists,Mysteries Compilation - Chapter One,"Various Artists

              —
              Mysteries Compilation - Chapter One
            
              (Mysteries of the Deep)",Mysteries of the Deep,,/products/mysteries-compilation-chapter-one,https://assets.boomkat.com/spree/products/661432/product/4251804129848_2500.jpg,1275,Lychee,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1275
2,iwishicouldbesomewherewithyouhttpseasternnurseriesbandcampcomalbumiwishicouldbesomewherewithyou,3,Nonchalant,I Wish I Could Be Somewhere With You https://eastern-nurseries.bandcamp.com/album/i-wish-i-could-be-somewhere-with-you,"Nonchalant

            —
            I Wish I Could Be Somewhere With You https://eastern-nurseries.bandcamp.com/album/i-wish-i-could-be-somewhere-with-you",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1275,Lychee,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1275
3,magnetic-service-ep,4,Azu Tiwaline,Magnetic Service EP,"Azu Tiwaline

              —
              Magnetic Service EP
            
              (Livity Sound Recordings)",Livity Sound Recordings,"Azu Tiwaline explores ""the intersections of Berber music, dub culture and techno hypnosis” on this strong new EP for Livity Sound. Bare-boned and moody, this one slowly pulls you in with gradually coalescing layers that are detailed and atmospheric,  highly recommended if yr into Burnt Friedman, Portable, Move D.

""Fresh from the acclaimed Draw Me... more",/products/magnetic-service-ep,https://assets.boomkat.com/spree/products/667689/product/3663729125347.jpg,1275,Lychee,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1275
4,tripped6yearsofblankstairsvoliiihttpsblankstairsbandcampcomalbumtripped6yearsofblankstairsvoliii,5,Blankstairs,Tripped: 6 Years Of Blankstairs Vol. III https://blankstairs.bandcamp.com/album/tripped-6-years-of-blankstairs-vol-iii,"Blankstairs

            —
            Tripped: 6 Years Of Blankstairs Vol. III https://blankstairs.bandcamp.com/album/tripped-6-years-of-blankstairs-vol-iii",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1275,Lychee,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1275
5,stillhttpsshopsilentseasoncomalbumstill,6,Night Sea,Still https://shop.silentseason.com/album/still,"Night Sea

            —
            Still https://shop.silentseason.com/album/still",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1275,Lychee,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1275
6,a-sound-place,7,otodojo,A Sound Place,"otodojo

              —
              A Sound Place
            
              (Acid Camp)",Acid Camp,,/products/a-sound-place,https://assets.boomkat.com/spree/products/617713/product/4251648409533_2500.jpg,1275,Lychee,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1275
7,sympathiesivhttpsfurtivetraxbandcampcomalbumsympathiesiv,8,Furtive,Sympathies IV https://furtivetrax.bandcamp.com/album/sympathies-iv,"Furtive

            —
            Sympathies IV https://furtivetrax.bandcamp.com/album/sympathies-iv",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1275,Lychee,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1275
8,cathexissessionsvol1httpskorrebandcampcomalbumcathexissessionsvol1,9,Korrē,Cathexis Sessions Vol.1 https://korre.bandcamp.com/album/cathexis-sessions-vol-1,"Korrē

            —
            Cathexis Sessions Vol.1 https://korre.bandcamp.com/album/cathexis-sessions-vol-1",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1275,Lychee,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1275
9,celestialbodieshttpsclaudeyoungjrcelestialbodiesbandcampcomalbumcelestialbodies,10,Claude Young,Celestial Bodies https://claudeyoungjr-celestialbodies.bandcamp.com/album/celestial-bodies,"Claude Young

            —
            Celestial Bodies https://claudeyoungjr-celestialbodies.bandcamp.com/album/celestial-bodies",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1275,Lychee,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1275
