,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,rastilho,1,Kiko Dinucci,Rastilho,"Kiko Dinucci

              —
              Rastilho
            
              (MAIS UM DISCOS)",MAIS UM DISCOS,,/products/rastilho,https://assets.boomkat.com/spree/products/662101/product/4062548012934_1448.jpg,1419,Madriguera,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1419
1,musick-to-play-in-the-dark,2,Coil,Musick To Play In The Dark,"Coil

              —
              Musick To Play In The Dark
            
              (Dais Records)",Dais Records,"One of Coil’s most “accessible” and definitive classics finally resurfaces on Dais for a first *official* reissue 21 years after the fact

‘Musick To Play In The Dark’ is one those records that, like your first f*ck or trip, remains intractably lodged in the memory. At long last rearriving officially on physical formats with blessing of Coil’s Drew McDowell, the album could... more",/products/musick-to-play-in-the-dark,https://assets.boomkat.com/spree/products/679381/product/011586670907_T66300943310054.jpg,1419,Madriguera,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1419
2,mayu,3,Pale Cocoon,"Mayu 
            
              (Incidental Music)","Pale Cocoon

              —
              Mayu (繭)
            
              (Incidental Music)",繭,"Utterly unmissable ambient confections from early ‘80s Japan, remarkably seeing their first official reissue after appearing on those Light Sounds Dark comps and cropping up like rare orchids on blogs over the years - strongest RIYL Woo, Durutti Column, Two Daughters.

Somehow evading any kind of legitimate reissue until now, Pale Cocoon’s impossible-to-find... more",/products/mayu,https://assets.boomkat.com/spree/products/653813/product/tmp_2F1584386325005-sue46sqkm2q-d5368f77a4ae9a6cdaf5c939ebd94404_2FScreen_Shot_2020-03-16_at_12.17.41_PM.png,1419,Madriguera,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1419
3,thecompleteworksnowagainrecords,4,Ayalew Mesfin,The Complete Works (Now-Again Records),"Ayalew Mesfin

            —
            The Complete Works (Now-Again Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1419,Madriguera,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1419
4,attheendsoftheworldfountainavm,5,Lloyd Miller / Ian Camp / Adam Michael Terry,At The Ends Of The World (FOUNTAINavm),"Lloyd Miller / Ian Camp / Adam Michael Terry

            —
            At The Ends Of The World (FOUNTAINavm)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1419,Madriguera,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1419
5,peyotereissuebferecords,6,O Yuki Conjugate,Peyote Reissue (B.F.E. Records),"O Yuki Conjugate

            —
            Peyote Reissue (B.F.E. Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1419,Madriguera,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1419
6,omshantiomblacksweatrecords,7,Don Cherry,Om Shanti Om (Black Sweat Records),"Don Cherry

            —
            Om Shanti Om (Black Sweat Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1419,Madriguera,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1419
7,yhlqmdlgrimasentertainmentllc,8,Bad Bunny,YHLQMDLG (Rimas Entertainment LLC),"Bad Bunny

            —
            YHLQMDLG (Rimas Entertainment LLC)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1419,Madriguera,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1419
8,outsourcinggodsgracemineralresource,9,"Rosario, E.F.",Outsourcing God’s Grace (Mineral Resource),"Rosario, E.F.

            —
            Outsourcing God’s Grace (Mineral Resource)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1419,Madriguera,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1419
9,natsu-no-zenbu,10,Ippei Matsui & Aki Tsuyuko,Natsu No Zenbu,"Ippei Matsui & Aki Tsuyuko

              —
              Natsu No Zenbu
            
              (All Night Flight)",All Night Flight,"Lovely, twinkling Japanese ambient meditations from 2008 resurface as the second release on All Night Flight's fledgling imprint. RIYL Dominique Lawalrée, The Boats, World Standard.

Leading on from the shop-turned-label’s unearthing of ‘The Clearing’(1982) by A Produce, ANF look to a regular haunt, Japan, to share their love for Ippei Matsui & Aki Tsuyuko’s... more",/products/natsu-no-zenbu,https://assets.boomkat.com/spree/products/694884/product/R-1772330-1242365640.jpeg.jpg,1419,Madriguera,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1419
