,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,anthology-6f227186-bae4-4456-8191-cc1f99d7f2d0,1,Stano,Anthology,"Stano

              —
              Anthology
            
              (Allchival)",Allchival,"Highest grade ‘80s/early ‘90s post-punk weirdness from Stano, reaping highlights of his five LPs in a necessary retrospective - highly recommended to fans of his collaborators Michael O’Shea and Roger Doyle, and even Planxty and My Bloody Valentine, who both contribute…

“Following on from our 2018 repress of his debut album “Content to Write in I Dine... more",/products/anthology-6f227186-bae4-4456-8191-cc1f99d7f2d0,https://assets.boomkat.com/spree/products/687855/product/ACSLPx2_Cover.jpg,1274,Maria Somerville,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1274
1,blue-hills-0ab599f7-841e-4060-ad89-30af0d8d6386,2,Jonnine,Blue Hills,"Jonnine

              —
              Blue Hills
            
              (Boomkat Editions | Documenting Sound)",Boomkat Editions | Documenting Sound,"The other week we dreamt that we asked Jonnine aka Jonnine Standish of f#cking HTRK to make some music for a tape series. She ended up sending us what was essentially a 9 track album of new songs featuring Jonnine on bass guitar, a Mopho synth, a wave drum and an electric wind instrument, plus her vocals, clicks and garden chimes, and... more",/products/blue-hills-0ab599f7-841e-4060-ad89-30af0d8d6386,https://assets.boomkat.com/spree/products/674795/product/Jonnine_Distribution-Preview.jpg,1274,Maria Somerville,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1274
2,spells-4a3b9995-24a7-4004-a55b-ce3bb08b69e2,3,Nailah Hunter,Spells,"Nailah Hunter

              —
              Spells
            
              (Leaving Records)",Leaving Records,"Theatric incantations from a new LA artist to the ambient chamber-pop sphere, patently inspired by synaesthesia and fantasy soundtracks

“Spells is the debut release by Los Angeles based multi-instrumentalist and composer Nailah Hunter on Leaving Records. Each of the EP’s six tracks represent a spell, a unique sonic place forged by imagination and... more",/products/spells-4a3b9995-24a7-4004-a55b-ce3bb08b69e2,https://assets.boomkat.com/spree/products/658774/product/659457528539_T63584240560054.jpg,1274,Maria Somerville,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1274
3,in-this-lingering-twilight-sparkle,4,Mark Leckey,In This Lingering Twilight Sparkle,"Mark Leckey

              —
              In This Lingering Twilight Sparkle
            
              (Boomkat Editions | Documenting Sound)",Boomkat Editions | Documenting Sound,"It’s a proper madness this one, a fantasy travelogue stitching home recordings, spoken word and dismantled tunes like some hallucinogenic mixtape; part audio diary, part YouTube session taking in fairytale folk musics, iMessage notifications and gothic horror that will make you question... stuff. It's the sound of Mark Leckey at home on May 19th 2020, and it’s... more",/products/in-this-lingering-twilight-sparkle,https://assets.boomkat.com/spree/products/673918/product/Mark-Leckey-Distribution-Preview.jpg,1274,Maria Somerville,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1274
4,what-s-tonight-to-eternity,5,Cindy Lee,What's Tonight To Eternity,"Cindy Lee

              —
              What's Tonight To Eternity
            
              (W.25TH / Superior Viaduct)",W.25TH / Superior Viaduct,"Very strong slab of haunted ‘60s pop themes and keeling synth noise from Canada’s Pat Flegel aka Cindy Lee, formerly of Canadian indie-pop heroes Women, now sounding like a spell concocted by Panda Bear, Forest Swords, Johnny Jewel and Dean Hurley’s Trouble. Check the samples and trust your ears, it’s a bewt!

“For Patrick Flegel, Cindy Lee is more... more",/products/what-s-tonight-to-eternity,https://assets.boomkat.com/spree/products/634838/product/857661008292.jpg,1274,Maria Somerville,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1274
5,because-of-a-flower,6,Ana Roxanne,Because of a Flower,"Ana Roxanne

              —
              Because of a Flower
            
              (Kranky)",Kranky,"Ana Roxanne follows up the short-and-sweet ""~~~"" with this devastatingly beautiful full-length for Kranky, joining the dots between the label's past and present with heartbreaking sounds that remind us of Labradford, Windy & Carl, Grouper and beyond.

The album was written over the last five years, when the LA-based, Oakland-raised artist released that debut... more",/products/because-of-a-flower,https://assets.boomkat.com/spree/products/706002/product/796441823024.jpg,1274,Maria Somerville,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1274
6,petrolfactorywherethetimegoes2020httpswherethetimegoesbandcampcomalbumpetrolfactory,7,Rising Damp,"Petrol Factory (where the time goes, 2020) https://wherethetimegoes.bandcamp.com/album/petrol-factory","Rising Damp

            —
            Petrol Factory (where the time goes, 2020) https://wherethetimegoes.bandcamp.com/album/petrol-factory",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1274,Maria Somerville,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1274
7,future-lights-and-archetypes,8,Dreamcycles,Future Lights and Archetypes,"Dreamcycles

              —
              Future Lights and Archetypes
            
              (Queeste)",Queeste,"Uniquely perceptive mix of cyber techno-pop and speculative fiction by Irish-Canadian artist Jennifer Moore aka Dreamcycles - think Teresa Winter meets Ursula K Le Guin and DJ Lostboi.

“Operating at the node between technological reality and speculative fiction, Moore transforms ethereal bedroom pop and monolithic electronics into uncanny soundscapes to... more",/products/future-lights-and-archetypes,https://assets.boomkat.com/spree/products/660891/product/8718723147927.jpg,1274,Maria Somerville,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1274
8,blindmanthegamblerwherethetimegoes2020httpswherethetimegoesbandcampcomalbumblindmanthegambler,9,Nashpaints,"Blindman the Gambler (Where the time goes, 2020) https://wherethetimegoes.bandcamp.com/album/blindman-the-gambler","Nashpaints

            —
            Blindman the Gambler (Where the time goes, 2020) https://wherethetimegoes.bandcamp.com/album/blindman-the-gambler",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1274,Maria Somerville,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1274
9,nevaeh-5c8044ba-59fe-4a03-8d27-4f46d7c671f0,10,MHYSA,NEVAEH,"MHYSA

              —
              NEVAEH
            
              (Hyperdub)",Hyperdub,"Avant R&B star Mhysa follows her acclaimed debut ‘fantasii’ - one of the definitive underground albums of 2017 - with its sister side, ‘Neveah’ for Hyperdub; a sprawling mosaic of raw, introspective R&B ballads, including a haunting take on a Nas classic in ‘breaker of chains’.

“MHYSA started NEVAEH in the fall of 2017, shortly after the release of her debut album... more",/products/nevaeh-5c8044ba-59fe-4a03-8d27-4f46d7c671f0,https://assets.boomkat.com/spree/products/621618/product/5055869593434_T19_Image.jpg,1274,Maria Somerville,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1274
