,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,hidden-in-this-is-the-light-that,1,Regis,Hidden In This Is The Light That You Miss,"Regis

              —
              Hidden In This Is The Light That You Miss
            
              (Downwards)",Downwards,"Finally, Regis lets his rhythmic noise opus out into the world, a bruising and hauntingly absorbing new album - his first since 2001 - recorded in Berlin with Einstürzende Neubauten’s engineer/producer Boris Wilsdorf and an absolute must if you want a dose of highest grade industrial rhythmic noise or into anything from British Murder Boys to Test Department, Jeff... more",/products/hidden-in-this-is-the-light-that,https://assets.boomkat.com/spree/products/657714/product/8718723146814.jpg,1333,Mark Lanegan,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1333
1,split-64b10f49-8fa6-454f-8715-cf565f600e1a,2,Service Animal / Crime Unit,RAVE026,"Service Animal / Crime Unit

              —
              RAVE026
            
              (The Death Of Rave)",The Death Of Rave,"Ultra-heavy gabber/doomcore and schranz/acid techno by Service Animal (Vereker) & Crime Unit on this first vinyl pressing of impossible-to-find 2018 tapes issued by cult DIY label; Live Adult Entertainment. Unmissable hard rave tackle if yr into Nkisi, Caustic Window, The Mover, Stay Up Forever, Maflannagan Skajellafetti...

The punkish reputation of Live Adult... more",/products/split-64b10f49-8fa6-454f-8715-cf565f600e1a,https://assets.boomkat.com/spree/products/593533/product/Rave026_Distribution_Preview.jpg,1333,Mark Lanegan,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1333
2,gold-record,3,BILL CALLAHAN,Gold Record,"BILL CALLAHAN

              —
              Gold Record
            
              (Drag City Records)",Drag City Records,"​Bill Callahan returns with another solo jammer, which opens with him exclaiming ""hello, I'm Johnny Cash."" It's good too; Smog devotees will find plenty here to enjoy and Callahan's deep, smoky tones have rarely sounded so absorbing. The songs are sad and graceful, slow and seductive, simple and enjoyable. Callahan's a witty, gifted songwriter and his take on... more",/products/gold-record,https://assets.boomkat.com/spree/products/670366/product/781484076025_T11_Image.jpg,1333,Mark Lanegan,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1333
3,zerozerozerosoundtrack,4,Mogwai,Zerozerozero Soundtrack,"Mogwai

            —
            Zerozerozero Soundtrack",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1333,Mark Lanegan,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1333
4,dances-curses,5,Hey Colossus,Dances / Curses,"Hey Colossus

              —
              Dances / Curses
            
              (Wrong Speed Records)",Wrong Speed Records,,/products/dances-curses,https://assets.boomkat.com/spree/products/691907/product/5056321614063_T15_Image.jpg,1333,Mark Lanegan,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1333
5,from-the-far-future-pt-3,6,Terrence Dixon,"From the Far Future, Pt. 3","Terrence Dixon

              —
              From the Far Future, Pt. 3
            
              (Tresor Records)",Tresor Records,"Detroit visionary Terrence Dixon scans stellar new horizons on the awe-inspiring 3rd chapter of his most cherished, foundational and inspiring album series.

Roughly once a decade since 2000 the pioneering Afrofuturist has offered a new landmark of deep, electronic music, and ‘From the Far Future, Pt. 3’ stakes one of 2020’s - and probably the next... more",/products/from-the-far-future-pt-3,https://assets.boomkat.com/spree/products/703047/product/5051142076649.jpg,1333,Mark Lanegan,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1333
6,tongue-box,7,Regis,Tongue Box,"Regis

              —
              Tongue Box
            
              (Downwards)",Downwards,"Regis revisits his Blackest Ever Black-era recordings in entirely reworked and remastered versions of perhaps our favourite of all of his recordings, embracing space and subbass with influence from techstep D&B as much as dark ambient and gothic sound design styles. Properly massive, essential gear, highly recommended if yr looking for something to file... more",/products/tongue-box,https://assets.boomkat.com/spree/products/699838/product/8718723160216.jpg,1333,Mark Lanegan,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1333
7,what-s-tonight-to-eternity,8,Cindy Lee,What's Tonight To Eternity,"Cindy Lee

              —
              What's Tonight To Eternity
            
              (W.25TH / Superior Viaduct)",W.25TH / Superior Viaduct,"Very strong slab of haunted ‘60s pop themes and keeling synth noise from Canada’s Pat Flegel aka Cindy Lee, formerly of Canadian indie-pop heroes Women, now sounding like a spell concocted by Panda Bear, Forest Swords, Johnny Jewel and Dean Hurley’s Trouble. Check the samples and trust your ears, it’s a bewt!

“For Patrick Flegel, Cindy Lee is more... more",/products/what-s-tonight-to-eternity,https://assets.boomkat.com/spree/products/634838/product/857661008292.jpg,1333,Mark Lanegan,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1333
8,zero-is-more-than-nothing,9,Various,Zero Is More Than Nothing,"Various

              —
              Zero Is More Than Nothing
            
              (Ecstatic)",Ecstatic,"Far reaching comp/collage/mixtape featuring over 100 minutes of previously unheard material from the extended Ecstatic family including Jay Glass Dubs, Dean Hurley, Abul Mogard, Maxwell Streling, The Head Technician aka Pye Corner Audio, Maria Spivak, Serpente, Not Waving and many others, including some unknown/anonymous contributions from the far... more",/products/zero-is-more-than-nothing,https://assets.boomkat.com/spree/products/677933/product/Ecstatic_Tape_Zero-is-more-than-nothing.jpg,1333,Mark Lanegan,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1333
9,duma-3415147b-e721-4a12-967f-efda29002ef8,10,Duma,Duma,"Duma

              —
              Duma
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Lights out, game over. Duma win 2020. Breathtaking by any measure, Kenyan grindcore band Duma’s unparalleled debut of blast beats, sky-clawing synth noise and scarred larynx vocals is one of the mightiest things you’ll hear all year - a huge RIYL Nkisi, Woid, Senyawa...

Duma's self-titled debut is the most incredible injection of life-affirming, outsider energy... more",/products/duma-3415147b-e721-4a12-967f-efda29002ef8,https://assets.boomkat.com/spree/products/668993/product/NNT022_Cover.jpg,1333,Mark Lanegan,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1333
