,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,pilotsofpurpletwilight,1,TANGERINE DREAM,PILOTS OF PURPLE TWILIGHT,"TANGERINE DREAM

            —
            PILOTS OF PURPLE TWILIGHT",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1418,Moon Wiring Club,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1418
1,sign-d504e2f3-5ec4-456a-af9e-b037a7c82c64,2,AUTECHRE,SIGN,"AUTECHRE

              —
              SIGN
            
              (Warp Records)",Warp Records,"‘Sign’ is Autechre’s first new album-album proper since ‘Elseq’ and contains some of their most emosh compositions in eons, perhaps since ‘Tri Repetae’.

Practically pocket-sized in comparison to their sprawling torrent of live material and radio recordings in recent years, ’Sign’ is a return to the sort of concision found circa ‘Exai’ and their earlier albums... more",/products/sign-d504e2f3-5ec4-456a-af9e-b037a7c82c64,https://assets.boomkat.com/spree/products/698008/product/0801061032937.jpg,1418,Moon Wiring Club,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1418
2,sour-cherry-bell,3,MJ Guider,Sour Cherry Bell,"MJ Guider

              —
              Sour Cherry Bell
            
              (Kranky)",Kranky,"Stunning dream-pop/post-punk side from New Orleans’ MJ Guider, galvanising her shoegaze sound with industrial rhythms sounding out between Cocteau Twins, Tropic of Cancer and Seefeel in an amazing sophomore album for eternal dreamers at Kranky

Arriving four years after her ‘Precious Systems’, which benefitted beautifully from studio mixing rendered by... more",/products/sour-cherry-bell,https://assets.boomkat.com/spree/products/691971/product/796441822829.jpg,1418,Moon Wiring Club,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1418
3,afterhours,4,THE WEEKND,AFTER HOURS,"THE WEEKND

            —
            AFTER HOURS",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1418,Moon Wiring Club,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1418
4,hidari-ude-no-yume-left-handed-dream,5,Ryuichi Sakamoto,"Hidari Ude No Yume 
            
              (WEWANTSOUNDS)","Ryuichi Sakamoto

              —
              Hidari Ude No Yume (Left Handed Dream)
            
              (WEWANTSOUNDS)",Left Handed Dream,"Of all the Sakamoto/YMO reissues, this is the one we’ve waited for the most. Hidari Ude No Yume (Left Handed Dream) was released in 1981 and is here reissued for the first time in decades in its rare Japanese edition - beautifully remastered from the original tapes by Bernie Grundman and sounding better than we’ve ever heard it before, including a 2LP version... more",/products/hidari-ude-no-yume-left-handed-dream,https://assets.boomkat.com/spree/products/693051/product/Ryuichi-Sakamoto.jpg,1418,Moon Wiring Club,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1418
5,stonepossessed,6,TIME ATTENDANT,STONE POSSESSED,"TIME ATTENDANT

            —
            STONE POSSESSED",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1418,Moon Wiring Club,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1418
6,all-thoughts-fly,7,Anna von Hausswolff,"All Thoughts Fly
            
              (Ash International / (RED) Southern Lord / Southern Lord)","Anna von Hausswolff

              —
              All Thoughts Fly
            
              (Ash International / (RED) Southern Lord / Southern Lord)",Ash International /,"Magnum opus-weight album from organist and electro-acoustic composer Anna von Hausswolff, the entire record consists of just one instrument -  the pipe organ, and represents absolute liberation of the imagination. It's a masterwork of gothic classical beauty - a must check for fans of Kali Malone, Kara-Lis Coverdale.

‘All Thoughts Fly’ was recorded at... more",/products/all-thoughts-fly,https://assets.boomkat.com/spree/products/690440/product/808720028058.jpg,1418,Moon Wiring Club,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1418
7,runaway,8,MINO,도망가 (Run away),"MINO

            —
            도망가 (Run away)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1418,Moon Wiring Club,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1418
8,flowersofevil,9,ULVER,FLOWERS OF EVIL,"ULVER

            —
            FLOWERS OF EVIL",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1418,Moon Wiring Club,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1418
9,dark-hearts,10,Annie,Dark Hearts,"Annie

              —
              Dark Hearts
            
              (Annie Melody)",Annie Melody,,/products/dark-hearts,https://assets.boomkat.com/spree/products/670721/product/656605363776_T65040805470054.jpg,1418,Moon Wiring Club,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1418
