,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,stlies,1,Moist '96,S/T (L.I.E.S),"Moist '96

            —
            S/T (L.I.E.S)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1316,Nick Klein,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1316
1,tormentorpuppytapes,2,DJ SLEDGEHAMMER,Tormentor (Puppy Tapes),"DJ SLEDGEHAMMER

            —
            Tormentor (Puppy Tapes)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1316,Nick Klein,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1316
2,club-crisis,3,Cienfuegos,Club Crisis,"Cienfuegos

              —
              Club Crisis
            
              (BANK Records NYC)",BANK Records NYC,,/products/club-crisis,https://assets.boomkat.com/spree/products/668447/product/0810025348519.jpg,1316,Nick Klein,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1316
3,wetakealookbutgivealistenenmossed,4,Bobby Flan,We Take a Look But Give A Listen (Enmossed),"Bobby Flan

            —
            We Take a Look But Give A Listen (Enmossed)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1316,Nick Klein,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1316
4,agalma-d517edea-646d-4c93-962e-9acd51c2827d,5,Drew McDowall,Agalma,"Drew McDowall

              —
              Agalma
            
              (Dais Records)",Dais Records,"Serial collaborator Drew McDowall's latest collection of astral-traveling synth syrup is a series of mind-melds with some of the scene's most continuously exciting artists: Robery Aiki Aubrey Lowe, Caterina Barbieri, Kali Malone, MSYLMA and more.

The Scottish, NYC-based experimental musician has been subverting the formula for many years now, having clocked... more",/products/agalma-d517edea-646d-4c93-962e-9acd51c2827d,https://assets.boomkat.com/spree/products/686999/product/011586670655_T66292096930054.jpg,1316,Nick Klein,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1316
5,20yearsofpedestriandepositexhibitioncoaxialarts,6,Shannon A. Kennedy and Jonathan Borges,20 Years Of Pedestrian Deposit Exhibition (Coaxial Arts),"Shannon A. Kennedy and Jonathan Borges

            —
            20 Years Of Pedestrian Deposit Exhibition (Coaxial Arts)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1316,Nick Klein,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1316
6,indefinitelatticesenmossed,7,Glyn Maier,Indefinite Lattices (Enmossed),"Glyn Maier

            —
            Indefinite Lattices (Enmossed)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1316,Nick Klein,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1316
7,cruelintentionsascetichouse,8,Shredded Nerve,Cruel Intentions (Ascetic House),"Shredded Nerve

            —
            Cruel Intentions (Ascetic House)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1316,Nick Klein,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1316
8,jederrtselhateinelsungplasticbags,9,Wilted Woman,Jeder Rätsel Hat Eine Lösung (Plastic Bags),"Wilted Woman

            —
            Jeder Rätsel Hat Eine Lösung (Plastic Bags)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1316,Nick Klein,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1316
9,allegiance-and-conviction,10,WINDY & CARL,Allegiance and Conviction,"WINDY & CARL

              —
              Allegiance and Conviction
            
              (Kranky)",Kranky,"Divine, endlessly reverberating dream-pop from the much loved Windy & Carl, reprising and refining their very special brand of shimmering shoegaze vistas on their first album proper since 2012.

Born in dream-pop’s second wind, when it shifted further into etheric margins after 4AD brought it to near mainstream acclaim during the ‘80s, Windy & Carl were at... more",/products/allegiance-and-conviction,https://assets.boomkat.com/spree/products/650019/product/796441822621.jpg,1316,Nick Klein,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1316
