,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,the-goddess-is-dancing,1,D.K.,The Goddess Is Dancing,"D.K.

              —
              The Goddess Is Dancing
            
              (Good Morning Tapes)",Good Morning Tapes,"Everyone’s favourite bijou imprint Good Morning Tapes finally make a first-time vinyl edition of this sought-after tape release by pivotal Parisian producer Dang-Khoa Chau, aka D.K. - a gorgeous, 40 minute new age ambient tribute to ancient Vietnamese spirit possession rituals that comes highly recommended if yr into Ramzi, Ryuichi Sakamoto, Iona... more",/products/the-goddess-is-dancing,https://assets.boomkat.com/spree/products/642838/product/Cover.jpg,1408,Nightwave,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1408
1,steel-city-dance-discs-volume-15,2,Nite Fleit,Steel City Dance Discs Volume 15,"Nite Fleit

              —
              Steel City Dance Discs Volume 15
            
              (Steel City Dance Discs)",Steel City Dance Discs,,/products/steel-city-dance-discs-volume-15,https://assets.boomkat.com/spree/products/653431/product/5060731227911_T5_Image.jpg,1408,Nightwave,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1408
2,lickety-split-da821b90-b59a-4608-93eb-d986762cad8d,3,Martyn Bootyspoon,Lickety Split,"Martyn Bootyspoon

              —
              Lickety Split
            
              (2 B Real)",2 B Real,"Proper club potential from Martyn Bootyspoon, working it up for Finn’s 2 B Real bootique after their blink ’n miss Michael J. Blood turn

The freak funk levels are high on this pearler, packing on the nervy energy and soul you expect from the 2 B Real stable (Anz, Finn, Gerry Read), but ratcheting the filth and party flavours to only make you miss the club harder. If you... more",/products/lickety-split-da821b90-b59a-4608-93eb-d986762cad8d,https://assets.boomkat.com/spree/products/672003/product/3663729128430.jpg,1408,Nightwave,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1408
3,indigo-dream-0cb0bb20-7921-41b7-9665-cde754bd1c57,4,E.M.M.A,Indigo Dream,"E.M.M.A

              —
              Indigo Dream
            
              (Local Action)",Local Action,"After a 7 year gap, E.M.M.A. drops a stunning 2nd album of drill-tipped chamber synth music that advances on her recent soundtrack work for Gucci and Chanel to really tap into a dreamy, darkly romantic-cinematic vein shared by Caroline K, John T. Gast, Novo Line, Kuedo, and arguably even Talk Talk or Kraftwerk.

Acutely aware of up-to-the-second rap and R&B... more",/products/indigo-dream-0cb0bb20-7921-41b7-9665-cde754bd1c57,https://assets.boomkat.com/spree/products/665403/product/3663729122575.jpg,1408,Nightwave,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1408
4,feel-the-panic,5,Denham Audio,Feel the Panic,"Denham Audio

              —
              Feel the Panic
            
              (Lobster Theremin)",Lobster Theremin,,/products/feel-the-panic,https://assets.boomkat.com/spree/products/674965/product/5056317195903.jpg,1408,Nightwave,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1408
5,sheabutterbaby,6,Ari Lennox,Shea Butter Baby,"Ari Lennox

            —
            Shea Butter Baby",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1408,Nightwave,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1408
6,modern-warfare-eps-1-3,7,Special Request,"Modern Warfare 
            
              (XL Recordings)","Special Request

              —
              Modern Warfare (EPs 1-3)
            
              (XL Recordings)",EPs 1-3,"Special Request shelling down all three 'Modern Warfare' EPs as part of XL's rave pack including Powell, Mumdance and Zomby.

You know the styles by now - proper '91 - '93-style 'ardcore sample packs galvanized and batared into action for 2015, following the lead of HATE and Millie & Andrea before him, and of course all the OG early '90s UK heroes.

Don't leave... more",/products/modern-warfare-eps-1-3,https://assets.boomkat.com/spree/products/681523/product/634904073367_T10_Image.jpg,1408,Nightwave,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1408
7,worship-friendship-compilation,8,Mall Grab,"WORSHIP FRIENDSHIP 
            
              (Looking For Trouble)","Mall Grab

              —
              WORSHIP FRIENDSHIP (COMPILATION)
            
              (Looking For Trouble)",COMPILATION,,/products/worship-friendship-compilation,https://assets.boomkat.com/spree/products/650296/product/5060731227249_T21_Image.jpg,1408,Nightwave,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1408
8,little-bastards,9,THE KILLS,Little Bastards,"THE KILLS

              —
              Little Bastards
            
              (Domino Recording Co)",Domino Recording Co,,/products/little-bastards,https://assets.boomkat.com/spree/products/696462/product/887828048069_T21_Image.jpg,1408,Nightwave,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1408
9,six-stair-ep,10,Ryan James Ford,Six Stair EP,"Ryan James Ford

              —
              Six Stair EP
            
              (Sävy Records)",Sävy Records,,/products/six-stair-ep,https://assets.boomkat.com/spree/products/691436/product/8718723157117.jpg,1408,Nightwave,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1408
10,ten-billion-angels,11,Zora Jones,Ten Billion Angels,"Zora Jones

              —
              Ten Billion Angels
            
              (Fractal Fantasy)",Fractal Fantasy,"Fractal Fantasy co-founder Zora Jones commits a dazzling debut solo album of animated arps, alien melody and razor-trimmed trap patterns with ‘Ten Billion Angels’, leading on from her ‘Vicious Circle’ co-production with Siniin Hawke and Spanish-French trap star La Zowi

The result of four years encased in headphones and staring at a laptop screen... more",/products/ten-billion-angels,https://assets.boomkat.com/spree/products/679521/product/_TenBillionAngels_Cover.jpg,1408,Nightwave,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1408
11,it-is-what-it-is-5f214ba5-27e6-4b27-9eb9-b0f3b41f7368,12,THUNDERCAT,It Is What It Is,"THUNDERCAT

              —
              It Is What It Is
            
              (Brainfeeder)",Brainfeeder,"‘It Is What It Is’ follows up one of the past decade’s biggest jazz albums, ‘Drunk’ with a deliriously wide-angled sound spanning a rainbow of jazz fusion vibes from psych to soul, funk and cosmic synths.

Thundercat’s new album feels far more coiled and ready to pounce than the sprawling, proggy maze of ‘Drunk’ that ended up on so many EOY lists in 2017... more",/products/it-is-what-it-is-5f214ba5-27e6-4b27-9eb9-b0f3b41f7368,https://assets.boomkat.com/spree/products/633302/product/5054429140453_T16_Image.jpg,1408,Nightwave,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1408
