,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,log-et3rnal,1,LOG (Ulla & Perila),LOG ET3RNAL,"LOG (Ulla & Perila)

              —
              LOG ET3RNAL 
            
              (Experiences Ltd)",Experiences Ltd,"Ulla & Perila’s newly formed Log duo arrives on Experiences Ltd with a sublime full-length suite of dubbed-out, warm and fizzing energies, reminding us of Vainqueur’s classic Elevation productions for Chain Reaction, and the most dense, tranquil moments from Wolfgang Voigt’s GAS excursions. Ulla and Perila have each supplied us with some of the most rinsed... more",/products/log-et3rnal,https://assets.boomkat.com/spree/products/703469/product/LOG01_Distribution_Preview.jpg,1380,Nile Koetting,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1380
1,in-the-sea,2,Ellen Fullman,In The Sea,"Ellen Fullman

              —
              In The Sea
            
              (Superior Viaduct)",Superior Viaduct,"The breathtaking expanse of ’In The Sea’ was the 1987 follow-up to Ellen Fullman’s groundbreaking classic of 1985, ‘The Long String Instrument’. Only ever available on a hard-to-find tape, this is its necessary first ever reissue. 

Collapsing millennia of musical practice and research into a singular sound, Fullman’s 2nd recording of her self-built instrument... more",/products/in-the-sea,https://assets.boomkat.com/spree/products/634851/product/857661008742.jpg,1380,Nile Koetting,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1380
2,felis-catus-silence,3,Leo Takami,Felis Catus & Silence,"Leo Takami

              —
              Felis Catus & Silence
            
              (UNSEEN WORLDS)",UNSEEN WORLDS,"Joyous fusions of new age, jazz, classical and Japanese gagaku delivered with a fluid, harmonious simplicity that betrays its complex arrangement. Fans of Brainfeeder’s lot will get all the feelings inside...

“Felis Catus and Silence is a breakthrough release for Tokyo composer-guitarist Leo Takami, following the milestone albums Children’s Song (2012) and Tree of... more",/products/felis-catus-silence,https://assets.boomkat.com/spree/products/643052/product/744790142679_T59247300050054.jpg,1380,Nile Koetting,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1380
3,installationparlerdeloinoubiensetairatcentrepompidou,4,Anne Le Troter,Installation ‘Parler de loin ou bien se tair’ at Centre Pompidou,"Anne Le Troter

            —
            Installation ‘Parler de loin ou bien se tair’ at Centre Pompidou",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1380,Nile Koetting,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1380
4,skinned,5,ML Buch,Skinned,"ML Buch

            —
            Skinned",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1380,Nile Koetting,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1380
5,natsu-no-zenbu,6,Ippei Matsui & Aki Tsuyuko,Natsu No Zenbu,"Ippei Matsui & Aki Tsuyuko

              —
              Natsu No Zenbu
            
              (All Night Flight)",All Night Flight,"Lovely, twinkling Japanese ambient meditations from 2008 resurface as the second release on All Night Flight's fledgling imprint. RIYL Dominique Lawalrée, The Boats, World Standard.

Leading on from the shop-turned-label’s unearthing of ‘The Clearing’(1982) by A Produce, ANF look to a regular haunt, Japan, to share their love for Ippei Matsui & Aki Tsuyuko’s... more",/products/natsu-no-zenbu,https://assets.boomkat.com/spree/products/694884/product/R-1772330-1242365640.jpeg.jpg,1380,Nile Koetting,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1380
6,liveatappleville,7,Astra King,Live at Appleville,"Astra King

            —
            Live at Appleville",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1380,Nile Koetting,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1380
7,soaring-wayne-phoenix-story-the-earth,8,Wayne Phoenix,soaring wayne phoenix story the earth,"Wayne Phoenix

              —
              soaring wayne phoenix story the earth
            
              (Halcyon Veil)",Halcyon Veil,"An enigma this one, the debut release - a decade in the making - from an artist about which we know very little. It’s a mysterious, confessional beauty -  a diaristic mix of half-cut songs and textured, bittersweet electronic collage that we urge you to check if you’re into anything from Klein to Burial, Tricky to Mica Levi, Young Echo to RZA’s Ghost Dog... more",/products/soaring-wayne-phoenix-story-the-earth,https://assets.boomkat.com/spree/products/631900/product/Halc_028_Distribution-Preview.jpg,1380,Nile Koetting,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1380
8,au-jus-the-jugged-hare,9,Carl Stone,Au Jus / The Jugged Hare,"Carl Stone

              —
              Au Jus / The Jugged Hare
            
              (UNSEEN WORLDS)",UNSEEN WORLDS,"Sampler-weilding genius composer Carl Stone applies his magick touch to another pair of pop tunes with inimitable results

The ID of both tunes is on the tip-of-our-tongue but just not coming easily, and we can’t wait for some hawk-eared type to make us feel really daft at not spotting them. Anyway, ‘Au Jus’ appears to be a big R&B/pop song that’s been combed... more",/products/au-jus-the-jugged-hare,https://assets.boomkat.com/spree/products/646293/product/744790142785_T62526444950054.jpg,1380,Nile Koetting,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1380
9,presentep,10,Puhyuneco,Present EP,"Puhyuneco

            —
            Present EP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1380,Nile Koetting,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1380
10,six-songs-for-invisible-gardens,11,Green-House,Six Songs for Invisible Gardens,"Green-House

              —
              Six Songs for Invisible Gardens
            
              (Leaving Records)",Leaving Records,"LA-based ambient artist Olive Ardizoni imagines a music to aid in opening communications between human and plant lifeforms. They’re from California; allow it. A must check for fans of Ana Roxanne, Ami Dang, massages, hugging trees (and smoking them).

“Green-House is the project of Los Angeles based artist Olive Ardizoni. Approaching the project with... more",/products/six-songs-for-invisible-gardens,https://assets.boomkat.com/spree/products/635750/product/659457528232_T60891436340054.jpg,1380,Nile Koetting,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1380
