,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,smolderingclothandskeletonhansonrecords,1,The Nevari Butchers,Smoldering Cloth And Skeleton [ Hanson Records ],"The Nevari Butchers

            —
            Smoldering Cloth And Skeleton [ Hanson Records ]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1347,Nina,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1347
1,virtualdemonlaxative,2,virtualdemonlaxative,virtualdemonlaxative,"virtualdemonlaxative

              —
              virtualdemonlaxative
            
              (West Mineral)",West Mineral,"Pontiac Streator, Ulla, exael and Special Guest DJ convene as virtualdemonlaxative for this unhinged, brilliant and super fuxcking limited West Mineral.

The only info bundled with this one-off grind-trash sesh from the West Mineral crew is ""cybergrind, danger music, FTP"". But honestly what more do u need when the first track (thirty seconds long) is titled... more",/products/virtualdemonlaxative,https://assets.boomkat.com/spree/products/671228/product/OUEST666_Distribution_Black.jpg,1347,Nina,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1347
2,abyss-for-cello,3,Louise Bock,Sketch for WinterVII - Abyss: For Cello,"Louise Bock

              —
              Sketch for WinterVII - Abyss: For Cello
            
              (Geographic North)",Geographic North,"Gripping set of elemental studies for Cello, Sax, voice and electronics from Louise Bock - former bandmate of Ka Baird in Spires That In The Sunset Rise - marking her starkly sombre yet enchanting and hallucinatory tape debut with Geographic North.

‘Abyss: For Cello’ is the follow-up to Louise’s debut proper, ‘Repetitives In Illocality’ (Feeding Tube Records... more",/products/abyss-for-cello,https://assets.boomkat.com/spree/products/633149/product/192641422010.jpg,1347,Nina,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1347
3,cloudsfylkingenrecords,4,Lars-Gunnar Bodin,Clouds [ Fylkingen Records ],"Lars-Gunnar Bodin

            —
            Clouds [ Fylkingen Records ]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1347,Nina,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1347
4,thetrilogytapesreleases,5,Waswaas,[ The Trilogy Tapes releases ],"Waswaas

            —
            [ The Trilogy Tapes releases ]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1347,Nina,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1347
5,lestransportstanzprocesz,6,Johann Mazé,Les Transports [ Tanzprocesz ],"Johann Mazé

            —
            Les Transports [ Tanzprocesz ]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1347,Nina,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1347
6,readingwithoutreadingwithinnotonlabel,7,Steve Roden,reading / without / reading / within  [ not on label ],"Steve Roden

            —
            reading / without / reading / within  [ not on label ]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1347,Nina,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1347
7,sacrilgevnrationvol2btanzprozesz,8,Dj Fusiller,Sacrilège Vénération Vol 2b      [ Tanzprozesz ],"Dj Fusiller

            —
            Sacrilège Vénération Vol 2b      [ Tanzprozesz ]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1347,Nina,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1347
8,united-b8a29f33-5d05-4eb1-a543-25588be2ecf6,9,THROBBING GRISTLE,United,"THROBBING GRISTLE

              —
              United
            
              (Mute)",Mute,,/products/united-b8a29f33-5d05-4eb1-a543-25588be2ecf6,https://assets.boomkat.com/spree/products/444577/product/5414940003529_T35778484720054.jpg,1347,Nina,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1347
9,toeeyorestellageentracte,10,Nika Son,To Eeyore [ STELLAGE / Entr'acte ],"Nika Son

            —
            To Eeyore [ STELLAGE / Entr'acte ]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1347,Nina,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1347
