,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,transition-east,1,Angel Bat Dawid,Transition East,"Angel Bat Dawid

              —
              Transition East
            
              (International Anthem)",International Anthem,"Two mystic and burning cuts from Angel Bat Dawid following in the glistening wake of her hugely acclaimed debut album ‘The Oracle’ 

‘Transition East’ sees Angel’s brooding clarinet soloing with a close, conversational mood that fleets from sorrowful to angry and meditative over a bubbling machine beat that could almost be a more opiated and blissed take... more",/products/transition-east,https://assets.boomkat.com/spree/products/655855/product/0603784912547_1448.jpg,1368,Not Waving,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1368
1,shepherd-in-a-sheepskin-vest,2,BILL CALLAHAN,Shepherd in a Sheepskin Vest,"BILL CALLAHAN

              —
              Shepherd in a Sheepskin Vest
            
              (Drag City Records)",Drag City Records,"It’s been 20 years since we heard Smog’s ’Spanish Moss’ for the first time and every Bill Callahan record since has f#cked us up. This is his first new one in years and is quite possibly his best. Supremely beautiful music...

""As you listen to ‘Shepherd In A Sheepskin Vest’, a feeling of totality, of completeness, steals over you, like a thief in broad daylight. Of course it... more",/products/shepherd-in-a-sheepskin-vest,https://assets.boomkat.com/spree/products/580378/product/781484074724_T53550909200054.jpg,1368,Not Waving,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1368
2,n-a-262fa174-6611-40d4-9b63-4b370ca91f08,3,Blazer Sound System,Blazer Sound System,"Blazer Sound System

              —
              Blazer Sound System
            
              (Youth)",Youth,"Killer vinyl debut of chromatic dembow bubblers and downbeat illbient from NYC’s Blazer Sound System on Andy Lyster’s Youth label.

Comprising Zebrablood (formerly of psych freaks Excepter) and Rainstick, the Blazer Sound System duo were brought to Youth’s attention by what Andrew Lyster calls their “must check” monthly NTS show, where BSS mash... more",/products/n-a-262fa174-6611-40d4-9b63-4b370ca91f08,https://assets.boomkat.com/spree/products/647784/product/8718723140676.jpg,1368,Not Waving,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1368
3,heaven-is-over,4,Bullion,Heaven Is Over,"Bullion

              —
              Heaven Is Over
            
              (Jagjaguwar)",Jagjaguwar,"Can anyone have enough Bullion in their life? Nope! The master of pop-not-slop works his patent magic like some holy offspring of Fad Gadget, Kraftwerk and Robert Wyatt on a classy debut for US indie Jagjaguwar

While it may appear from the title that Bullion has changed his mind since 2016’s ‘Heaven Is A Wonderful Place’, his new EP still brims with a... more",/products/heaven-is-over,https://assets.boomkat.com/spree/products/687707/product/656605237664_T66444793530054.jpg,1368,Not Waving,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1368
4,stolen-car-2b9375f4-757e-4c1a-95dd-5c93e479e339,5,Carl Stone,Stolen Car,"Carl Stone

              —
              Stolen Car
            
              (UNSEEN WORLDS)",UNSEEN WORLDS,"Maestro of the sampler Carl Stone goes on a mad joyride with his most hooligan-friendly decimations skidding wildly into drill ’n bass territory

Ever unpredictable, but predictably brilliant, Carl Stone has evidently had something of a second wind in recent years with a rush of amazing new works and retrospectives that set him out as a truly overlooked avant-garde... more",/products/stolen-car-2b9375f4-757e-4c1a-95dd-5c93e479e339,https://assets.boomkat.com/spree/products/691210/product/744790142891_T66942757400054.jpg,1368,Not Waving,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1368
5,kyle,6,CLAIRE ROISSY & MORE EAZE,KYLE,"CLAIRE ROISSY & MORE EAZE

            —
            KYLE",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1368,Not Waving,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1368
6,mas-amable,7,DJ Python,Mas Amable,"DJ Python

              —
              Mas Amable
            
              (Incienso)",Incienso,"'Mas Amable', our record of the year 2020. 

Call it deep reggaeton, avant-dembow, whatever; Mas Amable was easily our most rinsed record of the year, a sidewinding trip through slippery, mutable 90/180bpm metrics for lovers of rhythm and sound of all shapes and colours. 

Following the reticulated deep house-paced hybrids of his acclaimed 2017 debut... more",/products/mas-amable,https://assets.boomkat.com/spree/products/643501/product/0810025345730.jpg,1368,Not Waving,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1368
7,howtofight,8,EARTHEATER,HOW TO FIGHT,"EARTHEATER

            —
            HOW TO FIGHT",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1368,Not Waving,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1368
8,anthology-of-american-pop-music,9,Gesellschaft Zur Emanzipation Des Samples,Anthology of American Pop Music,"Gesellschaft Zur Emanzipation Des Samples

              —
              Anthology of American Pop Music
            
              (FAITICHE)",FAITICHE,"Jan Jelinek takes on six great pop ""standards"" by the likes of Kraftwerk and Marcel Duchamp, dissected by sampler, stretched, compressed, and re-collaged with a rarely paralleled craftsmanship and playfulness.

‘Anthology of American Pop Music’ is the technically the 2nd full length statement from the semi-fictitious project’s HQ, the Federal Court of... more",/products/anthology-of-american-pop-music,https://assets.boomkat.com/spree/products/695988/product/880918251370.jpg,1368,Not Waving,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1368
9,track3,10,ILANA,TRACK 3,"ILANA

            —
            TRACK 3",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1368,Not Waving,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1368
10,sweet-company,11,Jabu,Sweet Company,"Jabu

              —
              Sweet Company
            
              (do you have peace?)",do you have peace?,"Liquid blooz bewts from Young Echo’s Jabu, joined again by Jasmine Butt, and now Daniela Dyson for a necessary dose of lowkey soul kissers on their do you have peace? label, somehow joining dots between Tricky, Tirzah, King Midas Sound and Junior Boys 

Appearing from the haze of Bristol’s hotbox after that Cali-grade side from Manonmars, and leading on... more",/products/sweet-company,https://assets.boomkat.com/spree/products/701647/product/5054285393062.jpg,1368,Not Waving,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1368
11,soma-af960d10-6db6-4e24-b2db-5a6b4470f63c,12,Jay Glass Dubs,Soma,"Jay Glass Dubs

              —
              Soma
            
              (Berceuse Heroique)",Berceuse Heroique,"Jay Glass Dubs’ metamorphosis into avant-dub-noise songwriting sloshes to new high water marks in ’Soma’, following a pair of ace twelves with a full 2LP of all-over-the-place brilliance for Berceuse Heroique, somewhere between @mbient pop, gnashing junglist drums and squashed trip hop - often all at once.

Keening between trampling, wrenched roots... more",/products/soma-af960d10-6db6-4e24-b2db-5a6b4470f63c,https://assets.boomkat.com/spree/products/677076/product/BH065_Cover.jpg,1368,Not Waving,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1368
12,all-the-time-9c4b143f-d98b-495c-bdcc-9ba362bcbe54,13,Jessy Lanza,All The Time,"Jessy Lanza

              —
              All The Time
            
              (Hyperdub)",Hyperdub,"Synth-pop soul queen Jessy Lanza once again teams up with Jeremy Greenspan (Junior Boys) for a delicious 3rd album of melodic ohrwurms and gilded grooves.

After writing 2016's ""Oh No"", Jessy Lanza relocated to New York City, leaving her creative partner Jeremy Greenspan (of Junior Boys) in Hamilton Ontario. This latest album is the first she has worked... more",/products/all-the-time-9c4b143f-d98b-495c-bdcc-9ba362bcbe54,https://assets.boomkat.com/spree/products/647765/product/5055869593625_T11_Image.jpg,1368,Not Waving,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1368
