,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,dec2060httpsamhainbandcampcomalbumdec2060,1,Amhain,Dec/20/60 - https://amhain.bandcamp.com/album/dec-20-60,"Amhain

            —
            Dec/20/60 - https://amhain.bandcamp.com/album/dec-20-60",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1359,NYZ,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1359
1,summerspartingwaysattackninerecordshttpsattackninebandcampcomalbumsummerspartingways,2,Brian Grainger,"Summer's Parting Ways, Attacknine Records - https://attacknine.bandcamp.com/album/summers-parting-ways","Brian Grainger

            —
            Summer's Parting Ways, Attacknine Records - https://attacknine.bandcamp.com/album/summers-parting-ways",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1359,NYZ,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1359
2,openstringsvristulvenvstrahttpsengravedglassbandcampcomalbumopenstringsvristulvenvstra,3,Jez riley French,(open) strings | vristulven / västra - https://engravedglass.bandcamp.com/album/open-strings-vristulven-v-stra,"Jez riley French

            —
            (open) strings | vristulven / västra - https://engravedglass.bandcamp.com/album/open-strings-vristulven-v-stra",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1359,NYZ,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1359
3,sandlikestardustamericandreamshttpsjordanreyesbandcampcomalbumsandlikestardust2,4,Jordan Reyes,"Sand Like Stardust, American Dreams, https://jordanreyes.bandcamp.com/album/sand-like-stardust-2","Jordan Reyes

            —
            Sand Like Stardust, American Dreams, https://jordanreyes.bandcamp.com/album/sand-like-stardust-2",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1359,NYZ,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1359
4,loveinamistediblefortevilfruithttpsfortevilfruitbandcampcomalbumloveinamistedible,5,Natalia Beylis,"Love-In-A-Mist, Edible - Fort Evil Fruit - https://fortevilfruit.bandcamp.com/album/love-in-a-mist-edible","Natalia Beylis

            —
            Love-In-A-Mist, Edible - Fort Evil Fruit - https://fortevilfruit.bandcamp.com/album/love-in-a-mist-edible",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1359,NYZ,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1359
5,carrierdynamicsfancyyyyyhttpsfancyyyyybandcampcomalbumcarrierdynamics,6,Phil Julian,"Carrier Dynamics, fancyyyyy - https://fancyyyyy.bandcamp.com/album/carrier-dynamics","Phil Julian

            —
            Carrier Dynamics, fancyyyyy - https://fancyyyyy.bandcamp.com/album/carrier-dynamics",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1359,NYZ,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1359
6,mishapsintimehttpsrobertaikiaubreylowebandcampcomalbummishapsintime,7,Robert Aiki Aubrey Lowe,Mishaps in Time - https://robertaikiaubreylowe.bandcamp.com/album/mishaps-in-time,"Robert Aiki Aubrey Lowe

            —
            Mishaps in Time - https://robertaikiaubreylowe.bandcamp.com/album/mishaps-in-time",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1359,NYZ,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1359
7,airungshttpsrussellhaswellbandcampcomalbumairungs,8,Russell Haswell,A.i. Rungs - https://russellhaswell.bandcamp.com/album/a-i-rungs,"Russell Haswell

            —
            A.i. Rungs - https://russellhaswell.bandcamp.com/album/a-i-rungs",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1359,NYZ,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1359
8,vorticalshreddermedshttpsm3dsbandcampcomalbumvorticalshredder,9,SDEM,"VORTICAL SHREDDER, .meds - https://m3ds.bandcamp.com/album/vortical-shredder","SDEM

            —
            VORTICAL SHREDDER, .meds - https://m3ds.bandcamp.com/album/vortical-shredder",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1359,NYZ,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1359
9,thelivesofthesaintsfortevilfruithttpsfortevilfruitbandcampcomalbumthelivesofthesaints,10,The Cube of Unknowing,"The Lives of the Saints, Fort Evil Fruit - https://fortevilfruit.bandcamp.com/album/the-lives-of-the-saints","The Cube of Unknowing

            —
            The Lives of the Saints, Fort Evil Fruit - https://fortevilfruit.bandcamp.com/album/the-lives-of-the-saints",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1359,NYZ,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1359
