,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,ghostlyagentslpslowscan,1,John Driscoll,Ghostly Agents LP (Slowscan),"John Driscoll

            —
            Ghostly Agents LP (Slowscan)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1226,Oren Ambarchi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1226
1,allchemixradiolpslowscan,2,Willem De Ridder,All Chemix Radio LP (Slowscan),"Willem De Ridder

            —
            All Chemix Radio LP (Slowscan)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1226,Oren Ambarchi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1226
2,etceteralpbluenotetonepoet,3,Wayne Shorter,Etcetera LP (Blue Note Tone Poet),"Wayne Shorter

            —
            Etcetera LP (Blue Note Tone Poet)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1226,Oren Ambarchi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1226
3,sign-o-the-times-remastered,4,PRINCE,"Sign O’ The Times 
            
              (Warners)","PRINCE

              —
              Sign O’ The Times (Remastered)
            
              (Warners)",Remastered,"Some observations about this epic package - the biggest iteration of which is over 8 hours long (not including the bonus DVD) - it’s incredibly well executed, smart, thoughtful, insightful - a proper fucking masterclass in how to go about painstakingly assembling and reissuing archival material (without getting into a discussion about whether or not Prince would have... more",/products/sign-o-the-times-remastered,https://assets.boomkat.com/spree/products/670485/product/Packshot_-_Deluxe___Remastered_Editions.jpg,1226,Oren Ambarchi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1226
4,orbitsuperpang,5,Eiko Ishibashi,Orbit (Superpang),"Eiko Ishibashi

            —
            Orbit (Superpang)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1226,Oren Ambarchi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1226
5,tanatalk3lpdaupe,6,Benny The Butcher,Tana Talk 3 LP (Daupe!),"Benny The Butcher

            —
            Tana Talk 3 LP (Daupe!)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1226,Oren Ambarchi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1226
6,gooddaygooddaybaddaybaddaylpanothertimbre,7,Oliver Leith,Good Day Good Day Bad Day Bad Day LP (Another Timbre),"Oliver Leith

            —
            Good Day Good Day Bad Day Bad Day LP (Another Timbre)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1226,Oren Ambarchi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1226
7,foreveryagirlselfreleased,8,KeiyaA,Forever Ya Girl (self-released),"KeiyaA

            —
            Forever Ya Girl (self-released)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1226,Oren Ambarchi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1226
8,birdlandneuberg2011cdfundacjasluchaj,9,Cecil Taylor & Tony Oxley,"Birdland, Neuberg 2011 CD (Fundacja Sluchaj!)","Cecil Taylor & Tony Oxley

            —
            Birdland, Neuberg 2011 CD (Fundacja Sluchaj!)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1226,Oren Ambarchi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1226
9,sketchesfortheworldofechocassetteaudika,10,Arthur Russell,Sketches For The World Of Echo Cassette (Audika),"Arthur Russell

            —
            Sketches For The World Of Echo Cassette (Audika)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1226,Oren Ambarchi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1226
10,facemeltlpfranksvinyl,11,Al Divino,Facemelt LP (Frank's Vinyl),"Al Divino

            —
            Facemelt LP (Frank's Vinyl)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1226,Oren Ambarchi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1226
11,abrakadabraalakazamlpfxckrxp,12,Al Divino x Estee Nack,"Abrakadabra, Alakazam! LP (Fxck Rxp)","Al Divino x Estee Nack

            —
            Abrakadabra, Alakazam! LP (Fxck Rxp)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1226,Oren Ambarchi,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1226
