,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,didyoumeanirish,1,Irsh / Various,Did You Mean Irish?,"Irsh / Various

            —
            Did You Mean Irish?",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1358,Osheyack,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1358
1,aperture-40ea36c1-da5b-46a7-a4fe-c3e13b5f61ee,2,Hyph11e,Aperture,"Hyph11e

              —
              Aperture
            
              (SVBKVLT)",SVBKVLT,"Shanghai’s Hyph11e commits a debut album of brooding sound design and gnashing breaks to her home city’s Svbkvlt stronghold, following hardcore ballistics for Hakuna Kulala and a lead single prepped with a killer Kode9 refix.

Dragging UK ‘nuum dynamics into Shanghai’s impending, fast-fwd present, Tess Sun aka Hyph11e has carved out a fierce... more",/products/aperture-40ea36c1-da5b-46a7-a4fe-c3e13b5f61ee,https://assets.boomkat.com/spree/products/691209/product/5056321614278_T11_Image.jpg,1358,Osheyack,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1358
2,wolfndemonftkur,3,$loan & Skiano,Wolf N Demon Ft Kur,"$loan & Skiano

            —
            Wolf N Demon Ft Kur",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1358,Osheyack,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1358
3,svbkvltcrackresidencyjuly,4,Gabber Modus Operandi,SVBKVLT Crack Residency July,"Gabber Modus Operandi

            —
            SVBKVLT Crack Residency July",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1358,Osheyack,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1358
4,masa2el6arab,5,PNGWNG,Masa2 el 6arab,"PNGWNG

            —
            Masa2 el 6arab",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1358,Osheyack,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1358
5,dronea,6,Guan,Drone A,"Guan

            —
            Drone A",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1358,Osheyack,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1358
6,djmagrecognisemix,7,Shannen SP,DJ Mag Recognise Mix,"Shannen SP

            —
            DJ Mag Recognise Mix",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1358,Osheyack,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1358
7,mist,8,BLOODZ BOI,Mist,"BLOODZ BOI

            —
            Mist",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1358,Osheyack,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1358
8,workaround,9,Beatrice Dillon,Workaround,"Beatrice Dillon

              —
              Workaround
            
              (PAN)",PAN,"‘Workaround’ is the singular debut album proper by Beatrice Dillon; an eminent rhythm fiend whose productions and DJ sets are prized for her patient, fluid grasp of space, texture and devilish, syncopated UK club styles.  It's almost impossible to articulate just how hard we’ve fallen for this one, but trust that for our money it’s the most vital album we’ve heard in... more",/products/workaround,https://assets.boomkat.com/spree/products/624039/product/BeatriceFlat.jpg,1358,Osheyack,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1358
9,localscammerremixftchiefkeefg4choppa,10,G4 Boyz,"Local Scammer (Remix) ft. Chief Keef, G4 Choppa","G4 Boyz

            —
            Local Scammer (Remix) ft. Chief Keef, G4 Choppa",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1358,Osheyack,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1358
