,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,unclaimeddespooledcontagious,1,Womba,Unclaimed. Despooled. Contagious,"Womba

            —
            Unclaimed. Despooled. Contagious",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1246,Ossia,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1246
1,pizzaofanykindhashelpedmegetthru2020andwillhelpmein2021,2,,"Pizza, of any kind, has helped me get thru 2020 and will help me in 2021","Pizza, of any kind, has helped me get thru 2020 and will help me in 2021",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1246,Ossia,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1246
2,fruhe-jahre,3,C-Schulz,FRÜHE JAHRE,"C-Schulz

              —
              FRÜHE JAHRE
            
              (UNSEEN WORLDS)",UNSEEN WORLDS,"On yet another stunning number from Unseen Worlds, Carsten Schulz aka C-Schulz arrives in the wake of their incredible reissues of Carl Stone and Laurie Spiegel records with a mind-bending batch from the fecund experimental nexus of ‘90s Cologne.

With C-Schulz releases scattered between Frank Dommert’s Entenpfuhl label - where he debuted in the... more",/products/fruhe-jahre,https://assets.boomkat.com/spree/products/439856/product/728028400106_T35344433830054.jpg,1246,Ossia,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1246
3,with2021fuckpunkhitssuchasmedievalmassagelordofmyringsandghostinmycathedral,4,Revelation Man,"with 2021 FuckPunk hits such as Medieval Massage, Lord Of My Rings and Ghost In My Cathedral","Revelation Man

            —
            with 2021 FuckPunk hits such as Medieval Massage, Lord Of My Rings and Ghost In My Cathedral",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1246,Ossia,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1246
4,what-s-going-on-bonus-track-version,5,Normil Hawaiians,"What's Going On 
            
              (Upset The Rhythm)","Normil Hawaiians

              —
              What's Going On (Bonus Track Version)
            
              (Upset The Rhythm)",Bonus Track Version,,/products/what-s-going-on-bonus-track-version,https://assets.boomkat.com/spree/products/590227/product/5051142079374.jpg,1246,Ossia,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1246
5,antiquities,6,Mixman,Antiquities,"Mixman

            —
            Antiquities",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1246,Ossia,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1246
6,lv-va-12-1,7,Lurka / NKC x Bakongo / SUDS / Zoë Mc Pherson,LV VA 12-1,"Lurka / NKC x Bakongo / SUDS / Zoë Mc Pherson

              —
              LV VA 12-1
            
              (LAVALAVA Records)",LAVALAVA Records,"1st in a series of gang shots from Bristol’s LavaLava, from badhead bashment to a hard drum UKF bullet and frenchtek-y screwball by Lurka, Zoë McPherson and NKC x Roska 

All four cuts characterise the label’s soundclash of styles, with hardcore techno, industrial and bashment churned up in rusty dub echo chamber still ringing with traces of Bristol’s... more",/products/lv-va-12-1,https://assets.boomkat.com/spree/products/692528/product/LavaLava.jpg,1246,Ossia,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1246
7,phase-4-witch-linen,8,O$VMV$M,Phase 4 / Witch Linen,"O$VMV$M

              —
              Phase 4 / Witch Linen
            
              (IDLE HANDS)",IDLE HANDS,"Amos Childs (Jabu) and Sam Barrett (Kahn & Neek) aka O$VMV$M have traditionally dealt in hazy, smoked out vignettes - seen across release for Idle Hands, No Corner and most recently providing music for the Manonmars LP.

Last clocked on Cold Light in 2020, the duo return to their spiritual home with a bad head on the mystic digidub charge of ‘Phase 4’... more",/products/phase-4-witch-linen,https://assets.boomkat.com/spree/products/698169/product/IDLE.jpg,1246,Ossia,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1246
8,bima-sakti,9,Senyawa & Stephen O’Malley,Bima Sakti,"Senyawa & Stephen O’Malley

              —
              Bima Sakti 
            
              (iDEAL Recordings)",iDEAL Recordings,"Ancient Indonesian tradition meets doom metal in profoundly Ur ways on Stephen O’Malley and Senyawa’s collaborative commission for choreographer Gisèle Vienne, highly recommended if you’re into Sunn O))), Keiji Haino, Nazoranai, Phurpa, KTL.

Following a decade of creative bonds forged between theatre director and choreographer Gisèle Vienne and... more",/products/bima-sakti,https://assets.boomkat.com/spree/products/673309/product/Cooover.jpg,1246,Ossia,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1246
9,illicitrituals,10,Salac,Illicit Rituals,"Salac

            —
            Illicit Rituals",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1246,Ossia,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1246
