,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,triz,1,Pontiac Streator,Triz,"Pontiac Streator

              —
              Triz
            
              (Motion Ward)",Motion Ward,"Pontiac Streator’s debut solo 2LP lands on Motion Ward featuring appearances form Ulla & Mister Water Wet, following a run of collabs with Ulla on West Mineral, and with Exael as ‘Micro Incubus’ earlier this year.

Is there a name for this stuff yet? The West Mineral/Experiences/Motion Ward aesthetic is a kinda modern counterpart to the Chain Reaction nucleus... more",/products/triz,https://assets.boomkat.com/spree/products/671631/product/unnamed.png,1426,Perila,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1426
1,swamp-things-c772224f-fffd-4740-adb7-c3e524f9b1e7,2,Kassel Jaeger,Swamps / Things,"Kassel Jaeger

              —
              Swamps / Things
            
              (Shelter Press)",Shelter Press,"Major new work from GRM director François Bonnet (aka Kassel Jaeger), featuring recent ""Portraits GRM"" stars Lucy Railton and Jim O’Rourke and filtering eerie drones and tones into a shapeless but deep-hitting rumble of waterlogged sound. It's a hypnotic, deeply human album that enshrines Bonnet's memories in layer upon layer of tonal mud; if we dig too deep... more",/products/swamp-things-c772224f-fffd-4740-adb7-c3e524f9b1e7,https://assets.boomkat.com/spree/products/661775/product/cover.jpg,1426,Perila,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1426
2,voicesandinstruments,3,Jan Steele,Voices and Instruments,"Jan Steele

            —
            Voices and Instruments",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1426,Perila,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1426
3,planttownbackyardervol1,4,Various,Plant Town Backyarder Vol. 1,"Various

            —
            Plant Town Backyarder Vol. 1",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1426,Perila,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1426
4,toomuchbeige,5,Micro Incubus,Too Much Beige,"Micro Incubus

            —
            Too Much Beige",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1426,Perila,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1426
5,transientwaves,6,,Transient Waves,Transient Waves,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1426,Perila,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1426
6,yt,7,Opinion,YT,"Opinion

              —
              YT
            
              (Quiet Time Tapes)",Quiet Time Tapes,,/products/yt,https://assets.boomkat.com/spree/products/705049/product/0840200501255.jpg,1426,Perila,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1426
7,4boxesoftape,8,silent observer,4 boxes of tape,"silent observer

            —
            4 boxes of tape",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1426,Perila,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1426
8,appearance-b714ce59-5080-4c80-b518-f204b5174968,9,CHRIS ABRAHAMS,Appearance,"CHRIS ABRAHAMS

              —
              Appearance
            
              (Room 40)",Room 40,"The Necks’ pianist Chris Abrahams furnishes Room 40 with his quietly devastating first suite of solo keys for the label, some 35 years since his debut ‘Piano’.

Aside from duties in beloved trio, The Necks, Chris Abrahams has combined his skills as a consummate and versatile collaborator with everyone from Mike Cooper to Melanie Oxley and Lucio Capece over the... more",/products/appearance-b714ce59-5080-4c80-b518-f204b5174968,https://assets.boomkat.com/spree/products/694046/product/195497301881.jpg,1426,Perila,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1426
9,oyukiconjugatemix,10,PBA,o yuki conjugate mix,"PBA

            —
            o yuki conjugate mix",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1426,Perila,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1426
10,httpssoundcloudcomnapmusicklm093danielrpresentsspiritmusiciii,11,,https://soundcloud.com/napmusick/lm093-daniel-r-presents-spirit-music-iii,https://soundcloud.com/napmusick/lm093-daniel-r-presents-spirit-music-iii,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1426,Perila,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1426
11,gigimixes,12,,gigi mixes,gigi mixes,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1426,Perila,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1426
12,ryuichisakamotoalways,13,,Ryuichi Sakamoto always,Ryuichi Sakamoto always,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1426,Perila,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1426
13,silence,14,,silence,silence,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1426,Perila,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1426
14,thatfuckingwildcaveontopofthemountainsofvercors,15,,that fucking wild cave on top of the mountains of Vercors,that fucking wild cave on top of the mountains of Vercors,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1426,Perila,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1426
