,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,theuniversalveilthathangstogetherlikeaskineditionfriforma,1,Lee Patterson / Samo Kutin,The Universal Veil That Hangs Together Like A Skin (Edition FriForma),"Lee Patterson / Samo Kutin

            —
            The Universal Veil That Hangs Together Like A Skin (Edition FriForma)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1414,Sam Weaver,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1414
1,aperio,2,MIKI YUI,Aperio!,"MIKI YUI

              —
              Aperio! 
            
              (Hallow Ground)",Hallow Ground,"Master of mysterious minimalism, Miki Yui helms the latest Hallow Ground with a beautifully poised and slow burning suite taking in deep-listening durational works and lighter, elusive sensations recalling Bellows and the oneiric seductions of Elodie.

Miki’s follow-up to a quietly acclaimed solo side for Cusp Editions, and her Realistic Monk collaboration with... more",/products/aperio,https://assets.boomkat.com/spree/products/691068/product/5056321614247_T8_Image.jpg,1414,Sam Weaver,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1414
2,minor-planets-7877eb82-d6ab-440a-adcf-3464d8aba04c,3,TWINKLE ³,Minor Planets,"TWINKLE ³

              —
              Minor Planets
            
              (Marionette)",Marionette,"Minor Planets completes a trilogy of cosmically themed electro-acoustic albums by UK and Berlin based trio Twinkle3, 15 years in the making.

""This third installment is once again all about the unique synergies the group discover in combining free group improvisation with studio and musique-concrete techniques. The group's combined love of everything from Lee... more",/products/minor-planets-7877eb82-d6ab-440a-adcf-3464d8aba04c,https://assets.boomkat.com/spree/products/697063/product/195497037230.jpg,1414,Sam Weaver,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1414
3,nist-nah,4,Will Guthrie,Nist-Nah,"Will Guthrie

              —
              Nist-Nah
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Will Guthrie’s hypnotic, amorphous percussion sprawls between free jazz, Javanese gamelan, and electro-acoustic disciplines in a spellbinding new opus for Oren Ambarchi’s inimitably unpredictable Black Truffle 

“Nantes-based Australian drummer and percussionist Will Guthrie returns to Black Truffle with Nist-Nah. Like his previous solo record on the... more",/products/nist-nah,https://assets.boomkat.com/spree/products/633852/product/4250101411106.jpg,1414,Sam Weaver,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1414
4,mi-specchio-e-rifletto,5,Silvia Tarozzi,Mi specchio e rifletto,"Silvia Tarozzi

              —
              Mi specchio e rifletto
            
              (UNSEEN WORLDS)",UNSEEN WORLDS,"Intimate, skeletal compositions here from Eliane Radigue collaborator Silvia Tarozzi.

""Mi specchio e rifletto"" was inspired by poet Alda Merini and is an attempt to unveil ""the mystery hidden behind the curtain of everyday life"". This theme feels even more vital now in a time where everyday life is increasingly more complex and unpredictable, and Tarozzi's haunting... more",/products/mi-specchio-e-rifletto,https://assets.boomkat.com/spree/products/656296/product/744790142686_T63407440580054.jpg,1414,Sam Weaver,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1414
5,why-do-birds-suddenly-appear,6,Marja Ahti & Niko-Matti Ahti,Why Do Birds Suddenly Appear?,"Marja Ahti & Niko-Matti Ahti

              —
              Why Do Birds Suddenly Appear?
            
              (Ouidah)",Ouidah,"Marja Ahti’s brilliant 'Vegetal Negatives' album for Hallow Ground last year was an almost super-natural and pataphysical take on environmental field recordings, Buchla 200, ARP 2600, bowl gong and harmonium, and was a startling solo departure from an artist who had spent years recording as Tsembla and as a member of Finnish psych ensembles Kiila and... more",/products/why-do-birds-suddenly-appear,https://assets.boomkat.com/spree/products/656705/product/5wrf.jpg,1414,Sam Weaver,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1414
6,gulp-a920aad1-d833-4438-a98b-efa0cb6d9208,7,WEȽ∝KER,GULP,"WEȽ∝KER

              —
              GULP
            
              (Conditional)",Conditional,"Class debut batch of warped algorithmic IDM from WEȽ∝KER (Wet Locker), aka Manchester’s Dujat and Joe Beedles, sprouting strange new computerised forms for fans of Æ, Lee Gamble, Kindohm, Sote

Presented by Berlin’s intrepid Conditional as “a voyage into the warm heart of computer music”, following the label’s sympathetically skewed turns... more",/products/gulp-a920aad1-d833-4438-a98b-efa0cb6d9208,https://assets.boomkat.com/spree/products/693163/product/CON033.jpg,1414,Sam Weaver,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1414
7,yeo-neun,8,Okkyung Lee,Yeo-Neun,"Okkyung Lee

              —
              Yeo-Neun
            
              (Shelter Press)",Shelter Press,"Ravishing, dream-like debut by Okkyung Lee’s chamber ensemble, placing a rarely paralleled instrumental guile and imagination at the service of Shelter Press’ beautiful series of carefully hand-picked editions.

Rendering Lee’s first recordings with the Yeo-Neun Quartet, an experimental chamber ensemble established in 2016 and also comprising... more",/products/yeo-neun,https://assets.boomkat.com/spree/products/647249/product/cover.jpg,1414,Sam Weaver,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1414
8,telyn-rawn,9,Rhodri Davies,Telyn Rawn,"Rhodri Davies

              —
              Telyn Rawn
            
              (Amgen)",Amgen,"Rhodri Davies (Apartment House/Hen Ogledd) charms with this gorgeous suite of improvisations on a C.13th Horsehair harp specially built for this release - the maiden voyage on his Amgen Records

Seemingly recorded in a stone cottage in medieval times, but actually captured in Newcastle upon Tyne, 2020; ’Telyn Rawn Amgen’ revolves around a flurry of 18 poetic... more",/products/telyn-rawn,https://assets.boomkat.com/spree/products/684261/product/Rhodri.jpg,1414,Sam Weaver,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1414
9,dimensionisonoremusicheperlimmagineelimmaginazionedialogo,10,Ennio Morricone / Bruno Nicolai,Dimensioni Sonore : Musiche Per L'Immagine E L'Immaginazione  (Dialogo),"Ennio Morricone / Bruno Nicolai

            —
            Dimensioni Sonore : Musiche Per L'Immagine E L'Immaginazione  (Dialogo)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1414,Sam Weaver,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1414
