,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,infoldings-diffractions,1,Mark Fell and WIll Guthrie,Infoldings / Diffractions,"Mark Fell and WIll Guthrie

              —
              Infoldings / Diffractions
            
              (NAKID)",NAKID,"Released as two separate vinyl LP’s, Mark Fell & Will Guthrie’s Infoldings / Diffractions is now also available as one combined digital edition, released via  Koshiro Hino’s (Goat, YPY) newly minted NAKID label. Informed/inspired by Gamelan and South Indian Carnatic musics, this set comes with a big recommendation if you’re into Autechre, Michael Ranta, The Necks... more",/products/infoldings-diffractions,https://assets.boomkat.com/spree/products/707609/product/cover.jpg,1241,Sean Canty,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1241
1,holy-palm,2,Flora Yin-Wong,Holy Palm,"Flora Yin-Wong

              —
              Holy Palm
            
              (Modern Love)",Modern Love,"‘Holy Palm’ is the debut album by Flora Yin-Wong, an artist, writer, DJ and journalist, summoning the ghosts of her life in a masterful meditation on metaphysics, superstition and memory. It’s part collage, part audio diary, part reflection; a sort of private ritual purification that comes highly recommended if you’re into works by Mark Gergis, Philip Corner, Mark... more",/products/holy-palm,https://assets.boomkat.com/spree/products/700423/product/image_1.jpg,1241,Sean Canty,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1241
2,envyshowonclydebuiltradio,3,Natalie Davidson,Envy show on Clyde Built Radio,"Natalie Davidson

            —
            Envy show on Clyde Built Radio",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1241,Sean Canty,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1241
3,nao-fales-nela-que-a-mentes,4,Nídia,Não Fales Nela Que A Mentes,"Nídia

              —
              Não Fales Nela Que A Mentes
            
              (Príncipe)",Príncipe,"One of 2020’s most distinctive new dance and electronic soul LPs, ‘Não Fales Nela Que A Mentes’ sees Kuduro auteur Nídia come into her own with a strikingly fresh, deep and original showcase of Afro-Portuguese dance music. TIPPED!!!!!!

Five years on from Nídia’s debut 12”, and notable recent production and remix work for Fever Ray, Kelela and Yaeji, the... more",/products/nao-fales-nela-que-a-mentes,https://assets.boomkat.com/spree/products/661007/product/Cover.jpg,1241,Sean Canty,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1241
4,introducing-michael-j-blood,5,Michael J. Blood,Introducing Michael J. Blood,"Michael J. Blood

              —
              Introducing Michael J. Blood
            
              (2 B Real)",2 B Real,"For our money, an everlasting classic - one that finally made it to wax at more or less exactly the moment clubs were shuttered earlier this year. A great tease - for sure - but also somehow the most uplifting record we heard in 2020, cut in the mould of classic Chicago gear but with a distinctly aggy vibe, aided by Tom Boogizm’s fluid, no-f*cks-given mixing... more",/products/introducing-michael-j-blood,https://assets.boomkat.com/spree/products/657641/product/Cover.jpg,1241,Sean Canty,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1241
5,boomkatsdocumentingsoundseries,6,,Boomkat's Documenting Sound Series,Boomkat's Documenting Sound Series,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1241,Sean Canty,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1241
6,tollfreeomnipotentrecords,7,The Classy Composer,Toll - Free (Omnipotent Records),"The Classy Composer

            —
            Toll - Free (Omnipotent Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1241,Sean Canty,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1241
7,15songs20062011macadammambo,8,Lippie,15 Songs (2006-2011) (Macadam Mambo),"Lippie

            —
            15 Songs (2006-2011) (Macadam Mambo)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1241,Sean Canty,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1241
8,foreveryagirlkeiya,9,KeiyaA,"Forever, Ya Girl (Keiya)","KeiyaA

            —
            Forever, Ya Girl (Keiya)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1241,Sean Canty,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1241
9,badenbadenfreejazzmeetingdecember1967alternativefox,10,"Albert Mangelsdorff, Evan Parker, Marion Brown, Don Cherry",Baden Baden Free Jazz Meeting December 1967 (Alternative Fox),"Albert Mangelsdorff, Evan Parker, Marion Brown, Don Cherry

            —
            Baden Baden Free Jazz Meeting December 1967 (Alternative Fox)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1241,Sean Canty,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1241
