,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,rnc,1,ANOHNI,R.N.C.,"ANOHNI

            —
            R.N.C.",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1415,Steve Knutson,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1415
1,healing-is-a-miracle-extended-versions,2,Julianna Barwick,Healing Is A Miracle - Extended Versions,"Julianna Barwick

              —
              Healing Is A Miracle - Extended Versions
            
              (Ninja Tune)",Ninja Tune,,/products/healing-is-a-miracle-extended-versions,https://assets.boomkat.com/spree/products/693858/product/5054429144048_T4_Image.jpg,1415,Steve Knutson,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1415
2,blackparade,3,Beyonce,Black Parade,"Beyonce

            —
            Black Parade",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1415,Steve Knutson,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1415
3,skins-n-slime,4,Oliver Coates,skins n slime,"Oliver Coates

              —
              skins n slime
            
              (RVNG Intl.)",RVNG Intl.,"Incredible album of bleeding-heart catharsis from cellist Oliver Coates, think Arthur Russell doing drone metal with Fennesz, and you’re not far off Coates’ capacity for tear-jerking genius here.

Acclaimed cellist, Oliver Coates’ tactile skills are in gloaming, distressed effect for his stunning 2nd side with RVNG INTL., showing why he’s sought-out for recording... more",/products/skins-n-slime,https://assets.boomkat.com/spree/products/692039/product/747742383397_T66488200840054.jpg,1415,Steve Knutson,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1415
4,shore,5,Fleet Foxes,Shore,"Fleet Foxes

            —
            Shore",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1415,Steve Knutson,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1415
5,glenhenrywinners,6,The Kinks,Glenhenry Winners,"The Kinks

            —
            Glenhenry Winners",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1415,Steve Knutson,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1415
6,silver-ladders,7,Mary Lattimore,Silver Ladders,"Mary Lattimore

              —
              Silver Ladders
            
              (Ghostly International)",Ghostly International,"Slowdive’s Neil Halstead supplies gauzy production for LA-based Harpist, Mary Lattimore’s latest suite of fairytale music for adults in suspended animation, casting her third album for Ghostly on a warm Gulf Stream of narrative melodies.

’Silver Ladders’ was inspired by Lattimore’s time spent with Halstead at his studio on an airfield near Newquay, and would... more",/products/silver-ladders,https://assets.boomkat.com/spree/products/669175/product/804297837000_T64857849850054.jpg,1415,Steve Knutson,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1415
7,in-this-lingering-twilight-sparkle-vinyl-edition,8,Mark Leckey,"In This Lingering Twilight Sparkle 
            
              (Boomkat Editions | Documenting Sound)","Mark Leckey

              —
              In This Lingering Twilight Sparkle (Vinyl Edition)
            
              (Boomkat Editions | Documenting Sound)",Vinyl Edition,"For us there was no record that better captured our sense of surreal dislocation this year than this one. Originally released on tape over the summer, 'In This Lingering Twilight Sparkle’ finds Mark Leckey stitching together a fantasy travelogue made up of found sounds, spoken word and dismantled tunes like some hallucinogenic mixtape; part audio diary, part... more",/products/in-this-lingering-twilight-sparkle-vinyl-edition,https://assets.boomkat.com/spree/products/710731/product/Mark_Leckey_Distribution_Preview.jpg,1415,Steve Knutson,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1415
8,it-was-all-worth-it,9,claire rousay,it was always worth it,"claire rousay

              —
              it was always worth it
            
              (Longform Editions)",Longform Editions,"Intimately personalised “emo ambient” album from Texan artist, Claire Rousay, blending text-to-speech recitals of love letters with newfound harmonic urges and field recordings in a poignant, transitional follow-up to their Second Editions side. RIYL Nozomu Matsumoto, Pauline Oliveros, Lea Bertucci

“I've recently been exclusively working with field recordings... more",/products/it-was-all-worth-it,https://assets.boomkat.com/spree/products/692952/product/195497257652.jpg,1415,Steve Knutson,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1415
9,untitledblackis,10,Sault,UNTITLED (Black Is),"Sault

            —
            UNTITLED (Black Is)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1415,Steve Knutson,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1415
10,black-nationalist-sonic-weaponry-expanded-edition,11,Speaker Music,"Black Nationalist Sonic Weaponry 
            
              (Planet Mu Records Ltd.)","Speaker Music

              —
              Black Nationalist Sonic Weaponry (Expanded Edition)
            
              (Planet Mu Records Ltd.)",Expanded Edition,"Originally released in July, DeForrest Brown Jr.'s explosive fusion of jagged rhythm experiments and revolutionary jazz, now comes bundled with an additional 30-minute track that fleshes out his sprawling narrative in a fourth dimension.

Emerging from the heat of summer as anti-racist protests burned across the USA, ""Black Nationalist Sonic Weaponry"" is an... more",/products/black-nationalist-sonic-weaponry-expanded-edition,https://assets.boomkat.com/spree/products/706276/product/5055869565837_T13_Image.jpg,1415,Steve Knutson,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1415
