,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,lick-in-heaven,1,Jessy Lanza,Lick In Heaven,"Jessy Lanza

              —
              Lick In Heaven
            
              (Hyperdub)",Hyperdub,"‘Lick In Heaven’ offers the juicy first taste of new Jessy Lanza material since 2016

Working again with the signature touch of Jeremy Greenspan (Junior Boys), Jessy warmly remind us of what we all loved about her first two albums, puckering up lyrics about “being angry with people and not knowing what to do about it” over her rude SH-101 bassline, and a nagging... more",/products/lick-in-heaven,https://assets.boomkat.com/spree/products/640876/product/5055869593632_T2_Image.jpg,1396,Tom Lea,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1396
1,witness-0036c05c-6cae-4dd4-b60c-86a7483ab690,2,Al Wootton,Witness,"Al Wootton

              —
              Witness
            
              (TRULE)",TRULE,,/products/witness-0036c05c-6cae-4dd4-b60c-86a7483ab690,https://assets.boomkat.com/spree/products/672300/product/5054285077979.jpg,1396,Tom Lea,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1396
2,fabric-presents-octo-octo-eris-drew,3,"Octo Octa, Eris Drew",fabric presents Octo Octa & Eris Drew,"Octo Octa, Eris Drew

              —
              fabric presents Octo Octa & Eris Drew
            
              (Fabric Worldwide)",Fabric Worldwide,"""Rising through the queer American DJ circuit, Eris Drew and Octo Octa, co-owners of dance label T4T LUV NRG, share multiple decades between them actively participating within the dance music community and are currently both weekly residents on BBC Radio 1.""

""The CD compilation was mixed from all-vinyl in their log cabin home and studio in the... more",/products/fabric-presents-octo-octo-eris-drew,https://assets.boomkat.com/spree/products/704586/product/5065000444990.jpg,1396,Tom Lea,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1396
3,muas-at-the-end-of-the-world,4,Ariel Zetina,MUAs at the End of the World,"Ariel Zetina

              —
              MUAs at the End of the World
            
              (femme culture)",femme culture,"Tuff but playful house and juke tekkers from Chicago’s Ariel Zetina on their debut for femme culture; a London-based record label and collective.

Taking YouTube Make-Up Artist videos as inspiration, Zetina jumps from the syncopated psycho-jack of ‘Eyeshadow Fallout’ to a killer spin on Prince classic production for Vanity 6 in the aptly titled ‘Vanity 7’, whereas... more",/products/muas-at-the-end-of-the-world,https://assets.boomkat.com/spree/products/637139/product/5060731224958_T6_Image.jpg,1396,Tom Lea,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1396
4,salvador-126e5a56-9a47-4d1f-88c1-36fccf8e4f33,5,Sega Bodega,Salvador,"Sega Bodega

              —
              Salvador
            
              (NUXXE)",NUXXE,"‘Salvador’ is the strong debut album from Sega Bodega. Self-released on the Nuxxe label which has hosted his ace productions for Shy Girl, Brooke Candy and Coucou Chloe over the past few years, ‘Salvador’ is a uniquely formed slice of contemporary pop and R&B with an effortlessly avant edge thanks to his diamond-cut studio tekkers.

It also marks... more",/products/salvador-126e5a56-9a47-4d1f-88c1-36fccf8e4f33,https://assets.boomkat.com/spree/products/638571/product/5060644130742_T12_Image.jpg,1396,Tom Lea,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1396
5,asleephttpsboomkatcomproductscultsurvivor,6,Sofie,Asleep (https://boomkat.com/products/cult-survivor),"Sofie

            —
            Asleep (https://boomkat.com/products/cult-survivor)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1396,Tom Lea,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1396
6,terrapin-ep,7,Parris,Terrapin EP,"Parris

              —
              Terrapin EP
            
              (Wisdom Teeth)",Wisdom Teeth,"Deep London groove pressure from Parris, with a cameo by Minor Sciences, on a dead classy follow-up to his energetic outing for TTT

Debuting for Brighton’s ace Wisdom Teeth, Parris plays into a classic vibe on the balmy swag of ’Soft Rocks With Socks’, bobbing along at a laidback sub-110bpm with gently heart-in-mouth pads and feathered drums, while... more",/products/terrapin-ep,https://assets.boomkat.com/spree/products/687765/product/Parris.jpg,1396,Tom Lea,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1396
7,queen-slim-original-motion-picture-score,8,Devonté Hynes,"Queen & Slim 
            
              (Domino Recording Co / Domino Soundtracks)","Devonté Hynes

              —
              Queen & Slim (Original Motion Picture Score)
            
              (Domino Recording Co / Domino Soundtracks)",Original Motion Picture Score,"Blood Orange’s Devonté Hynes applies his evocative skills to a 2nd soundtrack, following his work on Gia Coppola’s ‘Palo Alto’ in 2013 which really broke his sound to a whole new audience.

Anyone expecting Hynes’ signature, prized R&B drum programming or spellbinding way with vocals may leave disappointed, but listeners who appreciate his feel for... more",/products/queen-slim-original-motion-picture-score,https://assets.boomkat.com/spree/products/624845/product/192152000363_T21_Image.jpg,1396,Tom Lea,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1396
8,shall-we-go-on-sinning-so-that-grace-may-increase,9,THE SOFT PINK TRUTH,Shall We Go On Sinning So That Grace May Increase?,"THE SOFT PINK TRUTH

              —
              Shall We Go On Sinning So That Grace May Increase?
            
              (Thrill Jockey)",Thrill Jockey,"Matmos’ Drew Daniel wraps up a sensitive anti-fascist statement with ‘Shall We Go On Sinning So That Grace May Increase?’ in his 4th album proper as The Soft Pink Truth, starring guest vocals by Colin Self, Angel Deradoorian, and Jana Hunter. It's quite a trip...

Daniel returns to dancefloor-wise fundamentals and more sensuous styles here that link back to the... more",/products/shall-we-go-on-sinning-so-that-grace-may-increase,https://assets.boomkat.com/spree/products/646732/product/519_3000_300dpi.jpg,1396,Tom Lea,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1396
9,doves-mph,10,Facta,Doves / MPH,"Facta

              —
              Doves / MPH
            
              (Wisdom Teeth)",Wisdom Teeth,"Dippy UKG and deeper, bumping business from Facta on his spiritual home, Wisdom Teeth

‘Doves’ comes up a treat on a tight but frothy UK flex, all bubbling bleeps and pendulous garage motor, like Bobby Peru and Artwork after a big line and a balloon, while ‘MPH’ works off to the wonky side of Finn with choppy vocal motifs and melancholy licks gelling into a... more",/products/doves-mph,https://assets.boomkat.com/spree/products/700066/product/Facta.jpg,1396,Tom Lea,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1396
10,fluids-of-emotion,11,Eris Drew,Fluids of Emotion,"Eris Drew

              —
              Fluids of Emotion
            
              (Interdimensional Transmissions)",Interdimensional Transmissions,,/products/fluids-of-emotion,https://assets.boomkat.com/spree/products/631930/product/8718723137294.jpg,1396,Tom Lea,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1396
11,requieminblue,12,Blu & Exile,Requiem in Blue,"Blu & Exile

            —
            Requiem in Blue",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1396,Tom Lea,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1396
12,spring-summer-dubs-2020,13,Anz,Spring​/​Summer Dubs 2020,"Anz

              —
              Spring​/​Summer Dubs 2020
            
              (Anz)",Anz,"Manchester’s Queen of Clubs comes with her 5th annual production showreel, throwing down 35 unreleased dubs in just under 1.5 hours of fresh rave frolics - proper jawmelter.

The last 30 years of rave music are fair game for Anz’s magpie eye, whirling thru styles from deep soulful garage to boisterous electro, Jersey-meets-Afrobeat jams to whistle-blowing... more",/products/spring-summer-dubs-2020,https://assets.boomkat.com/spree/products/708614/product/a3277800559_10.jpg,1396,Tom Lea,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1396
