,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,qualityrolls,1,1.8.7,Quality Rolls,"1.8.7

            —
            Quality Rolls",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1228,W00dy,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1228
1,ppj-jungle-dubs-vol-1,2,Various Artists,"PPJ Jungle Dubs, Vol. 1","Various Artists

              —
              PPJ Jungle Dubs, Vol. 1
            
              (PPJ Recordings)",PPJ Recordings,"New skool junglist pressure from a jabbing bag of American producers

Smashing more amens than the Pope on a sunday, ‘PPJ Jungle Dubs, Vol.1’ all operators go on like it’s 1995 again, firing off a barrage of steppers heat between the natty Remacr or Soudnmurderer-esque ‘Dubplate Special’ by Selecta 5-7, the switch-ups from lush to rugged in Krave’s... more",/products/ppj-jungle-dubs-vol-1,https://assets.boomkat.com/spree/products/640971/product/682157984824.jpg,1228,W00dy,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1228
2,the-passion-of,3,Special Interest,The Passion Of,"Special Interest

              —
              The Passion Of
            
              (Night School)",Night School,"But would you bat an eye waiting for war machines to pass you by? But aren’t we going out tonight? Aren’t we going out?

""Special Interest have returned with their sophomore LP. A dual release from Night School (EU) and Thrilling Living (US). The Passion Of... combines elements of glam rock and no wave pushed through a mangled filter of contemporary... more",/products/the-passion-of,https://assets.boomkat.com/spree/products/674780/product/a0352383372_10.jpg,1228,W00dy,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1228
3,crumbling,4,x.nte,Crumbling,"x.nte

            —
            Crumbling",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1228,W00dy,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1228
4,dandococotazos,5,Sir Speedy,Dando Cocotazos,"Sir Speedy

            —
            Dando Cocotazos",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1228,W00dy,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1228
5,push-94d2c66b-197b-4169-8272-ab99a6f327b8,6,Maral,Push,"Maral

              —
              Push
            
              (Leaving Records)",Leaving Records,"Completely head-warping Persian progressive dub nuggets from LA's Maral. Where else are you gonna find Lee ""Scratch"" Perry, Crass's Penny Rimbaud, oversaturated beats and Iranian classical and folk samples mashed into a fuzz of echo and tape hiss? 

Few genres have been as rinsed, but Maral's ""Push"" arrives to remind us that innovation is still possible... more",/products/push-94d2c66b-197b-4169-8272-ab99a6f327b8,https://assets.boomkat.com/spree/products/693079/product/659457529437_T67131753270054.jpg,1228,W00dy,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1228
6,from-the-far-future-pt-3,7,Terrence Dixon,"From the Far Future, Pt. 3","Terrence Dixon

              —
              From the Far Future, Pt. 3
            
              (Tresor Records)",Tresor Records,"Detroit visionary Terrence Dixon scans stellar new horizons on the awe-inspiring 3rd chapter of his most cherished, foundational and inspiring album series.

Roughly once a decade since 2000 the pioneering Afrofuturist has offered a new landmark of deep, electronic music, and ‘From the Far Future, Pt. 3’ stakes one of 2020’s - and probably the next... more",/products/from-the-far-future-pt-3,https://assets.boomkat.com/spree/products/703047/product/5051142076649.jpg,1228,W00dy,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1228
7,haciendoescante,8,Nicky Jam,Haciendo Escante,"Nicky Jam

            —
            Haciendo Escante",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1228,W00dy,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1228
8,presents-kentje-sz-beatsz,9,Anti-G,Presents Kentje'sz Beatsz,"Anti-G

              —
              Presents Kentje'sz Beatsz
            
              (Planet Mu Records Ltd.)",Planet Mu Records Ltd.,"Following their ongoing exposé of Chicago Footwork, Planet Mu turn their keen ears to the 'floor and the sound of Bubbling; the hyper-futuristic Dutch dance craze perpetuated by the 2nd and 3rd generation descendants of Caribbean immigrants.

We'll let the ever-knowledgeable Dave Quam explain the origins ""At a party in the late 80s in The Hague, a local DJ by... more",/products/presents-kentje-sz-beatsz,https://assets.boomkat.com/spree/products/289751/product/original.jpg,1228,W00dy,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1228
9,black-nationalist-sonic-weaponry-expanded-edition,10,Speaker Music,"Black Nationalist Sonic Weaponry 
            
              (Planet Mu Records Ltd.)","Speaker Music

              —
              Black Nationalist Sonic Weaponry (Expanded Edition)
            
              (Planet Mu Records Ltd.)",Expanded Edition,"Originally released in July, DeForrest Brown Jr.'s explosive fusion of jagged rhythm experiments and revolutionary jazz, now comes bundled with an additional 30-minute track that fleshes out his sprawling narrative in a fourth dimension.

Emerging from the heat of summer as anti-racist protests burned across the USA, ""Black Nationalist Sonic Weaponry"" is an... more",/products/black-nationalist-sonic-weaponry-expanded-edition,https://assets.boomkat.com/spree/products/706276/product/5055869565837_T13_Image.jpg,1228,W00dy,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1228
