,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,untitledtodescribeyou,1,Space Afrika & Tibyan Mahawah Sanoh,Untitled (To Describe You),"Space Afrika & Tibyan Mahawah Sanoh

            —
            Untitled (To Describe You)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1411,Will Boyd,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1411
1,hotel-nota,2,Roméo Poirier,Hotel Nota,"Roméo Poirier

              —
              Hotel Nota
            
              (sferic)",sferic,"If you plot a line between Jon Hassell’s 'Dream Theory In Malaya' and Jan Jelinek’s 'Loop Finding Jazz Records', you’ll find this pearl lodged somewhere in between. Add in cover art that reminds us of the sun-bleached breeze of Antena’s eternally nostalgic 'Camino Del Sol' and you have three of our favourite albums referenced in one paragraph. In other words... more",/products/hotel-nota,https://assets.boomkat.com/spree/products/676044/product/sferic-0tel_Distribution.jpg,1411,Will Boyd,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1411
2,hum-of-your-veiled-voice,3,Jake Muir,the hum of your veiled voice,"Jake Muir

              —
              the hum of your veiled voice
            
              (sferic)",sferic,"The sferic label add to a strong run of releases from Space Afrika, Perila, Echium and Roméo Poirier with a stunning new LP from Jake Muir; a fabrication of impressionistic cityscapes describing L.A. at dusk, and Berlin dawning, highly recommended if you’re into Pinkcourtesyphone, Gas, Philip Jeck, Jan Jelinek.

’The hum of your veiled voice’ was written by Muir in... more",/products/hum-of-your-veiled-voice,https://assets.boomkat.com/spree/products/699110/product/a2143322959_10.jpg,1411,Will Boyd,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1411
3,everything-is-already-there,4,Perila,Everything Is Already There,"Perila

              —
              Everything Is Already There
            
              (Boomkat Editions | Documenting Sound)",Boomkat Editions | Documenting Sound,"A 12 track album, an hour in length, recorded in the space of a week and - for our money - one of the most inspiring things we've heard this year, an intimate fever dream made real, a summoning of rich and complex spirits that reminds us of Dean Blunt x Hype Williams, Paris Texas, Ulla (who plays saxophone on two tracks under the Foamy alias), Grouper, Laurel... more",/products/everything-is-already-there,https://assets.boomkat.com/spree/products/699215/product/Perila_Distribution_Preview.jpg,1411,Will Boyd,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1411
4,noicecanbefound,5,Blessed Kitty,no ice can be found,"Blessed Kitty

            —
            no ice can be found",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1411,Will Boyd,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1411
5,anthology-of-american-pop-music,6,Gesellschaft Zur Emanzipation Des Samples,Anthology of American Pop Music,"Gesellschaft Zur Emanzipation Des Samples

              —
              Anthology of American Pop Music
            
              (FAITICHE)",FAITICHE,"Jan Jelinek takes on six great pop ""standards"" by the likes of Kraftwerk and Marcel Duchamp, dissected by sampler, stretched, compressed, and re-collaged with a rarely paralleled craftsmanship and playfulness.

‘Anthology of American Pop Music’ is the technically the 2nd full length statement from the semi-fictitious project’s HQ, the Federal Court of... more",/products/anthology-of-american-pop-music,https://assets.boomkat.com/spree/products/695988/product/880918251370.jpg,1411,Will Boyd,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1411
6,coatcheck,7,Florian T M Zeisig,Coatcheck,"Florian T M Zeisig

              —
              Coatcheck
            
              (enmossed)",enmossed,"Absorbing dub techno and ambient impressionism from Berlin-based coatroom operator and producer Florian T M Zeisig - a strong look for Huerco S./Pendant/Perila fiends and tipped if yr into the Chain Reaction >> Jan Jelinek >> Sferic >> Topdown Dialectic axis.

A student of Alva Noto, one half of OCA and an active installation artist, Florian Zeisig brings a sensitive... more",/products/coatcheck,https://assets.boomkat.com/spree/products/678091/product/ENM-07_Cover.jpg,1411,Will Boyd,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1411
7,leaving-everything-to-be-desired,8,Pinkcourtesyphone,leaving everything to be desired,"Pinkcourtesyphone

              —
              leaving everything to be desired
            
              (Room 40)",Room 40,"All too often what passes for ""ambient"" music is pulled towards one of two poles: nihilistic darkness or cloying lightness - manbient or cutebient. We're fucking sick of it. Thankfully, mischievous scene veteran Richard Chartier has unleashed a much-needed corrective here with his latest Pinkcourtesyphone full-length, allowing his darkness to languish in... more",/products/leaving-everything-to-be-desired,https://assets.boomkat.com/spree/products/688866/product/195081779997.jpg,1411,Will Boyd,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1411
8,triz,9,Pontiac Streator,Triz,"Pontiac Streator

              —
              Triz
            
              (Motion Ward)",Motion Ward,"Pontiac Streator’s debut solo 2LP lands on Motion Ward featuring appearances form Ulla & Mister Water Wet, following a run of collabs with Ulla on West Mineral, and with Exael as ‘Micro Incubus’ earlier this year.

Is there a name for this stuff yet? The West Mineral/Experiences/Motion Ward aesthetic is a kinda modern counterpart to the Chain Reaction nucleus... more",/products/triz,https://assets.boomkat.com/spree/products/671631/product/unnamed.png,1411,Will Boyd,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1411
9,ashelllikeobject,10,TIBSLC,A SHELL-LIKE OBJECT,"TIBSLC

            —
            A SHELL-LIKE OBJECT",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1411,Will Boyd,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1411
10,log-et3rnal,11,LOG (Ulla & Perila),LOG ET3RNAL,"LOG (Ulla & Perila)

              —
              LOG ET3RNAL 
            
              (Experiences Ltd)",Experiences Ltd,"Ulla & Perila’s newly formed Log duo arrives on Experiences Ltd with a sublime full-length suite of dubbed-out, warm and fizzing energies, reminding us of Vainqueur’s classic Elevation productions for Chain Reaction, and the most dense, tranquil moments from Wolfgang Voigt’s GAS excursions. Ulla and Perila have each supplied us with some of the most rinsed... more",/products/log-et3rnal,https://assets.boomkat.com/spree/products/703469/product/LOG01_Distribution_Preview.jpg,1411,Will Boyd,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1411
