,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,guerilla-0164fa79-fc30-4a55-90b9-a76cfee8a0df,1,Nazar,Guerrilla,"Nazar

              —
              Guerrilla
            
              (Hyperdub)",Hyperdub,"One of the strongest debut albums we've heard in years, Nazar’s ‘Guerrilla’ is a record about the Angolan civil war that we reckon will come to be one of the defining albums of 2020

Relaying the tragedy and terror of his family’s experience of war, Nazar uses a highly distinctive sound design palette and manacled grasp of what he calls “rough kuduro” rhythms to... more",/products/guerilla-0164fa79-fc30-4a55-90b9-a76cfee8a0df,https://assets.boomkat.com/spree/products/629622/product/5055869593465_T12_Image.jpg,1392,woofer,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1392
1,waves-7acddf4d-f1db-4f6f-80d8-1da5cc3d0cd9,2,Hagan,Waves,"Hagan

              —
              Waves
            
              (Gobstopper Records)",Gobstopper Records,,/products/waves-7acddf4d-f1db-4f6f-80d8-1da5cc3d0cd9,https://assets.boomkat.com/spree/products/694930/product/3663729131287.jpg,1392,woofer,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1392
2,unlit-signals,3,Ploy,Unlit Signals,"Ploy

              —
              Unlit Signals
            
              (L.I.E.S.)",L.I.E.S.,"Taking reference from the rave energy that has passed through decades of UK dance music and combining influences from harder, noisy, industrial tropes that carry a similar raw approach, Ploy (Timedance, Hessle) delivers his debut LP ""Unlit Signals"" for L.I.E.S. Records.

""Across these eight tracks we move through contained intensity and stifling darkness... more",/products/unlit-signals,https://assets.boomkat.com/spree/products/703117/product/a0205442768_10.jpg,1392,woofer,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1392
3,,4,Slikback,///,"Slikback

            —
            ///",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1392,woofer,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1392
4,homeimprovementtoolz01,5,Séverine,HOME IMPROVEMENT TOOLZ 01,"Séverine

            —
            HOME IMPROVEMENT TOOLZ 01",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1392,woofer,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1392
5,junk-dna-008ebb63-61c9-4a33-a925-9e72eb854bb4,6,Low Budget Aliens,Junk DNA,"Low Budget Aliens

              —
              Junk DNA
            
              (XPQ?)",XPQ?,"Mysterious “married outlaws” Low Budget Aliens firm up a killer sort of (I)DeMaterialised spin on drill, jungle, footwork and ruff bass sound for D. Tiffany and uon’s XPQ? label

‘Junk DNA’ spells out a dead crafty sound in orbit somewhere between early Actress, the ambient dance mutations of Ghostride The Drift and Skee Mask’s nervy rufige. It’s smudged... more",/products/junk-dna-008ebb63-61c9-4a33-a925-9e72eb854bb4,https://assets.boomkat.com/spree/products/654120/product/unnamed.png,1392,woofer,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1392
6,vague-currency,7,Amazondotcom & Siete Catorce,Vague Currency,"Amazondotcom & Siete Catorce

              —
              Vague Currency
            
              (Subreal)",Subreal,,/products/vague-currency,https://assets.boomkat.com/spree/products/711369/product/SR004Artwork.jpg,1392,woofer,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1392
7,loos-in-twos-nrg,8,Anz,"Loos In Twos 
            
              (HESSLE AUDIO)","Anz

              —
              Loos In Twos (NRG)
            
              (HESSLE AUDIO)",NRG,"Hessle Audio juice three bare boned, tracky DJ tools from Manchester’s First Lady of the rave (FLOTR?) following shots for Chow Down and Finn’s 2 B Real

‘Loos In Twos’ was last spotted on Anz’ ’Spring/Summer Dubs 2019’ set and rolls out on sort of Darqwan-meets-DJ Plead tip with a balance of bashy break-step and defter Mahraganat-like hustle shot thru with... more",/products/loos-in-twos-nrg,https://assets.boomkat.com/spree/products/689254/product/Anz.jpg,1392,woofer,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1392
8,kizas-do-ly,9,DJ Lycox,Kizas do Ly,"DJ Lycox

              —
              Kizas do Ly
            
              (Príncipe)",Príncipe,"Romantic Kizomba lilt from DJ Lycox (Tia Maria Produções), stepping out on his first Príncipe session since 2017 with a strong set for the lovers...

Tending to the slower, more melodic and atmospheric side of the Angolan-Lisbon club equation, ‘Kizas do Ly’ arrives earlier than expected with a payload of sultry rhythms and wavey, dusky vibes that offer a warm... more",/products/kizas-do-ly,https://assets.boomkat.com/spree/products/652017/product/P034_FRONT_vinyl.jpg,1392,woofer,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1392
9,summer-3d6e4fea-5927-455d-a4c1-e9343190d1ae,10,PUB,Summer,"PUB

              —
              Summer
            
              (Ampoule Records)",Ampoule Records,"A gorgeous, properly influential ambient drift classic resurfaces for a 20 year reissue complete with a new extended piece evoking gauzy nostalgia for late ‘90s/early ‘00s styles.

The glimmering iridescent dub electronics of’Summer’ bobs up from 2000 in the wake of a reissue for the reclusive Scottish artist’s lush debut album  ‘Do You Ever Regret Pantomime?’... more",/products/summer-3d6e4fea-5927-455d-a4c1-e9343190d1ae,https://assets.boomkat.com/spree/products/688926/product/Pub-Distribution-Preview.jpg,1392,woofer,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1392
