,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,horsesfuckedovertheheadwithbricks2019carefulcataloghttpswwwdiscogscombarnsourhorsesfuckedovertheheadwithbricksrelease14560220,1,Barn Sour,"Horses fucked over the head with bricks (2019, Careful Catalog) https://www.discogs.com/Barn-Sour-Horses-Fucked-Over-The-Head-With-Bricks/release/14560220","Barn Sour

            —
            Horses fucked over the head with bricks (2019, Careful Catalog) https://www.discogs.com/Barn-Sour-Horses-Fucked-Over-The-Head-With-Bricks/release/14560220",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1355,YYED,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1355
1,welfare-d17af83e-1b23-448c-adc5-15b005f1849d,2,Lucy Liyou,Welfare,"Lucy Liyou

              —
              Welfare
            
              (ijn inc.)",ijn inc.,"Dead uncanny new music from Lucy Liyou, a Philadelphia-based ambient/collage artist creating absorbing musical stories based on Korean folk-opera and “nuances in Quotidian experience” - think Nozomu Matsumoto meets Klein at Arca’s gaff and you’ve nearly got a grasp on this one.

Poetically voiced by text-to-speech software and patched together from a... more",/products/welfare-d17af83e-1b23-448c-adc5-15b005f1849d,https://assets.boomkat.com/spree/products/645303/product/5050580734951.jpg,1355,YYED,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1355
2,deossibus202020recitalhttpsrecitalprogrambandcampcomalbumdeossibus20,3,Kiera Mulhern,"De Ossibus 20 (2020, Recital) https://recitalprogram.bandcamp.com/album/de-ossibus-20","Kiera Mulhern

            —
            De Ossibus 20 (2020, Recital) https://recitalprogram.bandcamp.com/album/de-ossibus-20",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1355,YYED,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1355
3,no-longer-a-soundtrack,4,Asha Sheshadri,No Longer A Soundtrack,"Asha Sheshadri

              —
              No Longer A Soundtrack
            
              (Anòmia)",Anòmia,,/products/no-longer-a-soundtrack,https://assets.boomkat.com/spree/products/696639/product/ANM049_Cover.jpg,1355,YYED,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1355
4,frozen2020selfreleasedhttpswwwdiscogscomkleinfrozenrelease15220853,5,Klein,"Frozen (2020, Self Released) https://www.discogs.com/Klein-Frozen/release/15220853","Klein

            —
            Frozen (2020, Self Released) https://www.discogs.com/Klein-Frozen/release/15220853",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1355,YYED,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1355
5,a-perfect-punctual-paradise-under-my-own-name,6,Mark Harwood,A Perfect Punctual Paradise Under My Own Name,"Mark Harwood

              —
              A Perfect Punctual Paradise Under My Own Name
            
              (Penultimate Press)",Penultimate Press,"Proper heavy-as-your-life blinder this; Penultimate Press caretaker Mark Harwood stages a midlife existential crisis on vinyl with a rawly penetrating mix of vulnerable candour and oblique mundanity riddled in its unpredictable transitions of field recordings and f*ck knows wot. It’s difficult, paranoid, but somehow deeply empathetic and uncannily also one of the... more",/products/a-perfect-punctual-paradise-under-my-own-name,https://assets.boomkat.com/spree/products/690845/product/5056321614162_T3_Image.jpg,1355,YYED,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1355
6,xtrctn,7,Michael Speers,xtr'ctn,"Michael Speers

              —
              xtr'ctn
            
              (C.A.N.V.A.S.)",C.A.N.V.A.S.,"Michael Speers impresses with a killer debut album of absorbing listening environments that blur the line between synthesis and field recordings, released via C.A.N.V.A.S. - the London-based co-op imprint behind Elvin Brandi’s cracking ‘Shelf Life’ EP and the ‘Cipher’ comp starring Flora Yin-Wong, Object Blue, Ashley Paul, Ben Vince, Ausschuss and others... more",/products/xtrctn,https://assets.boomkat.com/spree/products/605041/product/Cover.jpg,1355,YYED,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1355
7,songsinthekeyofno2020fragmentfactoryhttpswwwdiscogscomalicekempsongsinthekeyofnomaster1818905,8,Alice Kemp,"Songs In The Key Of NO (2020, Fragment Factory) https://www.discogs.com/Alice-Kemp-Songs-In-The-Key-Of-NO/master/1818905","Alice Kemp

            —
            Songs In The Key Of NO (2020, Fragment Factory) https://www.discogs.com/Alice-Kemp-Songs-In-The-Key-Of-NO/master/1818905",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1355,YYED,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1355
8,if-i-don-t-let-myself-be-happy-now-then-when,9,More Eaze & Claire Rousay,If I Don't Let Myself Be Happy Now Then When?,"More Eaze & Claire Rousay

              —
              If I Don't Let Myself Be Happy Now Then When?
            
              (Mondoj)",Mondoj,"Absorbingly intriguing album of avant-electronics, from pop to computer music - really strong Mondoj this one.

“more eaze is the nom de plume of Austin, TX mainstay mari maurice, a roving experimentalist who’s explored an astoundingly diverse range of sounds, from drone and computer music to avant-pop and beyond. claire rousay is a San Antonio, TX-based... more",/products/if-i-don-t-let-myself-be-happy-now-then-when,https://assets.boomkat.com/spree/products/641885/product/880918237855.jpg,1355,YYED,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1355
9,nona-decima-et-morta,10,Golem Mecanique,"Nona, Decima et Morta","Golem Mecanique

              —
              Nona, Decima et Morta
            
              (Ideologic Organ)",Ideologic Organ,"Staggering avant-folk hymns by France’s Karen Jebane aka Golem Mecanique, eliding haunting vocals with billowing hurdy-gurdy-like tones from a rare French instrument. She takes all the time she needs to cast two spellbinding durational works full of visceral, slow-burning and dissonant energy. Hand-picked for release on Stephen O’Malley’s Ideologic Organ... more",/products/nona-decima-et-morta,https://assets.boomkat.com/spree/products/634458/product/5050580731936.jpg,1355,YYED,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1355
