,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,balani-fou,1,DJ Diaki.,Balani Fou,"DJ Diaki.

              —
              Balani Fou
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Extreme high energy dance music from Mali’s DJ Diaki; a thrilling introduction to the style of ‘Balani Fou’ - or ‘Crazy Balani’, as favoured in the Malian countryside. One tape of original productions, one tape of DJ mixes - the latest and most lavish Nyege Nyege Tapes release to date (i mean, who gets a reclaimed tape clamshell screen printed on all 3 sides???)

A... more",/products/balani-fou,https://assets.boomkat.com/spree/products/640650/product/a4054797701_10.jpg,1309,Ziúr,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1309
1,phoenix-flames-are-dew-upon-my-skin,2,Eartheater,Phoenix: Flames Are Dew Upon My Skin,"Eartheater

              —
              Phoenix: Flames Are Dew Upon My Skin
            
              (PAN)",PAN,"Following last year's brilliant ""Trinity"" mixtape and LEYA collab ""Angel Lust"", Alexandra Drewchin returns with her most assertive record to date, a fiery collection of modern dream-folk that blurs the lines between ambient, shoegaze and experimental pop. 

Following the dusty road traced by Cocteau Twins, Mazzy Star, Björk and Grouper, Eartheater... more",/products/phoenix-flames-are-dew-upon-my-skin,https://assets.boomkat.com/spree/products/676198/product/723849813081_T65859388520054.jpg,1309,Ziúr,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1309
2,elements,3,Elaine,Elements,"Elaine

            —
            Elements",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1309,Ziúr,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1309
3,thathingzido4money,4,Father,Tha Thingz I Do 4 Money,"Father

            —
            Tha Thingz I Do 4 Money",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1309,Ziúr,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1309
4,umeme-kelele,5,Judgitzu,Umeme / Kelele,"Judgitzu

              —
              Umeme / Kelele
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Incendiary, 180BPM hyper-steppers rhythms riddled with razing drones and field recordings for Nyege Nyege Tapes, the debut electronic music productions by “Punk ethnomusicologist” Judgitzu, inspired by time spent in Tanzania and highly compatible with Singeli, hardcore techno, gabber...

Roving punk ethnomusicologist Julien Hairon aka Judgitzu... more",/products/umeme-kelele,https://assets.boomkat.com/spree/products/619709/product/NNT017_Distribution_Preview.jpg,1309,Ziúr,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1309
5,jp4,6,Junglepussy,Jp4,"Junglepussy

              —
              Jp4
            
              (Jagjaguwar)",Jagjaguwar,,/products/jp4,https://assets.boomkat.com/spree/products/695196/product/656605237763_T67824742340054.jpg,1309,Ziúr,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1309
6,narf,7,Lord Narf,N*A*R*F,"Lord Narf

            —
            N*A*R*F",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1309,Ziúr,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1309
7,nova-vida-passada,8,Luar Domatrix,Nova Vida Passada,"Luar Domatrix

              —
              Nova Vida Passada
            
              (Domestic Exile)",Domestic Exile,"Killer, freaked R&B, pop and tarraxho zingers from one half of Lisbon/Glasgow’s Yong Yong, Luar Domatrix, spinning perpendicular to Principe, Equiknoxx and Hakuna Kulala in wicked screwball style . TIP!!!!

Favoured by the likes of Jon K and Debonaire on NTS, Luar Domatrix sees the Portuguese artist proceed further from the Hype Williams esque Yong... more",/products/nova-vida-passada,https://assets.boomkat.com/spree/products/676734/product/unnamed.jpg,1309,Ziúr,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1309
8,circuit-city-6d026ed8-76b4-4509-90e9-330d4a13801b,9,Moor Mother,Circuit City,"Moor Mother

              —
              Circuit City
            
              (Don Giovanni Records)",Don Giovanni Records,"Timeless jazz flames from poet and noise musician Moor Mother; her first theatrical work, reflecting on public/private ownership and the housing crisis in an Afrofuturist song cycle for the ages

Tackling issues of the impending present in a way that resonates clearly with ‘60s jazz, Moor Mother situates ‘Circuit City’ in a “part musical, part choreopoem, part... more",/products/circuit-city-6d026ed8-76b4-4509-90e9-330d4a13801b,https://assets.boomkat.com/spree/products/706676/product/634457035553_T5_Image.jpg,1309,Ziúr,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1309
9,love-di-people,10,Sikka Rymes,Love Di People,"Sikka Rymes

              —
              Love Di People
            
              (Bokeh Versions)",Bokeh Versions,"Bokeh Versions bring freshest, weirdest dancehall to market with Sikka Rymes’ ‘Love Di People’ - a big BIG look for fans of Equiknoxx, Slikback, Vybz Kartel!!!

““Incarcerated deejay touts Sikka Rymes as next big thing in dancehall” say the Jamaica Star headlines; referencing Vybz Kartel and Sikka’s cousin Shawn Storm, all of Portmore’s Gaza Nation dancehall... more",/products/love-di-people,https://assets.boomkat.com/spree/products/572719/product/5050580712607.jpg,1309,Ziúr,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1309
