,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,alfredo,1,Freddie Gibbs & The Alchemist,Alfredo,"Freddie Gibbs & The Alchemist

            —
            Alfredo",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1252,ZULI,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1252
1,strawberry-8f987da4-cf9d-48d1-912f-439822e41c8a,2,Chester Raj Anand,Strawberry,"Chester Raj Anand

              —
              Strawberry
            
              (Quiet Time Tapes)",Quiet Time Tapes,"Lovely ambient piano and electronic meanderings from NYC’s Chester Raj Anand aka Lord Raja, neatly befitting of Quiet Time Tapes’ snoozy contemporary a e s t h e t i c.

Muting the beats and vibing out in late night loner style is a strong look for Anand, with echoes of James Ferraro’s early vaporwave in ‘Shibuya 5AM’, or the whiskey-sozzled synth meditation... more",/products/strawberry-8f987da4-cf9d-48d1-912f-439822e41c8a,https://assets.boomkat.com/spree/products/666804/product/0810025347505.jpg,1252,ZULI,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1252
2,glare-62336a6e-2ae7-436a-9454-1427a77d71dc,3,Fixate,Glare,"Fixate

              —
              Glare
            
              (Exit Records)",Exit Records,,/products/glare-62336a6e-2ae7-436a-9454-1427a77d71dc,https://assets.boomkat.com/spree/products/671172/product/192641521935.jpg,1252,ZULI,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1252
3,anunknowninfinite,4,AMANI + KING VISION ULTRA,An Unknown Infinite,"AMANI + KING VISION ULTRA

            —
            An Unknown Infinite",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1252,ZULI,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1252
4,burna,5,Deft,BURNA,"Deft

              —
              BURNA
            
              (Hooversound Recordings)",Hooversound Recordings,,/products/burna,https://assets.boomkat.com/spree/products/662365/product/5060731229304_T5_Image.jpg,1252,ZULI,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1252
5,simulacrum-ec6c7e71-4eec-401d-990c-b320807dc768,6,Aho Ssan,Simulacrum,"Aho Ssan

              —
              Simulacrum
            
              (Subtext Recordings)",Subtext Recordings,"Debut volley of noisily complex and twisting IDM electronica from Aho Ssan, a new artist on James Ginzburg of Emptyset’s Subtext label. RIYl Shapednoise, Heith, Pyur.

""Inspired in part by French sociologist Jean Baudrillard’s influential text “Simulacres et Simulation,” the record plays with synthesis and simulation, picking apart notions of modulatable... more",/products/simulacrum-ec6c7e71-4eec-401d-990c-b320807dc768,https://assets.boomkat.com/spree/products/639610/product/A10341T0000025OSRI_T60339619190054.jpg,1252,ZULI,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1252
6,tearsvoyuer,7,All Times Now Nothing,Tears Voyuer,"All Times Now Nothing

            —
            Tears Voyuer",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1252,ZULI,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1252
7,cocktail-party-effect,8,Cocktail Party Effect,Cocktail Party Effect,"Cocktail Party Effect

              —
              Cocktail Party Effect
            
              (Tectonic)",Tectonic,"Wicked 2nd album of deft, hard and heavy UK rufige from CPE in a futuristic dancehall techno style RIYL Mumdance & Logos, Pinch, Bokeh

In pursuit of the styles on 2019’s ‘Shattered Retina’ EP, but mixed up with more cinematic sound design and rushes into IDM, Cocktail Party Effect’s sound design chops and ruggedest rhythmic sensibilities are on top form... more",/products/cocktail-party-effect,https://assets.boomkat.com/spree/products/652398/product/5065002108456.jpg,1252,ZULI,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1252
8,dive-reflex-service,9,Dive Reflex Service,01,"Dive Reflex Service

              —
              01
            
              (Limbo Tapes)",Limbo Tapes,"Warbling, melancholic ambient-pop, verging on lo-fi and flecked with traces of modern classical strings, but also prone to keen into half-cut, ghostly beats 

“Straight from Limbo Tapes HQ, ""01"" has a signature label sound at it's heart, and marks a meaningful milestone in our history as a DIY imprint as our first vinyl release. 

The album was crafted in the Dive... more",/products/dive-reflex-service,https://assets.boomkat.com/spree/products/583440/product/DiveReflex.jpg,1252,ZULI,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1252
9,epoch,10,Forces,Epoch,"Forces

            —
            Epoch",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1252,ZULI,2020,https://boomkat.com/charts/boomkat-end-of-year-charts-2020/1252
