,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,httpsboomkatcomartistsmoormother,1,everything moor mother released,https://boomkat.com/artists/moor-mother,"everything moor mother released

            —
            https://boomkat.com/artists/moor-mother",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1727,AGF,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1727
1,black-encyclopedia-of-the-air,2,Moor Mother,Black Encyclopedia Of The Air,"Moor Mother

              —
              Black Encyclopedia Of The Air
            
              (Epitaph)",Epitaph,"Moor Mother ‘fesses her deadliest fusion of jazz, rap, footwork and “anti-trip hop” on her most satisfying album to date, flanked by comrades including Black Quantum Futurism, Brother May, Pink Siifu, among many others.

Building on a resounding reputation established via her jazz-punk ensemble Irreversible Entanglements and guest spots with... more",/products/black-encyclopedia-of-the-air,https://assets.boomkat.com/spree/products/762201/product/open-uri20210906-23567-1agw51h.jpeg,1727,AGF,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1727
2,mmeredanetheblacktimebelt,3,BLACK QUANTUM FUTURISM,Mmere Dane : THE BLACK TIME BELT,"BLACK QUANTUM FUTURISM

            —
            Mmere Dane : THE BLACK TIME BELT",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1727,AGF,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1727
3,things-8663e647-2738-4dfe-b1a3-364c01414ce4,4,pantea,Things,"pantea

              —
              Things
            
              (Active Listeners Club)",Active Listeners Club,"Purported Jaws Harp virtuoso, pantea, renders a microcosm of beguiling madness from her computer for the transfixing 2nd release on Tehran’s Active Listeners Club, the young label run by Parsa and Ramtin Niazi

OK, to be fair we’re not sure if the Jaws Harp thing is a red herring or not as we get deeper into the release, but for at least the first two tracks it... more",/products/things-8663e647-2738-4dfe-b1a3-364c01414ce4,https://assets.boomkat.com/spree/products/721135/product/cover.jpg,1727,AGF,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1727
4,harmattan-6494b211-e6c2-4a74-b98e-0535c014c824,5,Klein,Harmattan,"Klein

              —
              Harmattan
            
              (Pentatone)",Pentatone,"Radical “discomposer” Klein renders her naturally avant slant on classical paradigms with utterly captivating results featuring guest vox by Charlotte Church for the Pentatone label. A massive RIYL Alice Coltrane, Actress, Robert AA Lowe, Wanda Group, Yvette Janine Jackson, Mark Leckey.

Five years since her cult first release ‘Only’ sent everyone reeling... more",/products/harmattan-6494b211-e6c2-4a74-b98e-0535c014c824,https://assets.boomkat.com/spree/products/761966/product/a2844532200_10.jpg,1727,AGF,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1727
5,embrace-7c3afbe5-e8de-46f0-831a-77b234e96bd7,6,Lauren Sarah Hayes,Embrace,"Lauren Sarah Hayes

              —
              Embrace
            
              (Superpang)",Superpang,,/products/embrace-7c3afbe5-e8de-46f0-831a-77b234e96bd7,https://assets.boomkat.com/spree/products/731532/product/SP46.jpg,1727,AGF,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1727
6,okboxmusicianczechialabelginplatonicczechiahttpsginandplatonicbandcampcomalbumokbox,7,Ursula Sereghy,"OK Box  (Musician: Czechia | Label: GIN&PLATONIC, Czechia) https://ginandplatonic.bandcamp.com/album/ok-box","Ursula Sereghy

            —
            OK Box  (Musician: Czechia | Label: GIN&PLATONIC, Czechia) https://ginandplatonic.bandcamp.com/album/ok-box",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1727,AGF,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1727
7,honorablementionsimpressiverecordsfromwomenfromeasternmargins,8,,honorable mentions impressive records from women from Eastern margins,honorable mentions impressive records from women from Eastern margins,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1727,AGF,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1727
8,mapping-debris,9,Natalie Beridze,Mapping Debris,"Natalie Beridze

              —
              Mapping Debris
            
              (Monika Enterprise)",Monika Enterprise,"Georgian artist Natalia ""TBA"" Beridze's first album since 2016's ""Guliagava"" is a murky, minimalist joyride into android-techno backrooms and malfunctioning holographic vistas.

'Mapping Debris' is a masterclass in doomy sound design, taking cues from dystopian movie soundtracks, minimal techno, fwd-thinking pop, classical music, ambient and avant-garde... more",/products/mapping-debris,https://assets.boomkat.com/spree/products/734132/product/880918253251.jpg,1727,AGF,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1727
9,musicfromancestralarcheologydifferenceandrepetitionhttpsninapixelbandcampcomalbummusicfromancestralarcheologydifferenceandrepetition,10,Nina Pixel,Music From Ancestral Archeology | Difference and Repetition https://ninapixel.bandcamp.com/album/music-from-ancestral-archeology-difference-and-repetition,"Nina Pixel

            —
            Music From Ancestral Archeology | Difference and Repetition https://ninapixel.bandcamp.com/album/music-from-ancestral-archeology-difference-and-repetition",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1727,AGF,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1727
10,silhouettehnhbngsoundvietnamhttpssoundcloudcomlinhhasetssilhouettehinhbongexcerpts,11,LinhHafornow,SILHOUETTE || HÌNHBÓNG (Sound: Vietnam) https://soundcloud.com/linhha/sets/silhouette-hinhbong-excerpts,"LinhHafornow

            —
            SILHOUETTE || HÌNHBÓNG (Sound: Vietnam) https://soundcloud.com/linhha/sets/silhouette-hinhbong-excerpts",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1727,AGF,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1727
11,incrediblecompilationssupportingcauses,12,,incredible compilations supporting causes,incredible compilations supporting causes,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1727,AGF,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1727
12,resisttoexisthttpsavonterrorcorpsbandcampcomalbumresisttoexist,13,Avon Terror Corps x Exist Festival,Resist To Exist قاوم لِوجودك   https://avonterrorcorps.bandcamp.com/album/resist-to-exist,"Avon Terror Corps x Exist Festival

            —
            Resist To Exist قاوم لِوجودك   https://avonterrorcorps.bandcamp.com/album/resist-to-exist",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1727,AGF,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1727
