,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,single-9f3a4922-664d-4569-819e-3e2878f581f5,1,PUB,Single,"PUB

              —
              Single
            
              (Ampoule Records)",Ampoule Records,"'Single' isn't just a reissue of Pub's similarly-titled 2002 set, it properly rounds up the Glaswegian dub techno reductionist's first three 12""s and adds a couple of vinyl exclusives. Long-form blunted dancefloor haziness never sounded so lovely: imagine Various Artists/T++, The Black Dog, BoC and Manuel Göttsching locked in a room wth some synths, drum... more",/products/single-9f3a4922-664d-4569-819e-3e2878f581f5,https://assets.boomkat.com/spree/products/769722/product/8718723187343.jpg,1696,Andrew Johnson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1696
1,world-of-echo-remastered-revised-edition,2,ARTHUR RUSSELL,World Of Echo,"ARTHUR RUSSELL

              —
              World Of Echo
            
              (Rough Trade / Audika Records)",Rough Trade / Audika Records,"One of the most important and beautiful albums of the late 20th century...

'World Of Echo' was originally released on vinyl in 1986 on Upside Records and has been an essential but hard to find collectors item ever since. Audika gifted the world this new vinyl pressing a few years back - freshly remastered from the recording sessions, including beatless versions of... more",/products/world-of-echo-remastered-revised-edition,https://assets.boomkat.com/spree/products/372948/product/880301100223_T17928657820054.jpg,1696,Andrew Johnson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1696
2,i-ve-been-trying-to-tell-you,3,SAINT ETIENNE,I’ve Been Trying To Tell You,"SAINT ETIENNE

              —
              I’ve Been Trying To Tell You
            
              (Heavenly Recordings)",Heavenly Recordings,"Saint Etienne return with their 10th album.

""The album was made largely from samples and sounds drawn from the years 1997-2001, a period that was topped and tailed by Labour's election victory and the terrorist attack on the Twin Towers. Was the optimism of that era a lost golden age, or was it a period of naïvety, delusion and folly? The collective folk memory... more",/products/i-ve-been-trying-to-tell-you,https://assets.boomkat.com/spree/products/754270/product/Saint-Etienne-Ive-Been-Trying-To-Tell-You-1627397225.png,1696,Andrew Johnson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1696
3,preform,4,Higher Intelligence Agency,Preform,"Higher Intelligence Agency

              —
              Preform
            
              (Headphone)",Headphone,"Preform brings together a selection of tracks originally recorded around the time of HIA's first album ""Colourform"", some released on compilations such as the Artificial Intelligence series on Warp Records and the Ambient Dub series on Beyond Records, some previously available only on ‘Live at Oscillate’ cassettes. 

""Gathered together for the first time into one... more",/products/preform,https://assets.boomkat.com/spree/products/645316/product/5050580734432.jpg,1696,Andrew Johnson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1696
4,do-you-remember-when-it-was-all-about-the-drums-parts-i-ii,5,DOWNPOUR,"Do You Remember When It Was All About The Drums? 
            
              (Home Assembly Music)","DOWNPOUR

              —
              Do You Remember When It Was All About The Drums? (Parts I & II)
            
              (Home Assembly Music)",Parts I & II,"Hood’s Chris Adams summons the ghosts of ’94 under his jungle/breakbeat alias Downpour.

Also known as Bracken for his instrumental hip hop output, Adams serves up his first proper release under the Downpour alias in over 20 years, drawing on scattershot digital self-releases for a definitive overview of his work during the past decade. Extant since the late ‘90s... more",/products/do-you-remember-when-it-was-all-about-the-drums-parts-i-ii,https://assets.boomkat.com/spree/products/751320/product/5056321652584_T12_Image.jpg,1696,Andrew Johnson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1696
5,reagenz,6,Reagenz,rEAGENZ,"Reagenz

              —
              rEAGENZ
            
              (Musique Pour La Danse)",Musique Pour La Danse,"Mindbending Artificial Intelligence-era business from David Moufang (Move D) and Jonah Sharp (Spacetime Continuum), remastered and still sounding like one of the finest records of its time. One for anyone thirsty for more longform electro-ambient backroom cloudiness in the vein of B12, 'Incunabula'-era AE, The Black Dog, Speedy J, F.U.S.E. or Bola. Also... more",/products/reagenz,https://assets.boomkat.com/spree/products/738511/product/5414165125099_T9_Image.jpg,1696,Andrew Johnson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1696
6,rock-ffe0b558-2d18-44a6-b981-0a0b2577571d,7,ROCK,ROCK,"ROCK

              —
              ROCK
            
              (Home Assembly Music)",Home Assembly Music,,/products/rock-ffe0b558-2d18-44a6-b981-0a0b2577571d,https://assets.boomkat.com/spree/products/777362/product/5056321665614_T11_Image.jpg,1696,Andrew Johnson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1696
7,iveseeneverythingpastnightfromglasgow,8,The Trashcan Sinatras,I’ve seen everything (past night from Glasgow),"The Trashcan Sinatras

            —
            I’ve seen everything (past night from Glasgow)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1696,Andrew Johnson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1696
8,stilliantape,9,MPU101,s/t (Illian Tape),"MPU101

            —
            s/t (Illian Tape)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1696,Andrew Johnson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1696
9,a-miscellany-for-the-quiet-hours-2fe86879-f5c0-4775-ad0d-c0bd300391ba,10,THE HUMBLE BEE,A Miscellany for the Quiet Hours,"THE HUMBLE BEE

              —
              A Miscellany for the Quiet Hours
            
              (Astral Industries)",Astral Industries,"Astral Industries illuminate the highly prized first Cotton Goods release by Craig Tattersall (The Remote Viewer, The Boats), first issued on CD in 2009 to present his deeply charming solo work as The Humble Bee, and now impossible to find.

‘A Miscellany for the Quiet Hours’ takes its second bow and a new life on vinyl with the label best known for more... more",/products/a-miscellany-for-the-quiet-hours-2fe86879-f5c0-4775-ad0d-c0bd300391ba,https://assets.boomkat.com/spree/products/736597/product/5051142075659.jpg,1696,Andrew Johnson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1696
