,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,promises-ea8a73e4-3c79-4935-adf0-50b8a78ba615,1,"Floating Points, Pharoah Sanders & The London Symphony Orchestra",Promises,"Floating Points, Pharoah Sanders & The London Symphony Orchestra

              —
              Promises
            
              (Luaka Bop)",Luaka Bop,"Apparently it's been over a decade since avant jazz deity Pharoah Sanders recorded any new music, it took Sam Shephard aka Floating Points to coax the 80 year old out of near-retirement. 

Anyone familiar with Sanders' work will know how life-affirming his music can be, from his early work with John Coltrane, through 1967's mind-altering ""Tauhid"" to his... more",/products/promises-ea8a73e4-3c79-4935-adf0-50b8a78ba615,https://assets.boomkat.com/spree/products/715594/product/0680899009720_1448.jpg,1589,Barry Adamson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1589
1,nocturnalmanoeuvres,2,John (Times Two),Nocturnal Manoeuvres,"John (Times Two)

            —
            Nocturnal Manoeuvres",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1589,Barry Adamson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1589
2,bringbacks,3,Alpha Mist,Bring Backs,"Alpha Mist

            —
            Bring Backs",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1589,Barry Adamson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1589
3,nine,4,Sault,Nine,"Sault

            —
            Nine",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1589,Barry Adamson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1589
4,swing-from-the-sean-delear,5,Kid Congo and the Pink Monkey Birds,Swing From The Sean DeLear,"Kid Congo and the Pink Monkey Birds

              —
              Swing From The Sean DeLear
            
              (In The Red)",In The Red,,/products/swing-from-the-sean-delear,https://assets.boomkat.com/spree/products/714002/product/759718535914.jpg,1589,Barry Adamson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1589
5,decipheringthemessage,6,Makaya Macraven,Deciphering The Message,"Makaya Macraven

            —
            Deciphering The Message",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1589,Barry Adamson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1589
6,in-the-earth-original-music,7,CLINT MANSELL,"In The Earth 
            
              (INVADA Records)","CLINT MANSELL

              —
              In The Earth (Original Music)
            
              (INVADA Records)",Original Music,"Clint Mansell's synth score to Ben Wheatley's ""In The Earth”

""For the score, Mansell actually captured the sound of singing plants via PlantWave MIDI sprout machine, in keeping with the vegetal themes of the film.

""It's big, ominous, sometimes beautiful and often eerie -- think Blade Runner or Annihilation -- not to mention unsettling at times."" Clint says... more",/products/in-the-earth-original-music,https://assets.boomkat.com/spree/products/732257/product/5051083167604.jpg,1589,Barry Adamson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1589
7,fatigue-5b578eb7-3b64-480a-9a8e-8481d1e06620,8,L'Rain,Fatigue,"L'Rain

              —
              Fatigue
            
              (Mexican Summer)",Mexican Summer,"Ambitious, genre-melting, world-building, poetic Black sonic confuzzion from Brooklyn's L'Rain. ""Fatigue"" refuses to stay still for a moment, dissolving blues, gospel, jazz, experimental electronics, prog, new age and psych rawk into a luscious, theatrical production that practically jumps from the speakers. 

'Fatigue' is multi-instrumentalist producer Taja... more",/products/fatigue-5b578eb7-3b64-480a-9a8e-8481d1e06620,https://assets.boomkat.com/spree/products/724910/product/184923130966.jpg,1589,Barry Adamson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1589
8,the-watchful-eye-of-the-stars,9,Adrian Crowley,The Watchful Eye Of The Stars,"Adrian Crowley

              —
              The Watchful Eye Of The Stars
            
              (Chemikal Underground Records)",Chemikal Underground Records,"'The Watchful Eye Of The Stars’ is Adrian’s ninth studio album. Produced by luminary John Parish (Aldous Harding, PJ Harvey), this collection of ten songs invites us to join Adrian at his storytelling best, regaling us with tales of travel and wonder, by sea, by road, all quietly transfixing, transformative and wholly captivating. 

""Suffused with a hazy and... more",/products/the-watchful-eye-of-the-stars,https://assets.boomkat.com/spree/products/737027/product/5024545912685.jpg,1589,Barry Adamson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1589
9,for-the-first-time-ec90a67d-4c70-4609-8568-79a10c92e578,10,"Black Country, New Road",For the first time,"Black Country, New Road

              —
              For the first time
            
              (Ninja Tune)",Ninja Tune,"Black Country, New Road is a new seven-piece: Charlie (Drums), Georgia (Violin), Isaac (Guitars/Vocals), Lewis (Saxophone), May (Synthesiser), Luke (Guitar) and Tyler (Bass).

""The latest stars from the burgeoning and famed Brixton Windmill scene, which also fostered the rise of contemporaries Black Midi, Squid and more. ‘For The First Time’ features six new... more",/products/for-the-first-time-ec90a67d-4c70-4609-8568-79a10c92e578,https://assets.boomkat.com/spree/products/701309/product/5054429142419_T7_Image.jpg,1589,Barry Adamson,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1589
