,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,inkjet-fluo,1,Beatrice Dillon & Call Super,Inkjet / Fluo,"Beatrice Dillon & Call Super

              —
              Inkjet / Fluo
            
              (HESSLE AUDIO)",HESSLE AUDIO,"Beatrice Dillon & Call Super toy with the dance in two supple, slinky riddims in a killer collaborative push ’n pull for Hessle Audio.

With both producers really coming into their own over the last few years, Beatrice with an acclaimed run of 12” and LP issues for our 12X12 series, The Trilogy Tapes and Alien Jams, and Call Super for Dekmantel and Houndstooth, these... more",/products/inkjet-fluo,https://assets.boomkat.com/spree/products/442611/product/Beatrice.jpg,1608,Bendik Giske,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1608
1,colourgrade,2,TIRZAH,Colourgrade,"TIRZAH

              —
              Colourgrade
            
              (Domino Recording Co)",Domino Recording Co,"Tirzah's second album is a fuzz'd-aut, narcotic dreamscape, all screwed trip-pop soulfulness and buzzing, chaotic layers of harmonic noize and hazy ambience. An even slower burn than her cult debut, ""Colourgrade"" is subtly surprising and calmly mindblowing - co-produced again with Mica Levi and Coby Sey plus an additional stealth production job from Kwake... more",/products/colourgrade,https://assets.boomkat.com/spree/products/748184/product/887828047666_T11_Image.jpg,1608,Bendik Giske,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1608
2,worksfororgan,3,"György Ligety, Piet van der Steen",Works for Organ,"György Ligety, Piet van der Steen

            —
            Works for Organ",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1608,Bendik Giske,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1608
3,im-hole,4,Aya,im hole,"Aya

              —
              im hole
            
              (Hyperdub)",Hyperdub,"AYA rinses out garage, grime, jungle, rap and mutant IDM on a killer debut album of head-spinning, freehand tekkers, plus an ace guest spot by MC/producer Iceboy Violet. Big RIYL Arca, Autechre, Klein, Mykki Blanco

Landing five years since she first snagged attention as Loft, it’s been a real pleasure to witness AYA really come into her own via distinctive... more",/products/im-hole,https://assets.boomkat.com/spree/products/753678/product/5056321637758_T12_Image.jpg,1608,Bendik Giske,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1608
4,debiasing,5,Barker,Debiasing,"Barker

              —
              Debiasing
            
              (Ostgut Ton)",Ostgut Ton,"Sam Barker (ov & Baumecker fame) makes his 2nd solo strike with the flash fwd designs of Debiasing for Ostgut Ton

Cascade Effect gives a hyper coloured start, with bouncing chords and clipped 2-step groove coming off like a softened Mark Fell or a sweeter Second Woman workout, followed by the pointillist percolations of When Prophecy Fails on a trance... more",/products/debiasing,https://assets.boomkat.com/spree/products/506461/product/0880319938610.jpg,1608,Bendik Giske,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1608
5,unfold-59fac63b-7271-49d1-85b4-9e84dd24148f,6,THE NECKS,Unfold,"THE NECKS

              —
              Unfold
            
              (Ideologic Organ)",Ideologic Organ,"The cult Australian trio align with Stephen O’Malley’s label for a fine new album.

After delivering a trilogy of albums for their own Fish Of Milk label, Chris Abrahams, Lloyd Swanton and Tony Buck resurface with a new long player as The Necks on Ideologic Organ. Few other bands can grapple three decades of genre-defying musical innovation and still sound... more",/products/unfold-59fac63b-7271-49d1-85b4-9e84dd24148f,https://assets.boomkat.com/spree/products/389897/product/5050580664135.jpg,1608,Bendik Giske,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1608
6,bach-goldberg-variations,7,Glenn Gould,Bach: Goldberg Variations,"Glenn Gould

              —
              Bach: Goldberg Variations
            
              (Trunk Records)",Trunk Records,,/products/bach-goldberg-variations,https://assets.boomkat.com/spree/products/88649/product/original.jpg,1608,Bendik Giske,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1608
7,komachi,8,Meitei,Komachi,"Meitei

              —
              Komachi
            
              (Métron Records)",Métron Records,"Meitei follows the ghostly beauty found on the sublime Kwaidan tape with a second album of minimalist and fragrant ambient scenery for Séance Centre’s outlet for Japanese music, Métron.

Doubling the label’s tally after 7FO’s ‘Moment’ 2LP, ‘Komachi’ yields a more serene angle to Meitei’s music in 12 instrumental parts rippling with fleeting melodies... more",/products/komachi,https://assets.boomkat.com/spree/products/582951/product/193483702827.jpg,1608,Bendik Giske,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1608
8,blue-alibi,9,Mica Levi,Blue Alibi,"Mica Levi

              —
              Blue Alibi
            
              (Mica Levi)",Mica Levi,"Ever-unpredictable genius Mica Levi sports a wickedly loose new album following hot on the heels of that Ruff Dog pearl just a few weeks ago.

It appears that the award-winning composer is here joined by their Curl collective in ‘Blue Alibi’ for an album that almost preternaturally collapses the vernacular of grunge rock, free jazz, indie-pop, rap, and chamber... more",/products/blue-alibi,https://assets.boomkat.com/spree/products/724286/product/5060263722861.jpg,1608,Bendik Giske,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1608
9,fen,10,Wacław Zimpel,Fen,"Wacław Zimpel

            —
            Fen",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1608,Bendik Giske,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1608
