,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,rhinestones-dd7ccab9-33de-4688-b683-c52577904092,1,HTRK,Rhinestones,"HTRK

              —
              Rhinestones
            
              (N&J Blueberries)",N&J Blueberries,"Our album of the year 2021 is ‘Rhinestones’, the 5th studio album by HTRK. It finds the duo stripped to a quietly cathartic, windswept arrangement of bare vocals rent with spectral webs of synth and countrified guitar in a wholly inimitable style that’s enveloped and crushed our spirit like nothing else we heard all year. It does that thing so few albums do of... more",/products/rhinestones-dd7ccab9-33de-4688-b683-c52577904092,https://assets.boomkat.com/spree/products/756840/product/Cover.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
1,harmattan-6494b211-e6c2-4a74-b98e-0535c014c824,2,Klein,Harmattan,"Klein

              —
              Harmattan
            
              (Pentatone)",Pentatone,"Radical “discomposer” Klein renders her naturally avant slant on classical paradigms with utterly captivating results featuring guest vox by Charlotte Church for the Pentatone label. A massive RIYL Alice Coltrane, Actress, Robert AA Lowe, Wanda Group, Yvette Janine Jackson, Mark Leckey.

Five years since her cult first release ‘Only’ sent everyone reeling... more",/products/harmattan-6494b211-e6c2-4a74-b98e-0535c014c824,https://assets.boomkat.com/spree/products/761966/product/a2844532200_10.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
2,ballads-1f373ea7-7085-4510-9f54-babc53b660e8,3,Time is Away,Ballads,"Time is Away

              —
              Ballads
            
              (Fleetway Tapes)",Fleetway Tapes,"Yeah this one’s a bit special; selected and arranged by Jack Rollo and Elaine Tierney, ‘Ballads’ is a waking-dream meander through beautiful, romantic, weird, exotic, intimate, un-categorisable music that shouldn't go together but yet somehow makes complete sense, offering a sort of spiritual life-enhancement in the process. It’s a bit like discovering a portal... more",/products/ballads-1f373ea7-7085-4510-9f54-babc53b660e8,https://assets.boomkat.com/spree/products/717095/product/Cover.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
3,ccxi,4,RICHARD YOUNGS,CXXI,"RICHARD YOUNGS

              —
              CXXI
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Awe-inspiring sedated slowcore meditations from prolific British underground legend Richard Youngs. Using trombone, organesque sine waves, a snare drum, and vocals, Youngs conducts an atmosphere that straddles the tranquil midnight chime of Bohren & der Club of Gore, Low, Alice Coltrane, Andrew Chalk or Black Truffle boss Oren Ambarchi... more",/products/ccxi,https://assets.boomkat.com/spree/products/762132/product/4250101430008.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
4,black-metal-2,5,Dean Blunt,Black Metal 2,"Dean Blunt

              —
              Black Metal 2
            
              (Rough Trade)",Rough Trade,"One of those releases that makes you feel like no other music exists for a hot minute, Dean Blunt returns with a second Black Metal album for Rough Trade, delving deeper into his unfathomable yet completely approachable and direct take on visceral x melancholic folk-pop. Spoiler: It’s really fucking good.

Aided on most of the songs here by Joanne... more",/products/black-metal-2,https://assets.boomkat.com/spree/products/744800/product/191402025354_T11_Image.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
5,rat-heart,6,Rat Heart,Rat Heart,"Rat Heart

              —
              Rat Heart
            
              (Shotta Tapes)",Shotta Tapes,"Perhaps our most rinsed record this year - the first album, proper, from Tom Boogizm’s Rat Heart is finally here, an all-over-the place rendition of scuzzy soul knocks and frazzled steez that somehow manages to sound like Arthur Russell, Urban Tribe and The Other People Place all at once. Seriously - AOTY gear right here.

Panel-beating house, rap, post-punk... more",/products/rat-heart,https://assets.boomkat.com/spree/products/749287/product/Cover.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
6,under-the-conditions,7,LERON CARSON,Under The Conditions,"LERON CARSON

              —
              Under The Conditions
            
              (Sound Signature)",Sound Signature,"Posthomous release of some of the barest mechanics and deadliest Chicago House you’ll likely ever hear, mostly recorded in the 80’s and now finally released via Carson’s long time disciples at Sound Signature. Best believe that this is the OG shit, never bettered, most of it previously unreleased - all of it a total fucking education. R.I.P legend. 

The cover of LeRon... more",/products/under-the-conditions,https://assets.boomkat.com/spree/products/777428/product/196292610239.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
7,lucy-aaron,8,Aaron Dilloway & Lucrecia Dalt,Lucy & Aaron,"Aaron Dilloway & Lucrecia Dalt

              —
              Lucy & Aaron
            
              (HANSON)",HANSON,"Deadly screwy weirdness from Aaron Dilloway & Lucrecia Dalt keenly anticipated first full-length communion, getting down with supremely grubby weirdo pop for Dilloway's cult Hanson imprint.

Ten years ago, Dilloway & Dalt met at a festival in Spain and traded releases - when Dalt was asked who she wanted to tour with in North America a few years later... more",/products/lucy-aaron,https://assets.boomkat.com/spree/products/751325/product/Coverrrrr.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
8,colourgrade,9,TIRZAH,Colourgrade,"TIRZAH

              —
              Colourgrade
            
              (Domino Recording Co)",Domino Recording Co,"Tirzah's second album is a fuzz'd-aut, narcotic dreamscape, all screwed trip-pop soulfulness and buzzing, chaotic layers of harmonic noize and hazy ambience. An even slower burn than her cult debut, ""Colourgrade"" is subtly surprising and calmly mindblowing - co-produced again with Mica Levi and Coby Sey plus an additional stealth production job from Kwake... more",/products/colourgrade,https://assets.boomkat.com/spree/products/748184/product/887828047666_T11_Image.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
9,princess-diana-of-wales-99ede083-fb9e-4861-b6bd-4b0b763c1e3f,10,Princess Diana of Wales,Princess Diana of Wales,"Princess Diana of Wales

              —
              Princess Diana of Wales
            
              (A Colourful Storm)",A Colourful Storm,"Laila Sakini fleshes out her Princess Diana of Wales avatar on a quietly stunning album of slowburn, coygaze dream-pop for the ever-wonderful A Colourful Storm.

Following a trio of wonders released last year - her AOTY contending ‘Vivienne’ and it’s endlessly layered 'Into the Traffic, Under the Moonlight’ companion piece, as well as a brilliantly distinctive... more",/products/princess-diana-of-wales-99ede083-fb9e-4861-b6bd-4b0b763c1e3f,https://assets.boomkat.com/spree/products/773353/product/4251804130820_2500.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
10,im-hole,11,Aya,im hole,"Aya

              —
              im hole
            
              (Hyperdub)",Hyperdub,"AYA rinses out garage, grime, jungle, rap and mutant IDM on a killer debut album of head-spinning, freehand tekkers, plus an ace guest spot by MC/producer Iceboy Violet. Big RIYL Arca, Autechre, Klein, Mykki Blanco

Landing five years since she first snagged attention as Loft, it’s been a real pleasure to witness AYA really come into her own via distinctive... more",/products/im-hole,https://assets.boomkat.com/spree/products/753678/product/5056321637758_T12_Image.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
11,soaked-in-indigo-moonlight,12,Parris,Soaked In Indigo Moonlight,"Parris

              —
              Soaked In Indigo Moonlight
            
              (Can You Feel The Sun)",Can You Feel The Sun,"UK club music’s deftest yields a killer debut album of screwball pop romance, squirrely garage, slow/fast f*ckery, and patented beatdown slants, one of the year's finest.

Prized for his free metered approach to the UK dance prism, Parris has become a standard bearer for new mutations of UK Bass: a shorthand catch-all description for derivations of house... more",/products/soaked-in-indigo-moonlight,https://assets.boomkat.com/spree/products/766368/product/5056321655073_T11_Image.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
12,number-pieces,13,JOHN CAGE,Number Pieces,"JOHN CAGE

              —
              Number Pieces
            
              (Another Timbre)",Another Timbre,"Another Timbre finally realise their long-held ambition of putting together new recordings of John Cage’s Number Pieces, here performed by Apartment House who shine a light on Cage’s late period “reconciliation with harmony” on a staggering set of recordings that span over 5 hours in length and which will likely upend everything you thought you knew about... more",/products/number-pieces,https://assets.boomkat.com/spree/products/763436/product/0025302482_10.jpeg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
13,teenage-lontano,14,Marina Rosenfeld,Teenage Lontano,"Marina Rosenfeld

              —
              Teenage Lontano
            
              (Room 40)",Room 40,"Incredible album of avant-R&B and spectral orchestral wonders finding NYC concrète artist Marina Rosenfeld recording two youth choirs and then layering/phasing them in the most absorbing and provoking way imaginable, poking a spot in our minds somewhere between György Ligeti and Klein.

The first time release of two mesmerising works dating to... more",/products/teenage-lontano,https://assets.boomkat.com/spree/products/759019/product/196292327380.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
14,honest-labour,15,Space Afrika,Honest Labour,"Space Afrika

              —
              Honest Labour
            
              (Dais Records)",Dais Records,"Manchester family Space Afrika's Dais debut is a sprawling, genre melted tapestry of charged diasporic innovation and unshakably Northern, British working class eccentricity >> Like Dean Blunt, DJ Spooky, Cocteau Twins, Klein, West Mineral, Tricky, Third Eye Foundation, Actress 'n Michael Nyman boiled into a waxy narrative epic, 'Honest Labour' is as smoky... more",/products/honest-labour,https://assets.boomkat.com/spree/products/747760/product/011586671850_T75275044080054.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
15,glass-lit-dream,16,Dawuna,Glass Lit Dream,"Dawuna

              —
              Glass Lit Dream
            
              (O___o?)",O___o?,"Smouldering bedroom R&B flex from Brooklyn’s Dawuna, making strong debut moves on the ace O___o? label behind that Ize bullet and LA Timpa’s first record. if u like it slow x dripping in a prince/d'angelo style with a sort of pre-millennial tension/nearly god seam of dread running through it, this is dead, dead strong

Slow baked for a gooey core and crispy... more",/products/glass-lit-dream,https://assets.boomkat.com/spree/products/774136/product/5056495291985_T11_Image.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
16,never-the-right-time,17,ANDY STOTT,Never The Right Time,"ANDY STOTT

              —
              Never The Right Time
            
              (Modern Love)",Modern Love,"It’s been a decade since Andy Stott released ‘Passed Me By’, a radical re-imagining of dance music as an expression of “physical and spiritual exhaustion” (Pitchfork). What followed was a process of rapid remodelling: ‘We Stay Together’ (2011 / slow and f*cked, for the club), ‘Luxury Problems’ (2012 / greyscale romance), ‘Faith In Strangers’ (2014/ destroyed... more",/products/never-the-right-time,https://assets.boomkat.com/spree/products/728458/product/Cover_Art.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
17,teenage-dreams-d7c44df8-e03a-4590-a384-381bd1e7830a,18,Native Soul,Teenage Dreams,"Native Soul

              —
              Teenage Dreams
            
              (AWESOME TAPES FROM AFRICA)",AWESOME TAPES FROM AFRICA,"ATFA on their A-game with a debut album of Amapiano aces by Native Soul, the teenaged, Gauteng-based duo of Kgothatso Tshabalala and Zakhele Mhlanga (DJ Zakes)

Arriving in the vein of ATFA’s arguably overlooked zingers by Teno Afrika and DJ Black Low, Native Soul’s efforts should be set to catch fire with a rapidly expanding global audience for Amapiano, or... more",/products/teenage-dreams-d7c44df8-e03a-4590-a384-381bd1e7830a,https://assets.boomkat.com/spree/products/758588/product/617308007626_T75553755540054.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
18,cracks-1f2e6b9e-881f-4ae6-89e3-b72cc2e79617,19,Bendik Giske,Cracks,"Bendik Giske

              —
              Cracks
            
              (Smalltown Supersound)",Smalltown Supersound,"One of those records that’s been steadily creeping up on us to a point of near obsession, Norwegian sax virtuoso Bendik Giske’s new album is a proper slow burn, building sound-whirls that tick all the usual contemporary sax reference points - Colin Stetson, Alex Zhang Hungtai’s Love Theme -  but dripping with a kind of humid intensity that’s unlike anything... more",/products/cracks-1f2e6b9e-881f-4ae6-89e3-b72cc2e79617,https://assets.boomkat.com/spree/products/758384/product/7072822381011.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
19,medieval-femme,20,Fatima Al Qadiri,Medieval Femme,"Fatima Al Qadiri

              —
              Medieval Femme
            
              (Hyperdub)",Hyperdub,"On her followup to 2017's ""Shaneera"", Fatima Al Qadiri dematerializes into a k-holed fever dreamscape, rotoscoping classical Arab poetry and breathing new life into secret histories. It's properly singular material that unveils a mystical connexion between early music and the sensual, hyperreal worlds Al Qadiri has been navigating since ""Desert Strike"".

Al... more",/products/medieval-femme,https://assets.boomkat.com/spree/products/726220/product/5056321637352_T11_Image.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
20,last-exit-to-chickenley,21,Mark Fell & Rian Treanor,Last exit to Chickenley,"Mark Fell & Rian Treanor

              —
              Last exit to Chickenley
            
              (Boomkat Editions | Documenting Sound)",Boomkat Editions | Documenting Sound,"As far as we can tell this is the first full length collaboration between Mark Fell and his son Rian Treanor, a sprawling, incredibly detailed 90 minute opus that sits somewhere between pastoral/environmental music and plasmic Musique Concrète, recorded in and around their garden in Rotherham, South Yorkshire over the summer last year. We’ve... more",/products/last-exit-to-chickenley,https://assets.boomkat.com/spree/products/726360/product/Mark_Fell_Rian_Treanor_Distribution_Preview_V1.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
21,lamunan,22,Antonina Nowacka,Lamunan,"Antonina Nowacka

              —
              Lamunan
            
              (Mondoj)",Mondoj,"Uhh this is so next level! Polish artist Antonina Nowacka came up with the idea for ""Lamunan"" while exploring a cave in Java and singing into the resonant void. When she returned to Warsaw, she looked for a space that had similar sonic properties and found an old fortress, recording a set of eerie choral compositions that bend time and dance thru perception... more",/products/lamunan,https://assets.boomkat.com/spree/products/690232/product/880918251455.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
22,bipp-autechre-mx,23,Sophie,"BIPP (Autechre Mx) / UNISIL
            
              (Numbers)","Sophie

              —
              BIPP (Autechre Mx) / UNISIL
            
              (Numbers)",Autechre Mx / UNISIL,"Autechre, aye, casually flip SOPHIE’s ‘BIPP' heater into a sort of freestyle pop diamond to get 2021 off on the right foot. We’re massively feeling this...

Way back in 2013, the addictive electro-pop additives of ‘BIPP’ helped position SOPHIE among the decade’s thrilling new talents after introductions made on the ‘Nothing More To Say’ 12”. SOPHIE has since admitted... more",/products/bipp-autechre-mx,https://assets.boomkat.com/spree/products/711874/product/5060163491812_T69811517390054.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
23,on-the-edge-3ae58551-fc61-4c27-a592-effc01e0754e,24,MMM (Errorsmith & Fiedel),On the Edge,"MMM (Errorsmith & Fiedel)

              —
              On the Edge
            
              (MMM)",MMM,"At freaking last, arch innovators/influencers MMM aka Erik Wiegand (Errorsmith) and Michael Fiedler (Berghain/Wax Treatment resident DJ Fiedel) deliver a 25-year-in-the-making debut album testament to their raving nous, suitably reading the room for an off-peak session of etheric, killer electro-dub minimalism.

Landing a quarter of a century since their... more",/products/on-the-edge-3ae58551-fc61-4c27-a592-effc01e0754e,https://assets.boomkat.com/spree/products/772687/product/4044693008888.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
24,nothing-new-under-the-sun,25,Time Binding Ensemble,Nothing New Under the Sun,"Time Binding Ensemble

              —
              Nothing New Under the Sun
            
              (Kit Records)",Kit Records,"Extremely beautiful neo-classical experiments from Kay Logan, a shapeshifting Scottish artist whose previous releases as Helena Celle and Otherworld were also blessed with a rare sorta magick like this one. Really, properly essential listening if yr into Leyland Kirby, BoC interludes,   ferric bliss.

Crossing our paths as Time Binding Ensemble for the first time... more",/products/nothing-new-under-the-sun,https://assets.boomkat.com/spree/products/719890/product/5050580755932.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
25,lumme,26,Cucina Povera,Lumme,"Cucina Povera

              —
              Lumme
            
              (Primordial Void)",Primordial Void,"Cucina Povera casts her glossolalic magic in a swirl of durational excursions for voice, organ and synth, full of messed-up laser etched ambient-pop hymns, making for an insanely strong debut with Primordial Void (Oï les Ox, Roxane Meatier, Susu Laroche) - this stuff sounds like nowt else.

Always welcome around this way, the Glasgow-based Finnish artist... more",/products/lumme,https://assets.boomkat.com/spree/products/739091/product/cover.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
26,ruff-dog-7730a7bd-675d-442f-878a-21e3274c3a60,27,Mica Levi,Ruff Dog,"Mica Levi

              —
              Ruff Dog
            
              (Mica Levi)",Mica Levi,"Has Mica Levi ever made a bad record?

Shapeshifting genius Mica Levi does dream-pop with scorched, screwed effect somewhere between MBV, Spacemen 3 and Arthur Russell, and now available on its first vinyl pressing with their own label.

Thanks to pressing plant lags the physical item ‘Ruff Dog’ finally appears six months after the digital release, and... more",/products/ruff-dog-7730a7bd-675d-442f-878a-21e3274c3a60,https://assets.boomkat.com/spree/products/711023/product/5060263722878.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
27,viridescens,28,Francesco Cavaliere & Tomoko Sauvage,Viridescens,"Francesco Cavaliere & Tomoko Sauvage

              —
              Viridescens
            
              (Marionette)",Marionette,"Francesco Cavaliere & Tomoko Sauvage explore the semiotics of the colour green in a probing, quietly absorbing suite of records from their ongoing and highly promising collaboration.

Both responsible for some of the most beguiling releases in recent memory, Tomoko Sauvage brings her porcelain bowls, water sounds and array of hydrophones to Francesco... more",/products/viridescens,https://assets.boomkat.com/spree/products/758970/product/196292058062.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
28,sensational-14602be1-b8fc-4382-b972-df1490b6acf5,29,Erika de Casier,Sensational,"Erika de Casier

              —
              Sensational
            
              (4AD)",4AD,"Utterly sublime R&B/Sade-licked late night slickness from Portuguese-Danish wunderkind Erika De Casier, deploying whisper-soft pop that's injected with the lurching club-adjacent snap of Timbaland, Neptunes, Teddy Riley, MJ Cole and Sunship > jaw on the floor, tear in the eye.

When Erika de Casier's debut album ""Essentials"" dropped in 2019, it felt... more",/products/sensational-14602be1-b8fc-4382-b972-df1490b6acf5,https://assets.boomkat.com/spree/products/740909/product/191400035454_T14_Image.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
29,august-sounds,30,Laura Cannell and Kate Ellis,AUGUST SOUNDS,"Laura Cannell and Kate Ellis

              —
              AUGUST SOUNDS
            
              (Brawl Records)",Brawl Records,"Un-bloody-missable highlight of Cannell & Ellis’ eminently watchable series of folk and classical string improvisations, unexpectedly looking eastward for one of its strongest, most memorable editions - including a Stewart Lee guest vocal, to boot and reliably mindbending contribution from Rhodri Davies.

Without explanation their ‘August’ instalment sees... more",/products/august-sounds,https://assets.boomkat.com/spree/products/758839/product/5056321653765_T6_Image.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
30,night-in-tijuana,31,Kelman Duran,Night In Tijuana,"Kelman Duran

              —
              Night In Tijuana
            
              (Scorpio Red)",Scorpio Red,"Kelman Duran fades to dusk on this killer, smeared new album of steamy, syncopated kicks, spiritual jazz and haunted, weightless textures, nailing a singular sort of ambient dembow folk modernism that comes with our highest possible recommendation - and especially so if yr feeling Nala Sinephro, Space Afrika, Tara Clerkin Trio, Amazondotcom... more",/products/night-in-tijuana,https://assets.boomkat.com/spree/products/766150/product/cover.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
31,sylva-sylvarum,32,Ora Clementi,Sylva Sylvarum,"Ora Clementi

              —
              Sylva Sylvarum
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Quietly extraordinary dream-weaving from crys cole & James Rushford’s Ora Clementi duo, invoking an unpredictable, otherworldly play of light/shadow and top shelf electro-acoustic sorcery comparable with Robert Ashley’s Private Parts, Jane Arden & Jack Bond’s 'Anti​-​Clock' soundtrack, via Claire Rousay, Perila, early digital GRM.

Sylva Sylvarum’ documents... more",/products/sylva-sylvarum,https://assets.boomkat.com/spree/products/747825/product/4250101427848.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
32,pigeonpostparis,33,Hanne Lippard,PigeonPostParis,"Hanne Lippard

              —
              PigeonPostParis
            
              (Boomkat Editions | Documenting Sound)",Boomkat Editions | Documenting Sound,"Hanne Lippard draws us into her unique soundworld, narrating life in Paris through an un-sentimental but ultimately deeply moving audio diary, making use of seemingly humdrum observations for a layered, phonetically mesmerising work of art apt for this anomalous time.

If you’re new to Lippard’s work; she’s a conceptual artist of some significant acclaim, usually... more",/products/pigeonpostparis,https://assets.boomkat.com/spree/products/721928/product/Hanne_Lippard.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
33,mana-321ac330-36e8-43a8-8b9b-124dc93280ec,34,Jake Muir,Mana,"Jake Muir

              —
              Mana
            
              (Ilian Tape)",Ilian Tape,"Bathhouse ambient alchemist Jake Muir phase shifts to Ilian Tape for his headiest set yet - a re-imagining of the illbient genre that sublimes loose turntablism and fritzed industrial fuzz into haunted trace elements and gooey, tactile drones. One for fans of everyone from DJ Spooky and QBert to Pendant and Akira Rabelais. Next level!

An artist laser-focused on... more",/products/mana-321ac330-36e8-43a8-8b9b-124dc93280ec,https://assets.boomkat.com/spree/products/773603/product/4044693116842.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
34,and-salford-falls-apart,35,Blackhaine,And Salford Falls Apart,"Blackhaine

              —
              And Salford Falls Apart
            
              (HEAD II)",HEAD II,"‘And Salford Falls Apart’ is the searing 2nd EP of cinematic drill noise by North West polymath, Blackhaine; five tracks staging a brutalist, exhaustive expression of disaffection with life in a post Brexit England of the early 2020s, set to exemplary production by Rainy Miller & Croww - massive RIYL Death Grips, Joy Division, Space Afrika, PiL, Evian... more",/products/and-salford-falls-apart,https://assets.boomkat.com/spree/products/762383/product/Cover.jpg,1534,Boomkat Top Releases,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1534
