,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,drug-album,1,Chynna,drug opera,"Chynna

              —
              drug opera
            
              (TWIN)",TWIN,"Posthumous issue of a damn heavy new album by Philly rapper Chynna, riding speaker buckling instrumentals by Lil Peep producer Nedarb and Baton Rouge’s Suicideyear.

Landing over a year since Chynna tragically died aged only 25, ‘drug opera’ is a starkly gothic testament to her brooding, complex sound, which she herself described as music “for angry people... more",/products/drug-album,https://assets.boomkat.com/spree/products/757100/product/0840200506861.jpg,1663,Britton Powell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1663
1,crimson-poem,2,Yikii,Crimson Poem 深紅之詩,"Yikii

              —
              Crimson Poem 深紅之詩
            
              (Danse Noire)",Danse Noire,"Influenced by horror games, nursery rhymes and gabber, Chinese producer Yikii's first proper full-length is like Tim Burton on mushrooms - like a soundtrack to a Chinese reboot of ""A Nightmare Before Christmas"" rendered in luscious 4D. Bonkers and brilliant.

Since 2017, Changchun-based Yikii has released over 20 albums and EPs, but ""Crimson Poem"" is her... more",/products/crimson-poem,https://assets.boomkat.com/spree/products/755770/product/0756029612969.jpg,1663,Britton Powell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1663
2,kamil-manqus-060b7f5d-b246-4214-a464-6bb9ebe55148,3,Muqata'a,Kamil Manqus,"Muqata'a

              —
              Kamil Manqus
            
              (Hundebiss)",Hundebiss,"Ramallah's Muqata'a continues his flawless run with another disorienting blast of chaotic chopped breaks and lurching neo-beat tape MPC programming. Imagine Ras G collaborating with the SVBKBLT roster using samples from Middle Eastern radio transmissions: pure headmelters.

'Kamil Manqus' is the fifth full-length from Ramallah rhythm conductor... more",/products/kamil-manqus-060b7f5d-b246-4214-a464-6bb9ebe55148,https://assets.boomkat.com/spree/products/718008/product/5056321646989_T9_Image.jpg,1663,Britton Powell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1663
3,single-9f3a4922-664d-4569-819e-3e2878f581f5,4,PUB,Single,"PUB

              —
              Single
            
              (Ampoule Records)",Ampoule Records,"'Single' isn't just a reissue of Pub's similarly-titled 2002 set, it properly rounds up the Glaswegian dub techno reductionist's first three 12""s and adds a couple of vinyl exclusives. Long-form blunted dancefloor haziness never sounded so lovely: imagine Various Artists/T++, The Black Dog, BoC and Manuel Göttsching locked in a room wth some synths, drum... more",/products/single-9f3a4922-664d-4569-819e-3e2878f581f5,https://assets.boomkat.com/spree/products/769722/product/8718723187343.jpg,1663,Britton Powell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1663
4,kikommando,5,Various Artists,KIKOMMANDO,"Various Artists

              —
              KIKOMMANDO
            
              (PAN)",PAN,"PAN and Uganda's burgeoning Hakuna Kulala stable unite for this special edition book and album. Lining up an intense selection of vocalists, poets, singers and players - including Ecko Bazz, Swordman Kitala, Florence, Biga Yut and Winnie Lado - Hundebiss boss and sonic alchemist Simone Trabucchi (aka STILL) serves up a generous platter of glossily... more",/products/kikommando,https://assets.boomkat.com/spree/products/757686/product/kikomando.jpg,1663,Britton Powell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1663
5,ekizikiza-mubwengula,6,Don Zilla,Ekizikiza Mubwengula,"Don Zilla

              —
              Ekizikiza Mubwengula
            
              (Hakuna Kulala)",Hakuna Kulala,"Don Zilla's debut long player is a DSP-heavy descent into transdimensional subspace electronix, ruptured rhythmic analysis and humid, muscle-tensing textures. One of East Africa's most curious musical minds, Zilla offers a fresh take on clanking, hi-NRG bass music: it's like Slikback, Emptyset and Dreamcrusher beamed into yer brain simultaneously.

Following... more",/products/ekizikiza-mubwengula,https://assets.boomkat.com/spree/products/735941/product/742521169735_T73769158950054.jpg,1663,Britton Powell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1663
6,arcticdreams,7,John Luther Adams,Arctic Dreams,"John Luther Adams

            —
            Arctic Dreams",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1663,Britton Powell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1663
7,soft-waahls-ep,8,Blawan,Soft Waahls EP,"Blawan

              —
              Soft Waahls EP
            
              (Ternesc)",Ternesc,"Heavy tonker Blawan runs amok in his modular systems with six ruffshod techno screwballs for his Ternesc label.

Not your usual hard techno, the ’Soft Waahls’ EP sees him working off and around the kicks in freakier permutations of his hardcore style.

The bass drum diehards will get theirs in the offset, spongiform pressure of ‘Fizz City,’ while those open to... more",/products/soft-waahls-ep,https://assets.boomkat.com/spree/products/742955/product/8718723176057.jpg,1663,Britton Powell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1663
8,all-caps-b43dedec-7f5c-46de-b4b3-797e54c6c259,9,ZULI,All Caps,"ZULI

              —
              All Caps
            
              (UIQ)",UIQ,"ZULI’s long awaited follow-up to 2018’s ‘Terminal’ album, a killer new set of dextrous jungle amens meets razor-cut footwork - highly recommended if yr into DJ/Rupture, Mutamassik, Lee Gamble.

After a pair of standout EPs in 2016-17, ZULI’s debut LP ‘Terminal’ was hailed an album of the year by The Wire magazine and lit up playlists across the world. He was due... more",/products/all-caps-b43dedec-7f5c-46de-b4b3-797e54c6c259,https://assets.boomkat.com/spree/products/717432/product/ZULI.jpg,1663,Britton Powell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1663
9,black-metal-2,10,Dean Blunt,Black Metal 2,"Dean Blunt

              —
              Black Metal 2
            
              (Rough Trade)",Rough Trade,"One of those releases that makes you feel like no other music exists for a hot minute, Dean Blunt returns with a second Black Metal album for Rough Trade, delving deeper into his unfathomable yet completely approachable and direct take on visceral x melancholic folk-pop. Spoiler: It’s really fucking good.

Aided on most of the songs here by Joanne... more",/products/black-metal-2,https://assets.boomkat.com/spree/products/744800/product/191402025354_T11_Image.jpg,1663,Britton Powell,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1663
