,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,asemix,1,Asemix,Asemix,"Asemix

              —
              Asemix
            
              (Warm Winters Ltd.)",Warm Winters Ltd.,,/products/asemix,https://assets.boomkat.com/spree/products/744125/product/5050580765214.jpg,1673,Drew Daniel,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1673
1,im-hole,2,Aya,im hole,"Aya

              —
              im hole
            
              (Hyperdub)",Hyperdub,"AYA rinses out garage, grime, jungle, rap and mutant IDM on a killer debut album of head-spinning, freehand tekkers, plus an ace guest spot by MC/producer Iceboy Violet. Big RIYL Arca, Autechre, Klein, Mykki Blanco

Landing five years since she first snagged attention as Loft, it’s been a real pleasure to witness AYA really come into her own via distinctive... more",/products/im-hole,https://assets.boomkat.com/spree/products/753678/product/5056321637758_T12_Image.jpg,1673,Drew Daniel,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1673
2,schism-b2d1a44c-bda2-42c9-b8d2-fc2a58c359e6,3,Cheryl E. Leonard,Schism,"Cheryl E. Leonard

              —
              Schism
            
              (Mappa Editions)",Mappa Editions,"On 'Schism', sound artist and composer Cheryl E. Leonard imagines a sound world within her laptop in an attempt to grapple with the upset of the last year. Using near-silent field recordings and mic-ed up bottles, Leonard channels alienation and hope into affecting sonic art.

Leonard's approach on ""Schism"" is interesting. We've had no shortage of releases that... more",/products/schism-b2d1a44c-bda2-42c9-b8d2-fc2a58c359e6,https://assets.boomkat.com/spree/products/746613/product/880918254333.jpg,1673,Drew Daniel,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1673
3,invariant-42c4a90a-030c-44a6-9aa6-1ae357ef3154,4,Hoavi,Invariant,"Hoavi

              —
              Invariant
            
              (Peak Oil)",Peak Oil,"Peak Oil is proud to present Invariant, the first LP in three years from Russia’s best kept electronic music secret: Hoavi. 

""Originally intended for pre-pandemic release, this collection of emotive and intricate homages to the slippery nature of genre has only intensified in relevancy and urgency. 

From alt sci-fi dimension floor-filler “Streamline” to “Dver”, a... more",/products/invariant-42c4a90a-030c-44a6-9aa6-1ae357ef3154,https://assets.boomkat.com/spree/products/782097/product/196292140033.jpg,1673,Drew Daniel,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1673
4,music-for-six-rooms,5,Hoavi,Music for Six Rooms,"Hoavi

              —
              Music for Six Rooms
            
              (Balmat)",Balmat,"Balmat’s second release comes from Hoavi, aka Kirill Vasin, a Russian electronic musician whose work approaches what might be familiar reference points—deepest dub techno, atmospheric ambient, liquid drum’n’bass—with a singular point of view.

""We first became aware of Hoavi after coming across one of his tracks in a DJ mix by Leech, aka Peak Oil label... more",/products/music-for-six-rooms,https://assets.boomkat.com/spree/products/753167/product/4062548032055_T11_Image.jpg,1673,Drew Daniel,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1673
5,mana-321ac330-36e8-43a8-8b9b-124dc93280ec,6,Jake Muir,Mana,"Jake Muir

              —
              Mana
            
              (Ilian Tape)",Ilian Tape,"Bathhouse ambient alchemist Jake Muir phase shifts to Ilian Tape for his headiest set yet - a re-imagining of the illbient genre that sublimes loose turntablism and fritzed industrial fuzz into haunted trace elements and gooey, tactile drones. One for fans of everyone from DJ Spooky and QBert to Pendant and Akira Rabelais. Next level!

An artist laser-focused on... more",/products/mana-321ac330-36e8-43a8-8b9b-124dc93280ec,https://assets.boomkat.com/spree/products/773603/product/4044693116842.jpg,1673,Drew Daniel,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1673
6,painful-enlightenment,7,Jana Rush,Painful Enlightenment,"Jana Rush

              —
              Painful Enlightenment
            
              (Planet Mu Records Ltd.)",Planet Mu Records Ltd.,"Rudest footwork from the Chi’s Jana Rush, coming on strong with a 2nd album full of thee tuffest bass pressure, also starring guest chops from DJ Paypal and Nancy Fortune.

Stepping over to Planet Mu some 25 years after she debuted on Dance Mania as “The Youngest Female DJ,” Jana trades in her hardest, most uncompromising styles  in a totally... more",/products/painful-enlightenment,https://assets.boomkat.com/spree/products/738196/product/5055869565769_T12_Image.jpg,1673,Drew Daniel,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1673
7,str8-crooked,8,MADTEO,Str8 Crooked,"MADTEO

              —
              Str8 Crooked
            
              (Honest Jon's Records)",Honest Jon's Records,"Techno’s answer to Basquiat scrawls freehand bangers and a smudged 16 minute scape on his first mission since those badass releases for DDS a few years ago

Yielding his first new material for a bit, the title of ’Str8 Crooked’ perfectly sums up Madteo’s loose-limbed irregularities squashed within. Picking up where he left off with the skewed techno boogies of... more",/products/str8-crooked,https://assets.boomkat.com/spree/products/760433/product/196292331592.jpg,1673,Drew Daniel,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1673
8,sylva-sylvarum,9,Ora Clementi,Sylva Sylvarum,"Ora Clementi

              —
              Sylva Sylvarum
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Quietly extraordinary dream-weaving from crys cole & James Rushford’s Ora Clementi duo, invoking an unpredictable, otherworldly play of light/shadow and top shelf electro-acoustic sorcery comparable with Robert Ashley’s Private Parts, Jane Arden & Jack Bond’s 'Anti​-​Clock' soundtrack, via Claire Rousay, Perila, early digital GRM.

Sylva Sylvarum’ documents... more",/products/sylva-sylvarum,https://assets.boomkat.com/spree/products/747825/product/4250101427848.jpg,1673,Drew Daniel,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1673
9,davidgrubbsryleywalkeratapontheshoulder,10,,David Grubbs & Ryley Walker: A Tap On The Shoulder,David Grubbs & Ryley Walker: A Tap On The Shoulder,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1673,Drew Daniel,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1673
