,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,sex-3d19e64d-1007-4cfb-b34c-e19c6dc6f95e,1,"Anne Imhof, Eliza Douglas, Billy Bultheel",SEX,"Anne Imhof, Eliza Douglas, Billy Bultheel

              —
              SEX
            
              (PAN)",PAN,"‘Sex’ is the 2nd exhibition soundtrack release by internationally acclaimed artist Anne Imhof, with Eliza Douglas and Billy Bultheel, following their soundtrack to the Golden Lion-awarded ‘Faust’ exhibition at the 2017 Venice Biennale

Combining dark, piano-led lieder, industrial prang outs, and grungy harpsichord works, the soundtrack to ‘Sex’ is every bit as... more",/products/sex-3d19e64d-1007-4cfb-b34c-e19c6dc6f95e,https://assets.boomkat.com/spree/products/757689/product/723849813159_T77721091820054.jpg,1723,faux naif,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1723
1,newearthavantrecords,2,Nuovo Testamento,New Earth (Avant! Records),"Nuovo Testamento

            —
            New Earth (Avant! Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1723,faux naif,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1723
2,dancing-in-the-evil,3,Cardinal & Nun,Dancing in the Evil,"Cardinal & Nun

              —
              Dancing in the Evil
            
              (L.I.E.S.)",L.I.E.S.,"Skuzzy death rockers Cardinal & Nun return to L.I.E.S. with a full LP course of fossil-fuelled basslines, synths and morbid guitars following their entrée 12” in 2019.

Seemingly exhumed from the Parisian crypts some time in the wake of Joy Division, and spliced something Frankensteinian with essence of Suicide and Bauhaus, ‘Dancing In The Evil’ wears its gothic... more",/products/dancing-in-the-evil,https://assets.boomkat.com/spree/products/718307/product/4044693169480.jpg,1723,faux naif,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1723
3,landslideavantrecords,4,Veil Of Light,Landslide (Avant! Records),"Veil Of Light

            —
            Landslide (Avant! Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1723,faux naif,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1723
4,harddrugqualremixoperationqualrecords,5,Lebanon Hanover,Hard Drug (Qual Remix) (Operation Qual Records),"Lebanon Hanover

            —
            Hard Drug (Qual Remix) (Operation Qual Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1723,faux naif,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1723
5,vociferate,6,Teatre,Vociferate,"Teatre

              —
              Vociferate
            
              (LUX REC)",LUX REC,,/products/vociferate,https://assets.boomkat.com/spree/products/744416/product/8790001328914_T7_Image.jpg,1723,faux naif,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1723
6,debut-a52a4489-70b0-442e-b477-6d122f9e0bf2,7,December,Debut,"December

              —
              Debut
            
              (Death & Leisure)",Death & Leisure,,/products/debut-a52a4489-70b0-442e-b477-6d122f9e0bf2,https://assets.boomkat.com/spree/products/766547/product/8718723186124.jpg,1723,faux naif,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1723
7,bodyelectric,8,Ultra Sunn,Body Electric,"Ultra Sunn

            —
            Body Electric",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1723,faux naif,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1723
8,salomsufferme,9,Echoberyl,Salomé (Suffer Me),"Echoberyl

            —
            Salomé (Suffer Me)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1723,faux naif,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1723
9,rhinestones-dd7ccab9-33de-4688-b683-c52577904092,10,HTRK,Rhinestones,"HTRK

              —
              Rhinestones
            
              (N&J Blueberries)",N&J Blueberries,"HTRK mint their new label with a perfectly formed 5th studio album - in our opinion a career best - finding the duo stripped to a quietly cathartic, windswept arrangement of bare vocals rent with spectral webs of guitar and synth in a modern, classic, wholly inimitable style that will lodge itself deep in your heart. AOTY gear especially recommended if yr into anything... more",/products/rhinestones-dd7ccab9-33de-4688-b683-c52577904092,https://assets.boomkat.com/spree/products/756840/product/Cover.jpg,1723,faux naif,2021,https://boomkat.com/charts/boomkat-end-of-year-charts-2021/1723
